Term,PosScore,NegScore,Urdu
remedy,0.9,0.0,علاج
greatness,0.9,0.0,عظمت
effusiveness,0.9,0.0,اثر انگیزی
cool,0.9,0.0,ٹھنڈا
raptureously,0.9,0.0,بے خودی سے
bolster,0.9,0.0,بلسٹر
erudite,0.9,0.0,غلط
smoothest,0.9,0.0,سب سے تیز
examplar,0.9,0.0,نمونے والا
exciting,0.9,0.0,دلچسپ
apotheosis,0.9,0.0,apotheosis
convenience,0.9,0.0,سہولت
impeccably,0.9,0.0,بے عیب
kindliness,0.9,0.0,حسن سلوک
recover,0.9,0.0,بازیافت
standout,0.9,0.0,کھڑے ہونا
halcyon,0.9,0.0,halcyon
satisfactorily,0.9,0.0,اطمینان بخش
worth-while,0.9,0.0,قابل قدر
well-being,0.9,0.0,خیریت
thrill,0.9,0.0,سنسنی
rightly,0.9,0.0,بجا طور پر
entrancing,0.9,0.0,داخل ہونا
victory,0.9,0.0,فتح
survivor,0.9,0.0,زندہ بچ جانے والا
dreamland,0.9,0.0,خوابوں کی دنیا
renaissance,0.9,0.0,پنرجہرن
radiant,0.9,0.0,منور
delicacy,0.9,0.0,نزاکت
innocuous,0.9,0.0,معصوم
enthral,0.9,0.0,سحر انگیز
comfort,0.9,0.0,آرام
sexy,0.9,0.0,سیکسی
champion,0.9,0.0,چیمپیئن
amazes,0.9,0.0,حیرت
enough,0.9,0.0,کافی
effusively,0.9,0.0,اثر انداز سے
unquestionably,0.9,0.0,بلاشبہ
regally,0.9,0.0,باقاعدگی سے
tough,0.9,0.0,مشکل
terrific,0.9,0.0,لاجواب
envious,0.9,0.0,حسد کرنا
soothe,0.9,0.0,آرام
astound,0.9,0.0,حیرت زدہ
pleasingly,0.9,0.0,خوشی سے
agreeableness,0.9,0.0,متفق ہونا
marveled,0.9,0.0,حیرت زدہ
assuredly,0.9,0.0,یقینی طور پر
chivalry,0.9,0.0,دشمنی
pleasurably,0.9,0.0,خوشگوار
hug,0.9,0.0,گلے
sincere,0.9,0.0,مخلص
affectation,0.9,0.0,تفویض
exquisitely,0.9,0.0,شاندار طریقے سے
amaze,0.9,0.0,حیرت زدہ
fortuitous,0.9,0.0,پختہ
god-given,0.9,0.0,خدا عطا کردہ
shiny,0.9,0.0,چمکدار
tolerable,0.9,0.0,قابل برداشت
stunning,0.9,0.0,حیرت انگیز
preeminent,0.9,0.0,اہم
protect,0.9,0.0,حفاظت
masterpieces,0.9,0.0,شاہکار
merriness,0.9,0.0,خوشی
sumptuousness,0.9,0.0,عظمت
exellent,0.9,0.0,شاندار
defender,0.9,0.0,محافظ
responsibly,0.9,0.0,ذمہ داری سے
warmer,0.9,0.0,گرم
self-sufficiency,0.9,0.0,خود کفالت
snazzy,0.9,0.0,چکنا
brighten,0.9,0.0,روشن کرنا
cleanliness,0.9,0.0,صفائی
saintliness,0.9,0.0,سنتوں
heartwarming,0.9,0.0,دل دہلا دینے والا
polished,0.9,0.0,پالش
superiority,0.9,0.0,برتری
goodly,0.9,0.0,اچھی طرح سے
inexpensive,0.9,0.0,سستا
pluses,0.9,0.0,pluses
valuable,0.9,0.0,قیمتی
straightforward,0.9,0.0,سیدھے
rewardingly,0.9,0.0,فائدہ مند
chaste,0.9,0.0,پاکیزہ
counter-attacks,0.9,0.0,جوابی حملے
posh,0.9,0.0,پوش
meticulous,0.9,0.0,پیچیدہ
empower,0.9,0.0,بااختیار بنانا
gained,0.9,0.0,حاصل
modern,0.9,0.0,جدید
handy,0.9,0.0,آسان
heartfelt,0.9,0.0,دلی
encouraging,0.9,0.0,حوصلہ افزا
ecstatic,0.9,0.0,پرجوش
creative,0.9,0.0,تخلیقی
respectfully,0.9,0.0,احترام سے
avid,0.9,0.0,بخیل
legendary,0.9,0.0,افسانوی
veritable,0.9,0.0,سچا
exceeded,0.9,0.0,تجاوز کر گئی
supple,0.9,0.0,کومل
tremendously,0.9,0.0,زبردست
cherub,0.9,0.0,کروبی
winners,0.9,0.0,فاتح
rockstars,0.9,0.0,راک اسٹارز
serenity,0.9,0.0,نرمی
profound,0.9,0.0,گہرا
light-hearted,0.9,0.0,ہلکے پھلکے
enthusiastic,0.9,0.0,پرجوش
joyous,0.9,0.0,خوشی
recommendations,0.9,0.0,سفارشات
consistent,0.9,0.0,متواتر
exaltation,0.9,0.0,افزائش
sweetness,0.9,0.0,مٹھاس
winning,0.9,0.0,جیتنا
peps,0.9,0.0,peps
razor-sharp,0.9,0.0,استرا تیز
boom,0.9,0.0,بوم
enticed,0.9,0.0,لالچ میں آیا
revolutionary,0.9,0.0,انقلابی
wonderful,0.9,0.0,حیرت انگیز
cure,0.9,0.0,علاج
devout,0.9,0.0,متقی
diligence,0.9,0.0,محنتی
worthiness,0.9,0.0,قابلیت
twinkly,0.9,0.0,پلک جھپکتے
cheaper,0.9,0.0,سستا
exceled,0.9,0.0,بلند
abound,0.9,0.0,بہتات ہونا
opulent,0.9,0.0,خوشحال
wealthy,0.9,0.0,دولت مند
blossom,0.9,0.0,پھول
optimism,0.9,0.0,امید ہے
gladness,0.9,0.0,خوشی
roomier,0.9,0.0,رومیئر
saintly,0.9,0.0,سنت
favored,0.9,0.0,پسندیدہ
lovable,0.9,0.0,پیاری
unforgettable,0.9,0.0,ناقابل فراموش
outshine,0.9,0.0,آؤٹ شائن
restructuring,0.9,0.0,تنظیم نو
prominent,0.9,0.0,ممتاز
altruistically,0.9,0.0,حد سے زیادہ
simpler,0.9,0.0,آسان
cute,0.9,0.0,پیارا
well-run,0.9,0.0,اچھی طرح سے چلانے
bountiful,0.9,0.0,متعدد
speedily,0.9,0.0,تیزی سے
commendable,0.9,0.0,قابل ستائش
restful,0.9,0.0,آرام دہ
captivating,0.9,0.0,سحر انگیز
lovably,0.9,0.0,پیار سے
energetic,0.9,0.0,ؤرجاوان
freedoms,0.9,0.0,آزادیاں
sleek,0.9,0.0,چیکنا
lawful,0.9,0.0,حلال
crisp,0.9,0.0,کرکرا
foolproof,0.9,0.0,فول پروف
truthfully,0.9,0.0,سچائی سے
sparkling,0.9,0.0,چمک
beckoned,0.9,0.0,اشارہ کیا
resilient,0.9,0.0,لچکدار
faithful,0.9,0.0,وفادار
rejoicing,0.9,0.0,خوشی
helping,0.9,0.0,مدد کرنا
dazzling,0.9,0.0,حیرت انگیز
capability,0.9,0.0,قابلیت
affluent,0.9,0.0,متمول
exceed,0.9,0.0,سے زیادہ
hero,0.9,0.0,ہیرو
steadfast,0.9,0.0,ثابت قدم
a+,0.9,0.0,a +
irreproachable,0.9,0.0,ناقابل تلافی
sociable,0.9,0.0,ملنسار
plusses,0.9,0.0,جمع
praiseworthy,0.9,0.0,قابل ستائش
self-satisfaction,0.9,0.0,خود اطمینان
likable,0.9,0.0,پسند ہے
rightfully,0.9,0.0,بجا طور پر
wins,0.9,0.0,جیت
refined,0.9,0.0,بہتر
charitable,0.9,0.0,خیراتی
poise,0.9,0.0,پرسکون
gooood,0.9,0.0,اچھ .ا
agreeable,0.9,0.0,متفق
dexterous,0.9,0.0,مہذب
well-established,0.9,0.0,اچھی طرح سے قائم
amiable,0.9,0.0,خوش مزاج
brisk,0.9,0.0,تیز
sincerity,0.9,0.0,اخلاص
beauty,0.9,0.0,خوبصورتی
advocates,0.9,0.0,وکالت
concise,0.9,0.0,جامع
prudently,0.9,0.0,سمجھداری سے
revelation,0.9,0.0,وحی
ultra-crisp,0.9,0.0,انتہائی کرکرا
revitalize,0.9,0.0,زندہ کرنا
talent,0.9,0.0,پرتیبھا
wondrous,0.9,0.0,حیرت انگیز
helpful,0.9,0.0,مددگار
fervor,0.9,0.0,جوش
swankier,0.9,0.0,swankier
graceful,0.9,0.0,مکرم
trustingly,0.9,0.0,اعتماد سے
extraordinarily,0.9,0.0,غیر معمولی طور پر
deginified,0.9,0.0,deginified
attractive,0.9,0.0,پر کشش
powerful,0.9,0.0,طاقتور
stimulating,0.9,0.0,محرک
empathy,0.9,0.0,ہمدردی
suitable,0.9,0.0,مناسب
eye-catch,0.9,0.0,آنکھ کو پکڑنے
tempt,0.9,0.0,لالچ
auspicious,0.9,0.0,اچھ .ا
enthralled,0.9,0.0,منحرف
triumphantly,0.9,0.0,فاتحانہ انداز میں
beneficent,0.9,0.0,فائدہ مند
good,0.9,0.0,اچھی
exceptionally,0.9,0.0,غیر معمولی طور پر
dexterously,0.9,0.0,مہارت سے
survival,0.9,0.0,بقا
maturely,0.9,0.0,سمجھدار
impartiality,0.9,0.0,غیر جانبداری
relief,0.9,0.0,ریلیف
earnestness,0.9,0.0,خلوص
trusted,0.9,0.0,قابل اعتماد
peacekeepers,0.9,0.0,امن پسند
endorsed,0.9,0.0,کی توثیق
diligently,0.9,0.0,تندہی سے
accomplished,0.9,0.0,تکمیل شدہ
entertain,0.9,0.0,تفریح کرنا
tougher,0.9,0.0,سخت
reforms,0.9,0.0,اصلاحات
wellbeing,0.9,0.0,خیریت
guiltless,0.9,0.0,بے قصور
stimulative,0.9,0.0,محرک
flawless,0.9,0.0,بے عیب
spacious,0.9,0.0,کشادہ
gracefully,0.9,0.0,فضل سے
surmount,0.9,0.0,مشكلات پر قابو پانا
poetic,0.9,0.0,شاعرانہ
reaffirm,0.9,0.0,دوبارہ تصدیق
productive,0.9,0.0,نتیجہ خیز
advantageously,0.9,0.0,فائدہ مند
better,0.9,0.0,بہتر
temptingly,0.9,0.0,لالچ میں
passionately,0.9,0.0,شوق سے
rational,0.9,0.0,عقلی
breathtakingly,0.9,0.0,دم توڑ کر
unquestionable,0.9,0.0,بلاشبہ
fashionable,0.9,0.0,فیشن
uplift,0.9,0.0,ترقی
sharpest,0.9,0.0,سب سے تیز
charming,0.9,0.0,دلکش
agile,0.9,0.0,پھرتیلی
elated,0.9,0.0,خوشی ہوئی
enrichment,0.9,0.0,افزودگی
considerate,0.9,0.0,سمجھا جاتا ہے
cleverly,0.9,0.0,چالاکی سے
prefer,0.9,0.0,ترجیح دیں
privilege,0.9,0.0,استحقاق
astounded,0.9,0.0,ششدر رہ جانا
trophy,0.9,0.0,ٹرافی
exceeds,0.9,0.0,تجاوز کر گیا
cheery,0.9,0.0,خوشگوار
acclaimed,0.9,0.0,سراہا گیا
geekier,0.9,0.0,geekier
charm,0.9,0.0,توجہ
smiling,0.9,0.0,مسکراتے ہوئے
glitter,0.9,0.0,چمک
admiring,0.9,0.0,تعریف
invaluable,0.9,0.0,انمول
magic,0.9,0.0,جادو
fastest-growing,0.9,0.0,تیزی سے بڑھتی ہوئی
easier,0.9,0.0,آسان
revive,0.9,0.0,زندہ کرنا
commend,0.9,0.0,تعریف کریں
prodigy,0.9,0.0,اچھ .ا
fearless,0.9,0.0,بے خوف
convient,0.9,0.0,مناسب
savings,0.9,0.0,بچت
appreciates,0.9,0.0,تعریف کرتا ہے
hardier,0.9,0.0,سخت
zippy,0.9,0.0,زپی
ebullient,0.9,0.0,ایبلینٹ
examplary,0.9,0.0,مثال
prolific,0.9,0.0,قابل عمل
gallantly,0.9,0.0,بہادری سے
manageable,0.9,0.0,قابل انتظام
protective,0.9,0.0,حفاظتی
politeness,0.9,0.0,شائستگی
optimistic,0.9,0.0,پر امید
sane,0.9,0.0,سمجھدار
fortunate,0.9,0.0,خوش قسمت
doubtless,0.9,0.0,بلا شبہ
conscientious,0.9,0.0,باضمیر
invincible,0.9,0.0,ناقابل تسخیر
restructured,0.9,0.0,تنظیم نو
fiery,0.9,0.0,آگ
irresistibly,0.9,0.0,irresistibly
welcome,0.9,0.0,خوش آمدید
smilingly,0.9,0.0,مسکراتے ہوئے
rapture,0.9,0.0,بے خودی
tantalizing,0.9,0.0,tantalizing
inspiring,0.9,0.0,متاثر کن
luminous,0.9,0.0,برائٹ
luck,0.9,0.0,قسمت
efficiently,0.9,0.0,موثر طریقے سے
recomend,0.9,0.0,بازیافت
beneficial,0.9,0.0,فائدہ مند
spontaneous,0.9,0.0,اچانک
feasible,0.9,0.0,ممکن
cheer,0.9,0.0,خوشی
strong,0.9,0.0,مضبوط
variety,0.9,0.0,قسم
prudence,0.9,0.0,احتیاط
romantic,0.9,0.0,رومانوی
marvel,0.9,0.0,حیرت
upgradable,0.9,0.0,اپ گریڈ
likes,0.9,0.0,پسند کرتا ہے
cooperative,0.9,0.0,تعاون
idolized,0.9,0.0,مجسمہ ساز
positively,0.9,0.0,مثبت طور پر
gain,0.9,0.0,حاصل کرنا
eyecatch,0.9,0.0,eyecatch
flatteringly,0.9,0.0,چاپلوسی
heroic,0.9,0.0,بہادر
zest,0.9,0.0,حوصلہ افزائی
attentive,0.9,0.0,دھیان سے
glorify,0.9,0.0,تسبیح کرنا
prosperity,0.9,0.0,خوشحالی
smoothly,0.9,0.0,آسانی سے
authoritative,0.9,0.0,مستند
meticulously,0.9,0.0,احتیاط سے
principled,0.9,0.0,اصولی
dignify,0.9,0.0,وقار
eyecatching,0.9,0.0,eyecatching
excelent,0.9,0.0,بہترین
vibrantly,0.9,0.0,متحرک
advocated,0.9,0.0,وکالت کی
desirous,0.9,0.0,خواہش مند
excite,0.9,0.0,پرجوش
proves,0.9,0.0,ثابت کرتا ہے
trouble-free,0.9,0.0,پریشانی سے پاک
exuberant,0.9,0.0,خوشحال
promised,0.9,0.0,وعدہ
noteworthy,0.9,0.0,قابل ذکر
upliftment,0.9,0.0,ترقی
wisdom,0.9,0.0,حکمت
judicious,0.9,0.0,انصاف پسند
personages,0.9,0.0,حروف
blissful,0.9,0.0,خوشگوار
rosy,0.9,0.0,گلابی
stately,0.9,0.0,واضح طور پر
fancier,0.9,0.0,fancier
finely,0.9,0.0,باریک
intelligent,0.9,0.0,ذہین
lush,0.9,0.0,سرسبز
thoughtfulness,0.9,0.0,فکرمندی
feature-rich,0.9,0.0,خصوصیت سے مالا مال
rock-stars,0.9,0.0,راک ستارے
morality,0.9,0.0,اخلاقیات
qualify,0.9,0.0,کوالیفائی کرنا
durable,0.9,0.0,پائیدار
realizable,0.9,0.0,وصولی
glistening,0.9,0.0,چمکنا
upscale,0.9,0.0,اعلی درجے کی
well-regarded,0.9,0.0,اچھی طرح سے
fantastically,0.9,0.0,حیرت انگیز طور پر
thinner,0.9,0.0,پتلا
lead,0.9,0.0,لیڈ
profuse,0.9,0.0,منافع
jaw-droping,0.9,0.0,جبڑے گرنے
reliably,0.9,0.0,اعتماد سے
clarity,0.9,0.0,وضاحت
award,0.9,0.0,ایوارڈ
relish,0.9,0.0,ذائقہ
wonderously,0.9,0.0,حیرت سے
faithfulness,0.9,0.0,وفاداری
invigorating,0.9,0.0,متحرک
believeable,0.9,0.0,قابل اعتماد
breakthrough,0.9,0.0,پیش رفت
master,0.9,0.0,ماسٹر
boost,0.9,0.0,فروغ دینا
flutter,0.9,0.0,لہرانا
illuminati,0.9,0.0,الیومینیٹی
dominated,0.9,0.0,غلبہ
inviolable,0.9,0.0,ناقابل تسخیر
delightfully,0.9,0.0,خوشی سے
ethical,0.9,0.0,اخلاقی
precious,0.9,0.0,قیمتی
dazzled,0.9,0.0,چکرا
fast,0.9,0.0,تیز
tantalize,0.9,0.0,tantalize
respect,0.9,0.0,احترام
reputation,0.9,0.0,ساکھ
precise,0.9,0.0,عین مطابق
credence,0.9,0.0,ساکھ
divinely,0.9,0.0,خدائی طور پر
benefits,0.9,0.0,فوائد
eye-catching,0.9,0.0,چشم کشا
adventuresome,0.9,0.0,مہم جوئی
impressive,0.9,0.0,متاثر کن
facilitate,0.9,0.0,سہولت
well,0.9,0.0,ٹھیک ہے
immense,0.9,0.0,بے پناہ
inestimably,0.9,0.0,insertmably
well-connected,0.9,0.0,اچھی طرح سے منسلک
convenient,0.9,0.0,آسان
solidarity,0.9,0.0,یکجہتی
affirmation,0.9,0.0,تصدیق
hospitable,0.9,0.0,مہمان نواز
commendably,0.9,0.0,قابل ستائش
exemplary,0.9,0.0,مثالی
thumb-up,0.9,0.0,انگوٹھا
thrifty,0.9,0.0,کنجوس. کفایت شعار
patience,0.9,0.0,صبر
pep,0.9,0.0,پیپ
defeat,0.9,0.0,شکست
trustworthy,0.9,0.0,امانتدار
affability,0.9,0.0,افادیت
prosper,0.9,0.0,خوشحالی
sharp,0.9,0.0,تیز
traction,0.9,0.0,کرشن
elevate,0.9,0.0,بلند کرنا
festive,0.9,0.0,تہوار
superbly,0.9,0.0,بہت عمدہ
upgraded,0.9,0.0,اپ گریڈ
glamorous,0.9,0.0,مسحور کن
lively,0.9,0.0,زندہ دل
peerless,0.9,0.0,بے محل
bliss,0.9,0.0,نعمتوں
revere,0.9,0.0,احترام کرنا
affectionate,0.9,0.0,پیار
brilliant,0.9,0.0,شاندار
shine,0.9,0.0,چمکنا
idolize,0.9,0.0,بت بنانا
self-respect,0.9,0.0,عزت نفس
suffice,0.9,0.0,کافی
exhilaration,0.9,0.0,خوشی
fancy,0.9,0.0,پسند ہیں
purposeful,0.9,0.0,بامقصد
wow,0.9,0.0,زبردست
diversified,0.9,0.0,متنوع
famous,0.9,0.0,مشہور
assurances,0.9,0.0,انشورنس
slammin,0.9,0.0,سلیمین
love,0.9,0.0,محبت
unlimited,0.9,0.0,لامحدود
benefactor,0.9,0.0,فائدہ اٹھانے والا
navigable,0.9,0.0,بحری
satisfied,0.9,0.0,مطمئن
gush,0.9,0.0,گش
delightfulness,0.9,0.0,لذت
fascinatingly,0.9,0.0,دلچسپ
leads,0.9,0.0,لیڈز
expeditiously,0.9,0.0,جلدی سے
humour,0.9,0.0,مزاح
reputable,0.9,0.0,معروف
shimmeringly,0.9,0.0,چمک سے
genius,0.9,0.0,عقلمند
streamlined,0.9,0.0,ہموار
unmatched,0.9,0.0,بے مثال
boundless,0.9,0.0,بے حد
effortlessly,0.9,0.0,آسانی سے
lyrical,0.9,0.0,گیت
reconciliation,0.9,0.0,مفاہمت
proper,0.9,0.0,مناسب
amuse,0.9,0.0,خوش
infallible,0.9,0.0,عیب
immaculately,0.9,0.0,بے حساب
spellbindingly,0.9,0.0,ہجوں کی پابندی سے
cohesive,0.9,0.0,ہم آہنگ
sweet,0.9,0.0,میٹھا
dominates,0.9,0.0,غلبہ
exceptional,0.9,0.0,غیر معمولی
productively,0.9,0.0,نتیجہ خیز
successes,0.9,0.0,کامیابیاں
pampered,0.9,0.0,لاڈ
beneficiary,0.9,0.0,فائدہ اٹھانے والا
supreme,0.9,0.0,سپریم
foresight,0.9,0.0,دور اندیشی
pleasantly,0.9,0.0,خوشی سے
conciliatory,0.9,0.0,صلح آمیز
endorsement,0.9,0.0,توثیق
outperforming,0.9,0.0,کارکردگی کا مظاہرہ
assure,0.9,0.0,یقین دہانی کرو
mighty,0.9,0.0,طاقتور
deserving,0.9,0.0,مستحق
colorful,0.9,0.0,رنگین
enjoys,0.9,0.0,لطف اٹھاتا ہے
sustainability,0.9,0.0,استحکام
everlasting,0.9,0.0,لازوال
mesmerized,0.9,0.0,منقسم
praise,0.9,0.0,تعریف
togetherness,0.9,0.0,یکسانیت
delight,0.9,0.0,خوشی
vigilance,0.9,0.0,نگرانی
adjustable,0.9,0.0,سایڈست
extraordinary,0.9,0.0,غیر معمولی
memorable,0.9,0.0,یادگار
enlightenment,0.9,0.0,روشن خیالی
swiftness,0.9,0.0,تیزی
enchanted,0.9,0.0,جادو
acumen,0.9,0.0,دانت
unabashedly,0.9,0.0,بے رحمی سے
fresher,0.9,0.0,fresher
joyously,0.9,0.0,خوشی سے
adroit,0.9,0.0,ہنرمند
receptive,0.9,0.0,قبول کرنے والا
calming,0.9,0.0,پرسکون
gallant,0.9,0.0,بہادر
renowned,0.9,0.0,مشہور
fervent,0.9,0.0,پرجوش
painless,0.9,0.0,بے درد
rapport,0.9,0.0,رپورٹ
expansive,0.9,0.0,وسیع
raptureous,0.9,0.0,بے خودی
optimal,0.9,0.0,زیادہ سے زیادہ
heroize,0.9,0.0,ہیروائز
thrillingly,0.9,0.0,سنسنی خیز
remarkably,0.9,0.0,قابل ذکر
eases,0.9,0.0,آسانی
smart,0.9,0.0,ہوشیار
amenable,0.9,0.0,تیار
dummy-proof,0.9,0.0,جعلی پروف
overtook,0.9,0.0,آگے نکل گیا
astounding,0.9,0.0,حیرت زدہ
congratulatory,0.9,0.0,مبارک ہو
glowing,0.9,0.0,چمک رہا ہے
simplified,0.9,0.0,آسان
honor,0.9,0.0,عزت
detachable,0.9,0.0,علیحدگی
evocative,0.9,0.0,اشتعال انگیز
secure,0.9,0.0,محفوظ
envy,0.9,0.0,حسد
darling,0.9,0.0,پیارے
playful,0.9,0.0,زندہ دل
wonderous,0.9,0.0,حیرت انگیز
paradise,0.9,0.0,جنت
lucid,0.9,0.0,اجاگر
reachable,0.9,0.0,قابل رسائ
gratifies,0.9,0.0,gratifies
exult,0.9,0.0,خوشی
splendor,0.9,0.0,شان و شوکت
outshone,0.9,0.0,آؤٹ فون
refreshed,0.9,0.0,تازگی
revel,0.9,0.0,حیرت
revolutionize,0.9,0.0,انقلاب لانا
brighter,0.9,0.0,روشن
celebratory,0.9,0.0,جشن منانا
crisper,0.9,0.0,کرسپر
consistently,0.9,0.0,مستقل طور پر
encouragement,0.9,0.0,حوصلہ افزائی
workable,0.9,0.0,قابل عمل
pleasure,0.9,0.0,خوشی
uphold,0.9,0.0,حمایت
decency,0.9,0.0,شائستگی
trendy,0.9,0.0,جدید
exaltingly,0.9,0.0,بلکل
preferable,0.9,0.0,افضل
problem-free,0.9,0.0,مسئلہ سے پاک
accurate,0.9,0.0,درست
ingenuously,0.9,0.0,آسانی سے
jovial,0.9,0.0,خوشگوار
enthusiastically,0.9,0.0,جوش و خروش سے
positive,0.9,0.0,مثبت
dumbfounded,0.9,0.0,گونگا
immaculate,0.9,0.0,پاکیزہ ہونا
gratefully,0.9,0.0,شکر ہے
pure,0.9,0.0,خالص
benevolence,0.9,0.0,احسان
grateful,0.9,0.0,شکر گزار
magnanimous,0.9,0.0,میگنانیموس
audible,0.9,0.0,سنائی دیتی
fantastic,0.9,0.0,لاجواب
honoring,0.9,0.0,عزت دینا
exhilarate,0.9,0.0,خوشی کرنا
savvy,0.9,0.0,پریمی
well-rounded,0.9,0.0,اچھی طرح سے گول
luxuriate,0.9,0.0,آسائش
long-lasting,0.9,0.0,دیرپا
straighten,0.9,0.0,سیدھا کریں
friendliness,0.9,0.0,دوستی
courage,0.9,0.0,ہمت
ennoble,0.9,0.0,ennoble
agilely,0.9,0.0,فرتیلی سے
authentic,0.9,0.0,مستند
smoother,0.9,0.0,ہموار
miracles,0.9,0.0,معجزے
destiny,0.9,0.0,تقدیر
influential,0.9,0.0,بااثر
reconcile,0.9,0.0,صلح کرو
fav,0.9,0.0,fav
enrapture,0.9,0.0,enrapture
eager,0.9,0.0,بے چین
entertains,0.9,0.0,تفریح
integral,0.9,0.0,لازمی
majesty,0.9,0.0,عظمت
comfortably,0.9,0.0,آرام سے
vouch,0.9,0.0,واؤچ
precisely,0.9,0.0,بالکل
excitedness,0.9,0.0,جوش و خروش
personalized,0.9,0.0,مشخص
faultless,0.9,0.0,بے عیب
better-than-expected,0.9,0.0,توقع سے بہتر
faster,0.9,0.0,تیز
trusting,0.9,0.0,اعتماد کرنا
comfortable,0.9,0.0,آرام دہ
respite,0.9,0.0,مہلت
elite,0.9,0.0,اشرافیہ
respectful,0.9,0.0,احترام
rock-star,0.9,0.0,راک سٹار
stylish,0.9,0.0,سجیلا
endorses,0.9,0.0,توثیق
whooa,0.9,0.0,واہوا
modest,0.9,0.0,معمولی
gentlest,0.9,0.0,شریف آدمی
swift,0.9,0.0,تیز رو
skillful,0.9,0.0,ہنرمند
individualized,0.9,0.0,انفرادی
remunerate,0.9,0.0,معاوضہ
advanced,0.9,0.0,اعلی درجے کی
contentment,0.9,0.0,قناعت
feisty,0.9,0.0,feisty
clear,0.9,0.0,صاف
problem-solver,0.9,0.0,مسئلہ حل کرنے والا
cleared,0.9,0.0,صاف
solace,0.9,0.0,سکون
abundance,0.9,0.0,کثرت
bullish,0.9,0.0,تیزی
fascinate,0.9,0.0,گرویدہ کرنا
positives,0.9,0.0,مثبت
plentiful,0.9,0.0,بھرپور
effusive,0.9,0.0,اثر انگیز
loved,0.9,0.0,محبت کرتا تھا
entranced,0.9,0.0,داخل
gentle,0.9,0.0,نرم
brilliance,0.9,0.0,چمک
stupendously,0.9,0.0,stupendously
intelligence,0.9,0.0,ذہانت
rockstar,0.9,0.0,راک سٹار
proficiently,0.9,0.0,مہارت سے
enthuse,0.9,0.0,enthuse
luxurious,0.9,0.0,پرتعیش
adaptive,0.9,0.0,حسب منشا
complement,0.9,0.0,تکمیل
mercifully,0.9,0.0,رحمدلی سے
lean,0.9,0.0,دبلی پتلی
intimate,0.9,0.0,مباشرت
beutifully,0.9,0.0,خوبصورتی سے
cleaner,0.9,0.0,کلینر
freed,0.9,0.0,آزاد
gratified,0.9,0.0,راضی
ideal,0.9,0.0,مثالی
vouchsafe,0.9,0.0,ووچسیف
ebulliently,0.9,0.0,مضبوطی سے
redemption,0.9,0.0,رہائی
cherish,0.9,0.0,پسند کرتے ہیں
whoooa,0.9,0.0,وہووا
stunningly,0.9,0.0,حیرت انگیز طور پر
gladly,0.9,0.0,خوشی سے
triumphant,0.9,0.0,فاتح
dead-cheap,0.9,0.0,مردہ سستا
illuminate,0.9,0.0,روشن کرنا
promising,0.9,0.0,وعدہ مند
abundant,0.9,0.0,پرچر
rejuvenate,0.9,0.0,جوان ہونا
righten,0.9,0.0,رائٹ کرنا
diplomatic,0.9,0.0,سفارتی
exhilaratingly,0.9,0.0,خوشی سے
resound,0.9,0.0,گونج
glimmer,0.9,0.0,چمک
hooray,0.9,0.0,ہورے
faith,0.9,0.0,ایمان
foremost,0.9,0.0,سب سے اہم
heros,0.9,0.0,ہیروس
richness,0.9,0.0,دولت
sumptuous,0.9,0.0,عمدہ
excitedly,0.9,0.0,خوشی سے
adulation,0.9,0.0,مشق
lavishly,0.9,0.0,شوق سے
irresistible,0.9,0.0,ناقابل تلافی
valiantly,0.9,0.0,بہادری سے
noiseless,0.9,0.0,بے آواز
record-setting,0.9,0.0,ریکارڈ ترتیب
openly,0.9,0.0,کھلم کھلا
idyllic,0.9,0.0,idyllic
coolest,0.9,0.0,بہترین
justly,0.9,0.0,صرف
clean,0.9,0.0,صاف
feat,0.9,0.0,کارنامہ
excites,0.9,0.0,حوصلہ افزائی
fond,0.9,0.0,پس منظر
harmony,0.9,0.0,ہم آہنگی
recommend,0.9,0.0,تجویز کریں
goodwill,0.9,0.0,نیک نیتی
excellant,0.9,0.0,ایکیلینٹ
pardon,0.9,0.0,معافی
richer,0.9,0.0,زیادہ امیر
smiles,0.9,0.0,مسکراہٹیں
indulgent,0.9,0.0,دل لگی
suave,0.9,0.0,نرم
progressive,0.9,0.0,ترقی پسند
outsmart,0.9,0.0,آؤٹ مارٹ
conveniently,0.9,0.0,آسانی سے
gratify,0.9,0.0,خوش کرنا
steadfastness,0.9,0.0,ثابت قدمی
rectify,0.9,0.0,اصلاح کرنا
pros,0.9,0.0,پیشہ
trump,0.9,0.0,ٹرمپ
exultation,0.9,0.0,مسرت
thrive,0.9,0.0,ترقی کی منازل طے کرنا
generously,0.9,0.0,دل کھول کر
nourishment,0.9,0.0,پرورش
momentous,0.9,0.0,لمحاتی
fortitude,0.9,0.0,صبر
verifiable,0.9,0.0,تصدیق شدہ
supports,0.9,0.0,کی حمایت کرتا ہے
happily,0.9,0.0,خوشی سے
adoring,0.9,0.0,پیار
stainless,0.9,0.0,بے داغ
treasure,0.9,0.0,خزانہ
endear,0.9,0.0,پیارے
enjoying,0.9,0.0,لطف اندوز
articulate,0.9,0.0,بیان کرنا
beautify,0.9,0.0,خوبصورت کرنا
palatial,0.9,0.0,محلاتی
win,0.9,0.0,جیت
sincerely,0.9,0.0,مخلص
loyalty,0.9,0.0,وفاداری
