Term,PosScore,NegScore,Bangla
daringly,0.9,0.0,daringly
lavish,0.9,0.0,ঢের
luxuriously,0.9,0.0,luxuriously
marvelousness,0.9,0.0,চমত্কারিত্ব
classy,0.9,0.0,উত্কৃষ্ট
tickle,0.9,0.0,সুড়সুড়ি
woo,0.9,0.0,পাণিপ্রার্থনা করা
low-cost,0.9,0.0,কম খরচে
restored,0.9,0.0,পুনরুদ্ধার
romanticize,0.9,0.0,রোমান্টিক করে তোলা
rejoice,0.9,0.0,আনন্দিত
wholeheartedly,0.9,0.0,মনপ্রাণ
smitten,0.9,0.0,প্রহৃত
illuminating,0.9,0.0,আলোকজ্জ্বল
diligent,0.9,0.0,পরিশ্রমী
amazed,0.9,0.0,বিস্মিত
levity,0.9,0.0,চপলতা
reverently,0.9,0.0,সশ্রদ্ধ চিত্তে
courageous,0.9,0.0,সাহসী
tantalizingly,0.9,0.0,tantalizingly
aver,0.9,0.0,জমিদারি
congenial,0.9,0.0,অনুকূল
pleases,0.9,0.0,সন্তুষ্ট
toughest,0.9,0.0,কঠিন
tender,0.9,0.0,কোমল
permissible,0.9,0.0,অনুমোদনযোগ্য
alluringly,0.9,0.0,alluringly
astonishment,0.9,0.0,আশ্চর্য
quiet,0.9,0.0,শান্ত
commitment,0.9,0.0,প্রতিশ্রুতি
indulgence,0.9,0.0,ইচ্ছাপূরণ
endorse,0.9,0.0,অনুমোদন করা
glowingly,0.9,0.0,glowingly
congratulate,0.9,0.0,অভিনন্দন
peace,0.9,0.0,শান্তি
keen,0.9,0.0,উত্সাহী
breathlessness,0.9,0.0,ঊর্ধ্বশ্বাস
sufficed,0.9,0.0,যথেষ্ট
humourous,0.9,0.0,humourous
unreal,0.9,0.0,অবাস্তব
delicate,0.9,0.0,উপাদেয়
flourish,0.9,0.0,ঝঙ্কার
purify,0.9,0.0,শোধন করা
user-friendly,0.9,0.0,ব্যবহারকারী বান্ধব
intricate,0.9,0.0,জটিল
enjoyably,0.9,0.0,আনন্দ নিয়ে
well-managed,0.9,0.0,ভালভাবে পরিচালিত
perfectly,0.9,0.0,ঠিকভাবে
worthy,0.9,0.0,সুযোগ্য
rightful,0.9,0.0,ধর্মসম্মত
fastest,0.9,0.0,দ্রুততম
extoll,0.9,0.0,অত্যধিক প্রশংসা করা
defeated,0.9,0.0,পরাজিত
radiance,0.9,0.0,ভা
flashy,0.9,0.0,চটকদার
generosity,0.9,0.0,দাক্ষিণ্য
merry,0.9,0.0,সুচেতা
groundbreaking,0.9,0.0,যুগান্তকারী
decisive,0.9,0.0,নিষ্পত্তিমূলক
protection,0.9,0.0,সুরক্ষা
interesting,0.9,0.0,মজাদার
satisfactory,0.9,0.0,সন্তোষজনক
ecenomical,0.9,0.0,ecenomical
prowess,0.9,0.0,পরাক্রম
adorable,0.9,0.0,আরাধ্য
mesmerizing,0.9,0.0,সম্মোহিত
uncomplicated,0.9,0.0,সহজ
entice,0.9,0.0,বিপথে চালিত করা
fun,0.9,0.0,মজা
best,0.9,0.0,সেরা
godlike,0.9,0.0,দেবতুল্য
attune,0.9,0.0,সুর মেলান
toll-free,0.9,0.0,কর মুক্ত
regard,0.9,0.0,বিবেচনা
ameliorate,0.9,0.0,উন্নয়নসাধন করা
useable,0.9,0.0,ব্যবহারযোগ্য
top-notch,0.9,0.0,উপরের খাঁজ
astoundingly,0.9,0.0,astoundingly
celebrate,0.9,0.0,উদযাপন
affable,0.9,0.0,ভদ্র
flourishing,0.9,0.0,সফল
easiness,0.9,0.0,অনায়াস
well-behaved,0.9,0.0,শিষ্টাচারপূর্ণ
enjoyment,0.9,0.0,রমণ
exultingly,0.9,0.0,exultingly
popular,0.9,0.0,জনপ্রিয়
cornerstone,0.9,0.0,ভিত্তি
remedy,0.9,0.0,প্রতিকার
greatness,0.9,0.0,মহিমা
effusiveness,0.9,0.0,effusiveness
cool,0.9,0.0,শীতল
raptureously,0.9,0.0,raptureously
bolster,0.9,0.0,তাকিয়া
erudite,0.9,0.0,জ্ঞানী
smoothest,0.9,0.0,smoothest
examplar,0.9,0.0,examplar
exciting,0.9,0.0,উত্তেজনাপূর্ণ
apotheosis,0.9,0.0,নাটকের শেষ
convenience,0.9,0.0,সুবিধা
impeccably,0.9,0.0,impeccably
kindliness,0.9,0.0,সহৃদয়তা
recover,0.9,0.0,পুনরুদ্ধার
standout,0.9,0.0,standout
halcyon,0.9,0.0,মাছরাঙা
satisfactorily,0.9,0.0,সন্তোষজনকভাবে
worth-while,0.9,0.0,সময় খরচের যোগ্য
well-being,0.9,0.0,মঙ্গল
thrill,0.9,0.0,শিহরিত করা
rightly,0.9,0.0,ন্যায়ত
entrancing,0.9,0.0,মুগ্ধকর
victory,0.9,0.0,বিজয়
survivor,0.9,0.0,জীবিত
dreamland,0.9,0.0,স্বপ্নরাজ্য
renaissance,0.9,0.0,রেনেসাঁ
radiant,0.9,0.0,প্রভাশালী
delicacy,0.9,0.0,কৃশতা
innocuous,0.9,0.0,নির্দোষ
enthral,0.9,0.0,দাসত্বে আবদ্ধ করা
comfort,0.9,0.0,সান্ত্বনা
sexy,0.9,0.0,সেক্সি
champion,0.9,0.0,রক্ষক
amazes,0.9,0.0,amazes
enough,0.9,0.0,যথেষ্ট
effusively,0.9,0.0,অকপটে
unquestionably,0.9,0.0,নিঃসন্দেহে
regally,0.9,0.0,রাজমত
tough,0.9,0.0,শক্ত
terrific,0.9,0.0,ভয়ঙ্কর
envious,0.9,0.0,পরশ্রীকাতর
soothe,0.9,0.0,প্রশমিত করা
astound,0.9,0.0,অবাক করা
pleasingly,0.9,0.0,pleasingly
agreeableness,0.9,0.0,agreeableness
marveled,0.9,0.0,আশ্চর্য
assuredly,0.9,0.0,নিশ্চয়
chivalry,0.9,0.0,সৌজন্য
pleasurably,0.9,0.0,pleasurably
hug,0.9,0.0,আলিঙ্গন
sincere,0.9,0.0,আন্তরিক
affectation,0.9,0.0,নিয়োগ
exquisitely,0.9,0.0,অত্যন্ত সুন্দরভাবে
amaze,0.9,0.0,স্তম্ভিত করা
fortuitous,0.9,0.0,আকস্মিক
god-given,0.9,0.0,ভগবদ্দত্ত
shiny,0.9,0.0,চকচকে
tolerable,0.9,0.0,সহনীয়
stunning,0.9,0.0,অত্যাশ্চর্য
preeminent,0.9,0.0,সর্বশ্রেষ্ঠ
protect,0.9,0.0,রক্ষা করা
masterpieces,0.9,0.0,শ্রেষ্ঠ
merriness,0.9,0.0,merriness
sumptuousness,0.9,0.0,sumptuousness
exellent,0.9,0.0,exellent
defender,0.9,0.0,প্রতিবাদী
responsibly,0.9,0.0,দায়িত্বের
warmer,0.9,0.0,উষ্ণতর
self-sufficiency,0.9,0.0,স্বয়ংসম্পূর্ণতা
snazzy,0.9,0.0,Snazzy
brighten,0.9,0.0,আলোকজ্জ্বল
cleanliness,0.9,0.0,পরিচ্ছন্নতা
saintliness,0.9,0.0,পোপের আখ্যা
heartwarming,0.9,0.0,হৃদয়গ্রাহী
polished,0.9,0.0,পালিশ
superiority,0.9,0.0,টেক্কা
goodly,0.9,0.0,সুদর্শন
inexpensive,0.9,0.0,সস্তা
pluses,0.9,0.0,pluses
valuable,0.9,0.0,দামি
straightforward,0.9,0.0,অকপট
rewardingly,0.9,0.0,rewardingly
chaste,0.9,0.0,সতী
counter-attacks,0.9,0.0,পাল্টা আক্রমণ
posh,0.9,0.0,সর্বোত্কৃষ্ট
meticulous,0.9,0.0,অতিসতর্ক
empower,0.9,0.0,ক্ষমতায়ন
gained,0.9,0.0,অর্জন
modern,0.9,0.0,আধুনিক
handy,0.9,0.0,কুশলী
heartfelt,0.9,0.0,হৃদয়গ্রাহী
encouraging,0.9,0.0,উত্সাহিত
ecstatic,0.9,0.0,ভাবাবেশকর
creative,0.9,0.0,সৃজনী
respectfully,0.9,0.0,সম্মানার্হ ভাবে
avid,0.9,0.0,ক্ষুধিত
legendary,0.9,0.0,কাল্পনিক
veritable,0.9,0.0,যথার্থ
exceeded,0.9,0.0,ছাড়িয়ে
supple,0.9,0.0,নমনীয়
tremendously,0.9,0.0,ভীষণভাবে
cherub,0.9,0.0,স্বর্গীয় দূত
winners,0.9,0.0,বিজয়ীদের
rockstars,0.9,0.0,Rockstars
serenity,0.9,0.0,প্রশান্তি
profound,0.9,0.0,গভীর
light-hearted,0.9,0.0,হাসিখুশি
enthusiastic,0.9,0.0,উদ্যমী
joyous,0.9,0.0,আহ্লাদিত
recommendations,0.9,0.0,সুপারিশ
consistent,0.9,0.0,সঙ্গত
exaltation,0.9,0.0,উচ্চপদ
sweetness,0.9,0.0,মাধুরী
winning,0.9,0.0,জয়লাভ
peps,0.9,0.0,peps
razor-sharp,0.9,0.0,সুতীক্ষ্ণ
boom,0.9,0.0,গম্ভীর গর্জন
enticed,0.9,0.0,আকৃষ্ট
revolutionary,0.9,0.0,বৈপ্লবিক
wonderful,0.9,0.0,বিস্ময়কর
cure,0.9,0.0,আরোগ্য
devout,0.9,0.0,ধর্মপ্রাণ
diligence,0.9,0.0,অধ্যবসায়
worthiness,0.9,0.0,অর্হণ
twinkly,0.9,0.0,twinkly
cheaper,0.9,0.0,সস্তা
exceled,0.9,0.0,exceled
abound,0.9,0.0,উড়া
opulent,0.9,0.0,ঐশ্বর্যশালী
wealthy,0.9,0.0,ধনী
blossom,0.9,0.0,পুষ্প
optimism,0.9,0.0,আশাবাদ
gladness,0.9,0.0,আনন্দ
roomier,0.9,0.0,roomier
saintly,0.9,0.0,পবিত্র
favored,0.9,0.0,বিশেষ সুবিধাপ্রাপ্ত
lovable,0.9,0.0,স্নেহের যোগ্য
unforgettable,0.9,0.0,অবিস্মরণীয়
outshine,0.9,0.0,ঔজ্বল্যে ছাপাইয়া যাত্তয়া
restructuring,0.9,0.0,পুনর্গঠন
prominent,0.9,0.0,বিশিষ্ট
altruistically,0.9,0.0,altruistically
simpler,0.9,0.0,সহজ
cute,0.9,0.0,চতুর
well-run,0.9,0.0,ভাল রানের
bountiful,0.9,0.0,উদার
speedily,0.9,0.0,দ্রুত
commendable,0.9,0.0,প্রশংসনীয়
restful,0.9,0.0,বিশ্রামরত
captivating,0.9,0.0,চিত্তাকর্ষক
lovably,0.9,0.0,lovably
energetic,0.9,0.0,অনলস
freedoms,0.9,0.0,স্বাধীনতা
sleek,0.9,0.0,মসৃণ
lawful,0.9,0.0,বৈধ
crisp,0.9,0.0,বাকরখানির
foolproof,0.9,0.0,অব্যর্থ
truthfully,0.9,0.0,বিশ্বস্ততার
sparkling,0.9,0.0,ঝিলিমিলি
beckoned,0.9,0.0,ইশারা
resilient,0.9,0.0,স্থিতিস্থাপক
faithful,0.9,0.0,বিশ্বস্ত
rejoicing,0.9,0.0,আনন্দ
helping,0.9,0.0,সাহায্য
dazzling,0.9,0.0,ঝলসানি
capability,0.9,0.0,সামর্থ্য
affluent,0.9,0.0,ধনী
exceed,0.9,0.0,অতিক্রম করা
hero,0.9,0.0,বীর
steadfast,0.9,0.0,অপলক
a+,0.9,0.0,একটি +
irreproachable,0.9,0.0,নির্দোষ
sociable,0.9,0.0,মিশুক
plusses,0.9,0.0,plusses
praiseworthy,0.9,0.0,প্রশংসনীয়
self-satisfaction,0.9,0.0,আত্মতৃপ্তি
likable,0.9,0.0,মনোরম
rightfully,0.9,0.0,আইনসঙ্গতভাবে
wins,0.9,0.0,জয়ী
refined,0.9,0.0,পরিশ্রুত
charitable,0.9,0.0,দাতব্য
poise,0.9,0.0,ভার চাপান
gooood,0.9,0.0,gooood
agreeable,0.9,0.0,অমায়িক
dexterous,0.9,0.0,পারক
well-established,0.9,0.0,সুপ্রতিষ্ঠিত
amiable,0.9,0.0,বন্ধুত্বপূর্ণ
brisk,0.9,0.0,প্রাণবন্ত
sincerity,0.9,0.0,আন্তরিকতা
beauty,0.9,0.0,সৌন্দর্য
advocates,0.9,0.0,সমর্থনকারীরা
concise,0.9,0.0,সংক্ষিপ্ত
prudently,0.9,0.0,বিবেচনাপূর্বক
revelation,0.9,0.0,উদ্ঘাটন
ultra-crisp,0.9,0.0,অতি খাস্তা
revitalize,0.9,0.0,পুনরুজ্জীবিত
talent,0.9,0.0,প্রতিভা
wondrous,0.9,0.0,বিস্ময়কর
helpful,0.9,0.0,সহায়ক
fervor,0.9,0.0,উত্সাহ
swankier,0.9,0.0,swankier
graceful,0.9,0.0,সুতনু
trustingly,0.9,0.0,সরল বিশ্বাসে
extraordinarily,0.9,0.0,স্মার্ট
deginified,0.9,0.0,deginified
attractive,0.9,0.0,আকর্ষণীয়
powerful,0.9,0.0,ক্ষমতাশালী
stimulating,0.9,0.0,উৎসাহী
empathy,0.9,0.0,সহানুভূতি
suitable,0.9,0.0,উপযুক্ত
eye-catch,0.9,0.0,চোখের ধরা
tempt,0.9,0.0,প্রলুব্ধ করা
auspicious,0.9,0.0,সুপ্রসন্ন
enthralled,0.9,0.0,মুগ্ধ
triumphantly,0.9,0.0,জয়সূচকভাবে
beneficent,0.9,0.0,কল্যাণময়
good,0.9,0.0,ভাল
exceptionally,0.9,0.0,অত্যন্ত
dexterously,0.9,0.0,নিপুণভাবে
survival,0.9,0.0,উদ্বর্তন
maturely,0.9,0.0,পরিপক্কভাবে
impartiality,0.9,0.0,ন্যায়
relief,0.9,0.0,মুক্তি
earnestness,0.9,0.0,ব্যগ্রতা
trusted,0.9,0.0,বিশ্বস্ত
peacekeepers,0.9,0.0,শান্তিরক্ষীদের
endorsed,0.9,0.0,অনুমোদন
diligently,0.9,0.0,সযত্নে
accomplished,0.9,0.0,সম্পন্ন
entertain,0.9,0.0,পোষণ করা
tougher,0.9,0.0,কঠোর
reforms,0.9,0.0,সংস্কারের
wellbeing,0.9,0.0,সুস্থতা
guiltless,0.9,0.0,নিরপরাধ
stimulative,0.9,0.0,উদ্দীপক
flawless,0.9,0.0,নিশ্ছিদ্র
spacious,0.9,0.0,প্রশস্ত
gracefully,0.9,0.0,অত্যন্ত শৃঙ্খলার
surmount,0.9,0.0,শীর্ষদেশে থাকা
poetic,0.9,0.0,কবিসুলভ
reaffirm,0.9,0.0,পুনর্নিশ্চিত করা
productive,0.9,0.0,উত্পাদনক্ষম
advantageously,0.9,0.0,advantageously
better,0.9,0.0,উত্তম
temptingly,0.9,0.0,temptingly
passionately,0.9,0.0,মনেপ্রাণে
rational,0.9,0.0,যুক্তিসঙ্গত
breathtakingly,0.9,0.0,breathtakingly
unquestionable,0.9,0.0,অবিসন্বাদিত
fashionable,0.9,0.0,কেতাদুরস্ত
uplift,0.9,0.0,উন্নয়ন
sharpest,0.9,0.0,তীক্ষ্ণ
charming,0.9,0.0,কমনীয়
agile,0.9,0.0,কর্মতত্পর
elated,0.9,0.0,গর্বিত
enrichment,0.9,0.0,সমৃদ্ধি
considerate,0.9,0.0,বিবেচিত
cleverly,0.9,0.0,চালাকি করে
prefer,0.9,0.0,পছন্দ করা
privilege,0.9,0.0,সুবিধা
astounded,0.9,0.0,স্তম্ভিত
trophy,0.9,0.0,ট্রফি
exceeds,0.9,0.0,অতিক্রম করে
cheery,0.9,0.0,প্রফুল্ল
acclaimed,0.9,0.0,প্রশংসিত
geekier,0.9,0.0,geekier
charm,0.9,0.0,কবজ
smiling,0.9,0.0,স্মিত
glitter,0.9,0.0,চিক্চিক
admiring,0.9,0.0,উপাসক
invaluable,0.9,0.0,অমুল্য
magic,0.9,0.0,জাদু
fastest-growing,0.9,0.0,দ্রুততম বর্ধমান
easier,0.9,0.0,সহজ
revive,0.9,0.0,পুনরায় জীবত করা
commend,0.9,0.0,প্রশংসা করা
prodigy,0.9,0.0,দৈত্য
fearless,0.9,0.0,নির্ভীক
convient,0.9,0.0,উপযুক্ত
savings,0.9,0.0,জমা
appreciates,0.9,0.0,প্রশংসা
hardier,0.9,0.0,hardier
zippy,0.9,0.0,ফ্যাস্
ebullient,0.9,0.0,অত্যুত্সাহী
examplary,0.9,0.0,examplary
prolific,0.9,0.0,উর্বর
gallantly,0.9,0.0,প্রাণপনে
manageable,0.9,0.0,পরিচালনীয়
protective,0.9,0.0,প্রতিরক্ষামূলক
politeness,0.9,0.0,ভদ্রতা
optimistic,0.9,0.0,আশাবাদী
sane,0.9,0.0,সুস্থ
fortunate,0.9,0.0,ঋদ্ধ
doubtless,0.9,0.0,দ্বিধাহীন
conscientious,0.9,0.0,ন্যায়বান
invincible,0.9,0.0,অপরাজেয়
restructured,0.9,0.0,পুনর্গঠিত
fiery,0.9,0.0,অগ্নিসদৃশ
irresistibly,0.9,0.0,দুর্নিবার
welcome,0.9,0.0,স্বাগত
smilingly,0.9,0.0,সহাস্যমুখে
rapture,0.9,0.0,পরমানন্দ
tantalizing,0.9,0.0,tantalizing
inspiring,0.9,0.0,দীপক
luminous,0.9,0.0,ভাস্বর
luck,0.9,0.0,ভাগ্য
efficiently,0.9,0.0,দক্ষতার
recomend,0.9,0.0,recomend
beneficial,0.9,0.0,উপকারী
spontaneous,0.9,0.0,স্বতঃস্ফূর্ত
feasible,0.9,0.0,সম্ভাব্য
cheer,0.9,0.0,উল্লাস
strong,0.9,0.0,শক্তিশালী
variety,0.9,0.0,বৈচিত্র্য
prudence,0.9,0.0,সতর্ক করা
romantic,0.9,0.0,রোমান্টিক
marvel,0.9,0.0,অদ্ভুত ব্যাপার
upgradable,0.9,0.0,upgradable
likes,0.9,0.0,পছন্দ
cooperative,0.9,0.0,সমবায়
idolized,0.9,0.0,উপাসনা-বন্দেগী করনি
positively,0.9,0.0,সুনিশ্চিত
gain,0.9,0.0,লাভ করা
eyecatch,0.9,0.0,eyecatch
flatteringly,0.9,0.0,flatteringly
heroic,0.9,0.0,বীরত্বপূর্ণ
zest,0.9,0.0,রূচি
attentive,0.9,0.0,অতন্দ্র
glorify,0.9,0.0,কীর্তন করা
prosperity,0.9,0.0,সমৃদ্ধি
smoothly,0.9,0.0,সহজে
authoritative,0.9,0.0,প্রামাণিক
meticulously,0.9,0.0,খুঁটিয়া
principled,0.9,0.0,নীতির
dignify,0.9,0.0,মর্যাদা দান করা
eyecatching,0.9,0.0,eyecatching
excelent,0.9,0.0,চমত্কার
vibrantly,0.9,0.0,vibrantly
advocated,0.9,0.0,শিল্পমন্ত্রী
desirous,0.9,0.0,অভিলাষী
excite,0.9,0.0,এক্সাইট
proves,0.9,0.0,প্রমাণ
trouble-free,0.9,0.0,অবিরাম
exuberant,0.9,0.0,সমৃদ্ধ
promised,0.9,0.0,প্রতিশ্রুত
noteworthy,0.9,0.0,লক্ষণীয়
upliftment,0.9,0.0,উন্নয়ন
wisdom,0.9,0.0,জ্ঞান
judicious,0.9,0.0,বিচক্ষণ
personages,0.9,0.0,চরিত্র
blissful,0.9,0.0,সুখী
rosy,0.9,0.0,গোলাপী
stately,0.9,0.0,মহিমান্বিত
fancier,0.9,0.0,কল্পনাকারী
finely,0.9,0.0,"finely,"
intelligent,0.9,0.0,বুদ্ধিমান
lush,0.9,0.0,মদ্যপ
thoughtfulness,0.9,0.0,ভাবুকতা
feature-rich,0.9,0.0,বৈশিষ্ট্য সমৃদ্ধ
rock-stars,0.9,0.0,শিলা -তারা
morality,0.9,0.0,নৈতিকতা
qualify,0.9,0.0,যোগ্যতা
durable,0.9,0.0,টেকসই
realizable,0.9,0.0,আদায়-যোগ্য
glistening,0.9,0.0,হড়হড়ে
upscale,0.9,0.0,", upscale"
well-regarded,0.9,0.0,ভালভাবে গণ্য
fantastically,0.9,0.0,fantastically
thinner,0.9,0.0,পাতলা
lead,0.9,0.0,নেতৃত্ব
profuse,0.9,0.0,প্রচুর
jaw-droping,0.9,0.0,চোয়ালের droping
reliably,0.9,0.0,নিশ্বাস ভাবে
clarity,0.9,0.0,নির্মলতা
award,0.9,0.0,পুরস্কার
relish,0.9,0.0,সুস্বাদ
wonderously,0.9,0.0,wonderously
faithfulness,0.9,0.0,বিশ্বস্ততা
invigorating,0.9,0.0,বলদায়ক
believeable,0.9,0.0,believeable
breakthrough,0.9,0.0,শত্রুবূহ্যভেদ
master,0.9,0.0,মনিব
boost,0.9,0.0,প্রচার করা
flutter,0.9,0.0,ঝাপটানি
illuminati,0.9,0.0,Illuminati
dominated,0.9,0.0,অধীন
inviolable,0.9,0.0,অলঙ্ঘনীয়
delightfully,0.9,0.0,delightfully
ethical,0.9,0.0,নৈতিক
precious,0.9,0.0,মূল্যবান
dazzled,0.9,0.0,ঝলসিত
fast,0.9,0.0,দ্রুত
tantalize,0.9,0.0,বিশ্বাস জাগাইয়া প্রতারণা করা
respect,0.9,0.0,সম্মান
reputation,0.9,0.0,খ্যাতি
precise,0.9,0.0,যথাযথ
credence,0.9,0.0,প্রত্যয়
divinely,0.9,0.0,ঈশ্বর
benefits,0.9,0.0,সুবিধা
eye-catching,0.9,0.0,আকর্ষণীয়
adventuresome,0.9,0.0,দু: সাহসিক
impressive,0.9,0.0,চিত্তাকর্ষক
facilitate,0.9,0.0,সহজতর করা
well,0.9,0.0,আমরা হব
immense,0.9,0.0,অপরিমেয়
inestimably,0.9,0.0,inestimably
well-connected,0.9,0.0,সুসম্বদ্ধ
convenient,0.9,0.0,সুবিধাজনক
solidarity,0.9,0.0,সংহতি
affirmation,0.9,0.0,কথন
hospitable,0.9,0.0,অতিথিসেবাপরায়ণ
commendably,0.9,0.0,commendably
exemplary,0.9,0.0,আদর্শ
thumb-up,0.9,0.0,সাবাস
thrifty,0.9,0.0,মিতব্যয়ী
patience,0.9,0.0,ধৈর্য
pep,0.9,0.0,বীর্য
defeat,0.9,0.0,পরাজয়
trustworthy,0.9,0.0,বিশ্বস্ত
affability,0.9,0.0,শিষ্টতা
prosper,0.9,0.0,Prosper
sharp,0.9,0.0,তীব্র
traction,0.9,0.0,আকর্ষণ
elevate,0.9,0.0,চড়ান
festive,0.9,0.0,উল্লসিত
superbly,0.9,0.0,দারুণ
upgraded,0.9,0.0,আপগ্রেড
glamorous,0.9,0.0,মুগ্ধকর
lively,0.9,0.0,জীবন্ত
peerless,0.9,0.0,অনুপম
bliss,0.9,0.0,সুখ
revere,0.9,0.0,পূজা করা
affectionate,0.9,0.0,অনুরক্ত
brilliant,0.9,0.0,উজ্জ্বল
shine,0.9,0.0,চকমক
idolize,0.9,0.0,পূজা করা
self-respect,0.9,0.0,আত্মমর্যাদা
suffice,0.9,0.0,পর্যাপ্ত
exhilaration,0.9,0.0,উল্লাস
fancy,0.9,0.0,অভিনব
purposeful,0.9,0.0,সকাম
wow,0.9,0.0,কি দারুন
diversified,0.9,0.0,বিচিত্র
famous,0.9,0.0,বিখ্যাত
assurances,0.9,0.0,বীমা
slammin,0.9,0.0,slammin
love,0.9,0.0,ভালবাসা
unlimited,0.9,0.0,সীমাহীন
benefactor,0.9,0.0,হিতকারী
navigable,0.9,0.0,নাব্য
satisfied,0.9,0.0,সন্তুষ্ট
gush,0.9,0.0,প্রবাহ
delightfulness,0.9,0.0,delightfulness
fascinatingly,0.9,0.0,fascinatingly
leads,0.9,0.0,বিশালাকার
expeditiously,0.9,0.0,দ্রুততার
humour,0.9,0.0,মেজাজ
reputable,0.9,0.0,সম্মানজনক
shimmeringly,0.9,0.0,shimmeringly
genius,0.9,0.0,প্রতিভা
streamlined,0.9,0.0,মসৃণ
unmatched,0.9,0.0,প্রতিদ্বন্দ্বিহীন
boundless,0.9,0.0,অপার
effortlessly,0.9,0.0,অনায়াসে
lyrical,0.9,0.0,গীতধর্মী
reconciliation,0.9,0.0,পুনর্মিলন
proper,0.9,0.0,সঠিক
amuse,0.9,0.0,আমোদিত
infallible,0.9,0.0,অব্যর্থ
immaculately,0.9,0.0,immaculately
spellbindingly,0.9,0.0,spellbindingly
cohesive,0.9,0.0,সংযোজক
sweet,0.9,0.0,মিষ্টি
dominates,0.9,0.0,প্রাধান্য
exceptional,0.9,0.0,ব্যতিক্রমী
productively,0.9,0.0,লাভজনকভাবে
successes,0.9,0.0,সফলতা
pampered,0.9,0.0,আদুরে
beneficiary,0.9,0.0,মৃত ব্যক্তির সম্পত্তির উত্তরাধিকারী
supreme,0.9,0.0,সর্বোচ্চ
foresight,0.9,0.0,দূরদর্শিতা
pleasantly,0.9,0.0,"pleasantly,"
conciliatory,0.9,0.0,বন্ধুত্বপূর্ণ
endorsement,0.9,0.0,অনুমোদন
outperforming,0.9,0.0,হারকেও ছাপিয়ে
assure,0.9,0.0,নিশ্চিত করা
mighty,0.9,0.0,মহৎ
deserving,0.9,0.0,অর্হ
colorful,0.9,0.0,রঙিন
enjoys,0.9,0.0,ভোগ
sustainability,0.9,0.0,ধারণক্ষমতা
everlasting,0.9,0.0,অনন্ত
mesmerized,0.9,0.0,সংবেশিত
praise,0.9,0.0,প্রশংসা
togetherness,0.9,0.0,togetherness
delight,0.9,0.0,আমোদ
vigilance,0.9,0.0,সতর্ক প্রহরা
adjustable,0.9,0.0,নিয়মিত
extraordinary,0.9,0.0,অসাধারণ
memorable,0.9,0.0,স্মরণীয়
enlightenment,0.9,0.0,জ্ঞানদান
swiftness,0.9,0.0,দ্রুততা
enchanted,0.9,0.0,পুলকিত
acumen,0.9,0.0,সূক্ষ্ম বিচারশক্তি
unabashedly,0.9,0.0,আসার কারণ এগুলো
fresher,0.9,0.0,নবীন
joyously,0.9,0.0,আনন্দের
adroit,0.9,0.0,দক্ষ
receptive,0.9,0.0,ধারণক্ষম
calming,0.9,0.0,প্রশান্ত ভাব
gallant,0.9,0.0,প্রেমপূর্ণ
renowned,0.9,0.0,প্রখ্যাত
fervent,0.9,0.0,তপ্ত
painless,0.9,0.0,যন্ত্রণাহীন
rapport,0.9,0.0,প্রতিবেদন
expansive,0.9,0.0,অকপট
raptureous,0.9,0.0,raptureous
optimal,0.9,0.0,অনুকূল
heroize,0.9,0.0,heroize
thrillingly,0.9,0.0,thrillingly
remarkably,0.9,0.0,সাতিশয়
eases,0.9,0.0,হওয়া সত্ত্বেও
smart,0.9,0.0,স্মার্ট
amenable,0.9,0.0,এক্তিয়ারভুক্ত
dummy-proof,0.9,0.0,ডামি রোধক
overtook,0.9,0.0,ছাড়িয়ে
astounding,0.9,0.0,স্তম্ভিত করে এমন
congratulatory,0.9,0.0,অভিনঁদনসূচক
glowing,0.9,0.0,প্রদীপ্ত
simplified,0.9,0.0,সরলীকৃত
honor,0.9,0.0,সম্মান
detachable,0.9,0.0,অপসৃতপূর্ণ
evocative,0.9,0.0,শিল্পানুগ
secure,0.9,0.0,নিরাপদ
envy,0.9,0.0,দ্বেষ
darling,0.9,0.0,ধন
playful,0.9,0.0,কৌতুকপূর্ণ
wonderous,0.9,0.0,wonderous
paradise,0.9,0.0,নন্দনকানন
lucid,0.9,0.0,স্বচ্ছ
reachable,0.9,0.0,পৌঁছানো
gratifies,0.9,0.0,gratifies
exult,0.9,0.0,উল্লাস করা
splendor,0.9,0.0,জাঁকজমক
outshone,0.9,0.0,outshone
refreshed,0.9,0.0,ঝরঝরে
revel,0.9,0.0,Revel
revolutionize,0.9,0.0,বৈপ্লবিক
brighter,0.9,0.0,উজ্জ্বল
celebratory,0.9,0.0,উদযাপনী অনুষ্ঠানে
crisper,0.9,0.0,crisper
consistently,0.9,0.0,ধারাবাহিকভাবে
encouragement,0.9,0.0,অনুপ্রেরণা
workable,0.9,0.0,কার্যকর
pleasure,0.9,0.0,পরিতোষ
uphold,0.9,0.0,তুলে
decency,0.9,0.0,উপযুক্ততা
trendy,0.9,0.0,হাল-ফ্যাসন দোরস্ত
exaltingly,0.9,0.0,exaltingly
preferable,0.9,0.0,বাঞ্ছনীয়
problem-free,0.9,0.0,সমস্যা-মুক্ত
accurate,0.9,0.0,সঠিক
ingenuously,0.9,0.0,অকপটে
jovial,0.9,0.0,প্রফুল্ল
enthusiastically,0.9,0.0,উৎসাহের
positive,0.9,0.0,ধনাত্মক
dumbfounded,0.9,0.0,বলিহারি
