Term,PosScore,NegScore,Urdu
unwilling,0.0,-0.9,ناپسندیدہ
injustice,0.0,-0.9,ناانصافی
sty,0.0,-0.9,جنوری
importune,0.0,-0.9,موسم
hum,0.0,-0.9,ہم
declines,0.0,-0.9,گراوٹ
deteriorate,0.0,-0.9,بگڑنا
fatique,0.0,-0.9,عجیب
gloomy,0.0,-0.9,اداس
beg,0.0,-0.9,بھیک مانگنا
domineer,0.0,-0.9,غلبہ
inappropriate,0.0,-0.9,نامناسب
outlaw,0.0,-0.9,غیر قانونی
irk,0.0,-0.9,دوڑ
perilously,0.0,-0.9,خطرناک طور پر
grievances,0.0,-0.9,شکایات
shiver,0.0,-0.9,کاںپنا
tyrant,0.0,-0.9,ظالم
idiocies,0.0,-0.9,محاورے
notoriously,0.0,-0.9,بدنام زمانہ
incorrigibly,0.0,-0.9,ناقابل برداشت
rival,0.0,-0.9,حریف
vibrates,0.0,-0.9,کمپن
downbeat,0.0,-0.9,دھڑکن
dismaying,0.0,-0.9,مایوسی
smug,0.0,-0.9,اسموگ
blinding,0.0,-0.9,اندھا کرنا
dissemble,0.0,-0.9,جدا ہونا
mortified,0.0,-0.9,morified
heedless,0.0,-0.9,لاپرواہی
scandalized,0.0,-0.9,اسکینڈل کیا گیا
disaster,0.0,-0.9,مصیبت
hawkish,0.0,-0.9,ہاکش
inveigle,0.0,-0.9,inveigle
wiles,0.0,-0.9,wiles
overdone,0.0,-0.9,حد سے زیادہ
incomparable,0.0,-0.9,لاجواب
foulness,0.0,-0.9,گندگی
bumpy,0.0,-0.9,ناہموار
collapse,0.0,-0.9,گرنے
contradictory,0.0,-0.9,متضاد
absence,0.0,-0.9,عدم موجودگی
implication,0.0,-0.9,مضمر
dwindling,0.0,-0.9,گھٹ رہا ہے
weary,0.0,-0.9,تھکا ہوا
avariciously,0.0,-0.9,بے چینگی سے
crashing,0.0,-0.9,حادثہ
wretched,0.0,-0.9,بدبخت
protesting,0.0,-0.9,احتجاج کرنا
pathetically,0.0,-0.9,صبر سے
procrastinate,0.0,-0.9,تاخیر
hairloss,0.0,-0.9,بال گرنا
villify,0.0,-0.9,villify
daunting,0.0,-0.9,خطرناک
threat,0.0,-0.9,خطرہ
inadvisable,0.0,-0.9,ناگوار
halfheartedly,0.0,-0.9,آدھے دِل سے
revengeful,0.0,-0.9,انتقام لینے والا
ruts,0.0,-0.9,روٹس
inconsiderately,0.0,-0.9,inconsiderately
aggressive,0.0,-0.9,جارحانہ
slanderously,0.0,-0.9,بہتان سے
infamy,0.0,-0.9,بدنام
downturn,0.0,-0.9,مندی
fevers,0.0,-0.9,بخار
haughty,0.0,-0.9,گھمنڈ
anomaly,0.0,-0.9,بے ضابطگی
impoverish,0.0,-0.9,غریب
inimical,0.0,-0.9,inimical
nasty,0.0,-0.9,گندی
sob,0.0,-0.9,کے تحت
spoilled,0.0,-0.9,خراب
conspiratorial,0.0,-0.9,سازشی
crisis,0.0,-0.9,بحران
dismissive,0.0,-0.9,مسترد
arbitrary,0.0,-0.9,صوابدیدی
recant,0.0,-0.9,recant
topple,0.0,-0.9,گرانے
discord,0.0,-0.9,اختلاف
brainwash,0.0,-0.9,برین واش
indoctrination,0.0,-0.9,indoctrination
grievously,0.0,-0.9,غم سے
sloppily,0.0,-0.9,میلا
tramp,0.0,-0.9,آوارا
obstinately,0.0,-0.9,رکاوٹ سے
succumb,0.0,-0.9,دم توڑ گیا
unrelentingly,0.0,-0.9,بے دریغ
strenuous,0.0,-0.9,سخت
water-down,0.0,-0.9,پانی سے نیچے
dissapointed,0.0,-0.9,نا امید
scummy,0.0,-0.9,بدمعاش
skeptic,0.0,-0.9,شکی
aches,0.0,-0.9,درد
fleer,0.0,-0.9,اڑنے والا
insatiable,0.0,-0.9,اتوشنیی
tumultuous,0.0,-0.9,ہنگامہ خیز
falsify,0.0,-0.9,جھوٹ بولنا
turbulent,0.0,-0.9,ہنگامہ خیز
uneasy,0.0,-0.9,بےچینی
instigator,0.0,-0.9,اکسانے والا
jeer,0.0,-0.9,اوقات
lousy,0.0,-0.9,lousy
sickly,0.0,-0.9,بیمار
symptoms,0.0,-0.9,علامات
despondent,0.0,-0.9,مایوس کن
inoperable,0.0,-0.9,ناقابل برداشت
lecherous,0.0,-0.9,lecherous
compulsive,0.0,-0.9,مجبور
disgust,0.0,-0.9,نفرت
regreted,0.0,-0.9,پچھتاوا
stalls,0.0,-0.9,اسٹالز
unacceptablely,0.0,-0.9,ناقابل قبول
rattled,0.0,-0.9,جھنجھوڑا
ostracize,0.0,-0.9,ostracize
swelling,0.0,-0.9,سوجن
impulsively,0.0,-0.9,تیز رفتار سے
pains,0.0,-0.9,درد
squeaky,0.0,-0.9,دباؤ
wretch,0.0,-0.9,خرابی
polluters,0.0,-0.9,آلودگی
depressing,0.0,-0.9,افسردہ کرنے والا
upheaval,0.0,-0.9,ہلچل
undercut,0.0,-0.9,انڈر کٹ
uproar,0.0,-0.9,ہنگامہ
bulkier,0.0,-0.9,بلکیر
impose,0.0,-0.9,مسلط کرنا
overplay,0.0,-0.9,overplay
guiltily,0.0,-0.9,بخشش سے
nightmare,0.0,-0.9,ڈراؤنا خواب
confront,0.0,-0.9,محاذ آرائی
malevolence,0.0,-0.9,ناروا سلوک
disdainful,0.0,-0.9,ناگوار
midget,0.0,-0.9,بونا
allegations,0.0,-0.9,الزامات
bellicose,0.0,-0.9,bellicose
hissing,0.0,-0.9,ہسنگ
disruptive,0.0,-0.9,خلل ڈالنے والا
emphatically,0.0,-0.9,زور سے
imprecision,0.0,-0.9,غلطی
brat,0.0,-0.9,چھوکری
immorally,0.0,-0.9,غیر اخلاقی طور پر
conservative,0.0,-0.9,قدامت پسند
concerned,0.0,-0.9,فکرمند
devastates,0.0,-0.9,تباہی مچاتی ہے
limitation,0.0,-0.9,حد
poverty,0.0,-0.9,غربت
expired,0.0,-0.9,میعاد ختم ہوگئی
dishonorable,0.0,-0.9,بے ایمانی
controversy,0.0,-0.9,تنازعہ
slog,0.0,-0.9,شکست دی
atrocity,0.0,-0.9,ظلم
dislocated,0.0,-0.9,سندچیوتی
belligerent,0.0,-0.9,لڑاکا
insouciance,0.0,-0.9,لاپرواہ
sidetracked,0.0,-0.9,سائڈ ٹریک
embroil,0.0,-0.9,کڑھائی
ill-mannered,0.0,-0.9,بد سلوک
insolence,0.0,-0.9,گستاخی
tumbles,0.0,-0.9,ٹمبل
worthlessness,0.0,-0.9,بیکار
flighty,0.0,-0.9,اڑن
quibbles,0.0,-0.9,quibbles
runaway,0.0,-0.9,بھاگ جانا
servitude,0.0,-0.9,بندگی
chatterbox,0.0,-0.9,چیٹ باکس
miserable,0.0,-0.9,دکھی
tacky,0.0,-0.9,مشکل
malignant,0.0,-0.9,مہلک
rebellious,0.0,-0.9,سرکش
subdued,0.0,-0.9,دبے ہوئے
fanatic,0.0,-0.9,جنونی
stole,0.0,-0.9,چرایا
ail,0.0,-0.9,دوبارہ
drop-out,0.0,-0.9,باہر چھوڑ
misjudgment,0.0,-0.9,غلط فہمی
garish,0.0,-0.9,گیریش
inessential,0.0,-0.9,غیر ضروری
regrettable,0.0,-0.9,قابل افسوس
bitch,0.0,-0.9,کتیا
blaspheme,0.0,-0.9,توہین رسالت
obscenely,0.0,-0.9,فحاشی
faltered,0.0,-0.9,گرنا
quitter,0.0,-0.9,چھوڑنا
rife,0.0,-0.9,جھگڑا
disgracefully,0.0,-0.9,ذلت آمیز
exagerated,0.0,-0.9,اجاگر
reluctantly,0.0,-0.9,ہچکچاہٹ
blasphemous,0.0,-0.9,گستاخانہ
hedonistic,0.0,-0.9,hedonistic
contradiction,0.0,-0.9,تضاد
astray,0.0,-0.9,گمراہ
rail,0.0,-0.9,ریل
goon,0.0,-0.9,گنڈ
regrettably,0.0,-0.9,افسوس ہے
smudged,0.0,-0.9,smudged
spitefulness,0.0,-0.9,سختی
blister,0.0,-0.9,آبلہ
chasten,0.0,-0.9,chasten
disapointed,0.0,-0.9,ناامید
disillusioned,0.0,-0.9,مایوسی
flat-out,0.0,-0.9,فلیٹ آؤٹ
murderer,0.0,-0.9,قاتل
ridiculously,0.0,-0.9,مضحکہ خیز
hatred,0.0,-0.9,نفرت
threatening,0.0,-0.9,دھمکی دینا
lags,0.0,-0.9,پیچھے رہنا
raving,0.0,-0.9,بڑبڑانا
top-heavy,0.0,-0.9,سب سے زیادہ بھاری
abnormal,0.0,-0.9,غیر معمولی
unfounded,0.0,-0.9,بے بنیاد
uncomfy,0.0,-0.9,نامکمل
spilling,0.0,-0.9,پھیلنا
hothead,0.0,-0.9,ہاٹ ہیڈ
donside,0.0,-0.9,donside
wince,0.0,-0.9,جھپکنا
cruelness,0.0,-0.9,ظلم
apprehension,0.0,-0.9,خدشہ
smudges,0.0,-0.9,smudges
impedance,0.0,-0.9,مائبادا
coerce,0.0,-0.9,مجبور کرنا
deviously,0.0,-0.9,شیطانی طور پر
inept,0.0,-0.9,نااہل
bashing,0.0,-0.9,مارنا
rash,0.0,-0.9,جلدی
glut,0.0,-0.9,پیٹو
vestiges,0.0,-0.9,باقی
concerns,0.0,-0.9,خدشات
contentious,0.0,-0.9,متنازعہ
conspirator,0.0,-0.9,سازشی
glibly,0.0,-0.9,چمک سے
shrew,0.0,-0.9,شریو
illegal,0.0,-0.9,غیر قانونی
incredulously,0.0,-0.9,ناقابل یقین حد تک
viper,0.0,-0.9,وائپر
obscenity,0.0,-0.9,فحاشی
antiquated,0.0,-0.9,نوادرات
reluctant,0.0,-0.9,ہچکچاہٹ
quash,0.0,-0.9,کواش
murder,0.0,-0.9,قتل
powerless,0.0,-0.9,بے اختیار
fascism,0.0,-0.9,فاشزم
timidness,0.0,-0.9,ڈرپوک
regression,0.0,-0.9,رجعت
vibration,0.0,-0.9,تھرتھراہٹ
miff,0.0,-0.9,مِف
inequalities,0.0,-0.9,عدم مساوات
showdown,0.0,-0.9,شوڈاؤن
bombardment,0.0,-0.9,بمباری
startle,0.0,-0.9,چونکا دینے والا
vengeance,0.0,-0.9,انتقام
creeping,0.0,-0.9,رینگنا
stymied,0.0,-0.9,اسٹیمیڈ
insults,0.0,-0.9,توہین
zealously,0.0,-0.9,جوش و خروش سے
impeach,0.0,-0.9,مواخذہ کرنا
violent,0.0,-0.9,پرتشدد
protests,0.0,-0.9,احتجاج
savagery,0.0,-0.9,وحشی
anti-,0.0,-0.9,مخالف
cheaply,0.0,-0.9,سستے سے
glib,0.0,-0.9,گلب
insurmountable,0.0,-0.9,ناقابل تسخیر
agonize,0.0,-0.9,تکلیف دینا
fruitlessly,0.0,-0.9,بے نتیجہ
stiflingly,0.0,-0.9,دبے ہوئے
hardship,0.0,-0.9,سختی
wasted,0.0,-0.9,برباد
inconveniently,0.0,-0.9,تکلیف سے
divisively,0.0,-0.9,تقسیم سے
writhe,0.0,-0.9,ریتھ
anti-us,0.0,-0.9,ہمارے مخالف
gallingly,0.0,-0.9,حیرت سے
inconceivably,0.0,-0.9,inconceivably
grouchy,0.0,-0.9,گروچی
crooks,0.0,-0.9,بدمعاش
insolent,0.0,-0.9,گستاخ
wound,0.0,-0.9,زخم
conflict,0.0,-0.9,تنازعہ
unprove,0.0,-0.9,غیر تیار
flaunt,0.0,-0.9,فلانٹ
miser,0.0,-0.9,شرط لگائیں
two-faced,0.0,-0.9,دو چہرے والا
mocked,0.0,-0.9,طنز کیا
inordinate,0.0,-0.9,inordinate
panick,0.0,-0.9,گھبراہٹ
smell,0.0,-0.9,بو
thoughtless,0.0,-0.9,لاپرواہ
indecently,0.0,-0.9,غیر مہذب طور پر
craftly,0.0,-0.9,چالاکی سے
rot,0.0,-0.9,سرخ
stuffy,0.0,-0.9,بھرے ہوئے
infidels,0.0,-0.9,کافر
inhuman,0.0,-0.9,غیر انسانی
despair,0.0,-0.9,مایوسی
dubitable,0.0,-0.9,مشکوک
explode,0.0,-0.9,پھٹا
objectionable,0.0,-0.9,قابل اعتراض
crass,0.0,-0.9,کریس
hallucinate,0.0,-0.9,فریب کرنا
failure,0.0,-0.9,ناکامی
fumes,0.0,-0.9,دھوئیں
warily,0.0,-0.9,گرمجوشی سے
displeased,0.0,-0.9,ناراض
shortsighted,0.0,-0.9,شارٹ لائٹ
unspeakablely,0.0,-0.9,ناقابل بیان
uncompromising,0.0,-0.9,سمجھوتہ کرنا
distastefully,0.0,-0.9,پریشان کن
liability,0.0,-0.9,ذمہ داری
raked,0.0,-0.9,raked
barren,0.0,-0.9,بنجر
presumptuously,0.0,-0.9,فخر سے
burning,0.0,-0.9,جل رہا ہے
stranger,0.0,-0.9,اجنبی
anxiety,0.0,-0.9,اضطراب
craziness,0.0,-0.9,پاگل پن
mispronounces,0.0,-0.9,غلط اعلانات
pollute,0.0,-0.9,آلودہ
devastating,0.0,-0.9,تباہ کن
dropout,0.0,-0.9,باہر چھوڑ
rampage,0.0,-0.9,ہساتمک طرزعمل
bereavement,0.0,-0.9,سوگ
suffering,0.0,-0.9,تکلیف
killjoy,0.0,-0.9,قاتل
hatefulness,0.0,-0.9,نفرت
overpriced,0.0,-0.9,ضرورت سے زیادہ قیمت پر
senseless,0.0,-0.9,بے حس
shemale,0.0,-0.9,ہجڑا
capitulate,0.0,-0.9,capitulate
flaw,0.0,-0.9,عیب
imbroglio,0.0,-0.9,imbroglio
boil,0.0,-0.9,ابالنا
sleazy,0.0,-0.9,فنا ہوا
morbid,0.0,-0.9,مربیڈ
disrespecting,0.0,-0.9,بے عزتی کرنا
superficiality,0.0,-0.9,سطحی
obsolete,0.0,-0.9,متروک
disreputable,0.0,-0.9,ناقابل تلافی
enrage,0.0,-0.9,مشتعل ہونا
wreak,0.0,-0.9,بربادی
revert,0.0,-0.9,واپس لوٹنا
overacted,0.0,-0.9,دبے ہوئے
letch,0.0,-0.9,لیچ
torturous,0.0,-0.9,اذیت ناک
droop,0.0,-0.9,ڈراپ
suffered,0.0,-0.9,برداشت کرنا پڑا
reviled,0.0,-0.9,ملامت
delirious,0.0,-0.9,پرجوش
aspersions,0.0,-0.9,دعوی
foolishness,0.0,-0.9,بے وقوفی
ailment,0.0,-0.9,بیماری
deceitful,0.0,-0.9,دھوکہ دہی والا
exasperating,0.0,-0.9,مایوسی
frighten,0.0,-0.9,ڈراونا
grieve,0.0,-0.9,غم کرنا
convoluted,0.0,-0.9,مجرم
restlessness,0.0,-0.9,بےچینی
reticent,0.0,-0.9,reticent
disavowal,0.0,-0.9,مسترد
unjustifiably,0.0,-0.9,بلاجواز
infested,0.0,-0.9,متاثرہ
inordinately,0.0,-0.9,عمومی طور پر
decadence,0.0,-0.9,زوال
excessive,0.0,-0.9,زیادہ
dope,0.0,-0.9,ڈوپ
exacerbate,0.0,-0.9,بڑھ جانا
forebodingly,0.0,-0.9,خوش بختی سے
pretentious,0.0,-0.9,دکھاوے والا
thirst,0.0,-0.9,پیاس
goofy,0.0,-0.9,مورھ
uproot,0.0,-0.9,جڑ سے اکھاڑ پھینکا
war-like,0.0,-0.9,جنگ کی طرح
despise,0.0,-0.9,حقیر جانا
rascal,0.0,-0.9,بدمعاش
tangled,0.0,-0.9,الجھ گیا
shrivel,0.0,-0.9,shrivel
toll,0.0,-0.9,ٹول
pedantic,0.0,-0.9,پیڈینٹک
criticized,0.0,-0.9,تنقید کی
agonies,0.0,-0.9,اذیتیں
plotters,0.0,-0.9,سازش کار
undid,0.0,-0.9,غیر منقول
darkness,0.0,-0.9,اندھیرے
slogged,0.0,-0.9,نعرہ لگایا
dump,0.0,-0.9,پھینک دیں
laconic,0.0,-0.9,laconic
gainsay,0.0,-0.9,گینس
dodgey,0.0,-0.9,ڈاج
blockhead,0.0,-0.9,بلاک ہیڈ
fathomless,0.0,-0.9,بے عیب
overpaid,0.0,-0.9,زائد ادائیگی
perversely,0.0,-0.9,ٹیڑھا کر
measly,0.0,-0.9,پیمانہ
disobey,0.0,-0.9,نافرمانی
doddering,0.0,-0.9,doddering
exhorbitant,0.0,-0.9,حوصلہ افزائی
racist,0.0,-0.9,نسل پرستی
cruelly,0.0,-0.9,بے دردی سے
gimmicking,0.0,-0.9,چال چلنا
irresponsibly,0.0,-0.9,غیر ذمہ داری سے
indignant,0.0,-0.9,مشتعل
imbalance,0.0,-0.9,عدم توازن
sadden,0.0,-0.9,غمگین
despondently,0.0,-0.9,مایوسی سے
bleak,0.0,-0.9,تاریک
appall,0.0,-0.9,خوفناک
critic,0.0,-0.9,نقاد
disquieting,0.0,-0.9,پریشان کن
lag,0.0,-0.9,قانون
oddly,0.0,-0.9,عجیب طور پر
gabble,0.0,-0.9,گیبل
embarrassing,0.0,-0.9,شرمناک
mindless,0.0,-0.9,بے محل
self-criticism,0.0,-0.9,خود تنقید
unproving,0.0,-0.9,ناقابل تسخیر
reluctance,0.0,-0.9,ہچکچاہٹ
subjected,0.0,-0.9,محکوم
bewilderment,0.0,-0.9,حیرت
stubbornly,0.0,-0.9,ضد سے
squander,0.0,-0.9,ضائع کرنا
anemic,0.0,-0.9,خون کی کمی
inferiority,0.0,-0.9,کمترتی
travesties,0.0,-0.9,travesties
contention,0.0,-0.9,تنازعہ
profane,0.0,-0.9,گستاخ
invasive,0.0,-0.9,ناگوار
cursed,0.0,-0.9,ملعون
strained,0.0,-0.9,دباؤ
low-rated,0.0,-0.9,کم درجہ بندی
dirtbag,0.0,-0.9,گندگی
contemptuously,0.0,-0.9,توہین آمیز
denunciate,0.0,-0.9,اطلاع دی
lurk,0.0,-0.9,lurk
fractious,0.0,-0.9,حیرت انگیز
obliterate,0.0,-0.9,ختم کرنا
phobic,0.0,-0.9,فوبک
banalize,0.0,-0.9,banalize
complex,0.0,-0.9,پیچیدہ
pugnacity,0.0,-0.9,پگناسٹی
hasseling,0.0,-0.9,جلدی کرنا
throb,0.0,-0.9,دھڑکنا
snare,0.0,-0.9,پھندا
anti-semites,0.0,-0.9,اینٹی سیمیٹس
blindingly,0.0,-0.9,آنکھ بند کر کے
chagrin,0.0,-0.9,غم
aggravation,0.0,-0.9,بڑھتی ہوئی
hindrance,0.0,-0.9,رکاوٹ
dispensable,0.0,-0.9,ڈسپینس ایبل
inculcate,0.0,-0.9,inculcate
hysteric,0.0,-0.9,ہائیسٹریک
mock,0.0,-0.9,طنز کرنا
ineligible,0.0,-0.9,نااہل
prisoner,0.0,-0.9,قیدی
pander,0.0,-0.9,پین
quibble,0.0,-0.9,quibble
un-viewable,0.0,-0.9,غیر مرئی
menacing,0.0,-0.9,خون بہہ رہا ہے
despoil,0.0,-0.9,مایوسی
get-rich,0.0,-0.9,امیر ہو
omit,0.0,-0.9,چھوڑ دینا
weakness,0.0,-0.9,کمزوری
pique,0.0,-0.9,کوکیز
death,0.0,-0.9,موت
intimidating,0.0,-0.9,ڈرانے والا
dishonorablely,0.0,-0.9,بے ایمانی سے
unknown,0.0,-0.9,نامعلوم
rejection,0.0,-0.9,مسترد
retract,0.0,-0.9,پیچھے ہٹنا
scam,0.0,-0.9,جعلی
wripping,0.0,-0.9,لپیٹنا
backward,0.0,-0.9,پسماندہ
escapade,0.0,-0.9,دور ہو جاو
drag,0.0,-0.9,گھسیٹیں
butchery,0.0,-0.9,قصائی
misinformed,0.0,-0.9,غلط معلومات
mist,0.0,-0.9,دوبد
hamper,0.0,-0.9,رکاوٹ
misfit,0.0,-0.9,بدفعلی
moronic,0.0,-0.9,moronic
excoriate,0.0,-0.9,خارج کرنا
deceitfully,0.0,-0.9,دھوکہ دہی سے
distraughtly,0.0,-0.9,پریشان کن
partisans,0.0,-0.9,حمایتی
needlessly,0.0,-0.9,بے ضرورت
bleeding,0.0,-0.9,خون بہنا
dazed,0.0,-0.9,چکرا
delays,0.0,-0.9,تاخیر
impugn,0.0,-0.9,impugn
weaken,0.0,-0.9,کمزور ہونا
ramshackle,0.0,-0.9,ramshackle
erase,0.0,-0.9,مٹانا
treachery,0.0,-0.9,غداری
unachievable,0.0,-0.9,ناقابل تلافی
belittled,0.0,-0.9,پیٹا ہوا
scoldingly,0.0,-0.9,ڈانٹ ڈپٹ
troublemaker,0.0,-0.9,مصیبت ساز
incoherence,0.0,-0.9,incoherence
vulgar,0.0,-0.9,بیہودہ
conflicts,0.0,-0.9,تنازعات
desolate,0.0,-0.9,ویران
dismayingly,0.0,-0.9,مایوسی سے
discouraging,0.0,-0.9,حوصلہ شکنی
ill-advised,0.0,-0.9,غیر نصیحت
lanky,0.0,-0.9,لنکی
pessimistically,0.0,-0.9,مایوسی سے
unuseably,0.0,-0.9,غیر استعمال
spinster,0.0,-0.9,گھماؤ
invader,0.0,-0.9,حملہ آور
disloyal,0.0,-0.9,بے وفا
inability,0.0,-0.9,اسمرتتا
oppose,0.0,-0.9,مخالفت
pillory,0.0,-0.9,تکیا
dissonantly,0.0,-0.9,غیر مطمئن
unclean,0.0,-0.9,ناپاک
frustrations,0.0,-0.9,مایوسیوں
hoodium,0.0,-0.9,ہڈیم
anti-occupation,0.0,-0.9,قبضہ مخالف
difficult,0.0,-0.9,مشکل
fatuously,0.0,-0.9,چربی سے
upsets,0.0,-0.9,upsets
tarnishes,0.0,-0.9,داغدار
damper,0.0,-0.9,damper
undermines,0.0,-0.9,کم کرتا ہے
smokescreen,0.0,-0.9,تمباکو نوشی
shameless,0.0,-0.9,بے شرم
instigate,0.0,-0.9,بھڑکانا
harshly,0.0,-0.9,سختی سے
slime,0.0,-0.9,کیچڑ
vainly,0.0,-0.9,بیکار
timidly,0.0,-0.9,ڈرپوک
sarcasm,0.0,-0.9,طنز
arcane,0.0,-0.9,آرکین
disoobedient,0.0,-0.9,ناگوار
demonizing,0.0,-0.9,شیطان کاری
dissonant,0.0,-0.9,مطمعن
skinny,0.0,-0.9,پتلی
stifle,0.0,-0.9,دباؤ ڈالنا
flairs,0.0,-0.9,بھڑک اٹھنا
downer,0.0,-0.9,downer
miserably,0.0,-0.9,بری طرح
issues,0.0,-0.9,مسائل
precariously,0.0,-0.9,غیر یقینی طور پر
unworthy,0.0,-0.9,نااہل
strike,0.0,-0.9,ہڑتال
complain,0.0,-0.9,شکایت
dissolute,0.0,-0.9,تحلیل
contrive,0.0,-0.9,تیار کرنا
stagnate,0.0,-0.9,جمود
mystify,0.0,-0.9,mystify
belligerently,0.0,-0.9,جنگ سے
bull****,0.0,-0.9,بیل****
dupe,0.0,-0.9,ڈوپے
fretful,0.0,-0.9,عجیب
stinging,0.0,-0.9,ڈنک مارنا
impatient,0.0,-0.9,بے چین
disproportionate,0.0,-0.9,غیر متناسب
smoke,0.0,-0.9,دھواں
trapped,0.0,-0.9,پھنس گیا
slogging,0.0,-0.9,نعرہ بازی
fatcats,0.0,-0.9,چربی
grievance,0.0,-0.9,شکایت
deceiver,0.0,-0.9,دھوکہ دہی کرنے والا
tanks,0.0,-0.9,ٹینک
superficial,0.0,-0.9,سطحی
urgent,0.0,-0.9,فوری
head-aches,0.0,-0.9,سر درد
inexplainable,0.0,-0.9,ناقابل بیان
jabber,0.0,-0.9,جابر
deadlock,0.0,-0.9,تعطل
uncertain,0.0,-0.9,غیر یقینی
mischievous,0.0,-0.9,شرارتی
offensive,0.0,-0.9,جارحانہ
autocrat,0.0,-0.9,خود مختار
repugnant,0.0,-0.9,بدنام
scoundrel,0.0,-0.9,بدتمیزی
demoralizingly,0.0,-0.9,demoralizingly
rampant,0.0,-0.9,روز بروز بڑھتی ہوئی
egocentric,0.0,-0.9,ایگو سینٹرک
alarming,0.0,-0.9,خطرناک
fears,0.0,-0.9,خوف
regret,0.0,-0.9,افسوس
wastefulness,0.0,-0.9,فضول خرچی
angry,0.0,-0.9,ناراض
enviously,0.0,-0.9,حسد سے
annoying,0.0,-0.9,پریشان کن
costly,0.0,-0.9,مہنگا
wripped,0.0,-0.9,لپٹا ہوا
creep,0.0,-0.9,ریںگنا
pugnacious,0.0,-0.9,pugnacious
mordant,0.0,-0.9,کاٹنا
defensive,0.0,-0.9,دفاعی
disgustingly,0.0,-0.9,نفرت سے
needy,0.0,-0.9,محتاج
inextricably,0.0,-0.9,غیرجانبدارانہ
maladjusted,0.0,-0.9,خراب
spews,0.0,-0.9,پیچ
gaudy,0.0,-0.9,بہادر
unsteadily,0.0,-0.9,غیر مستحکم
whiny,0.0,-0.9,whiny
dents,0.0,-0.9,دانت
maladjustment,0.0,-0.9,خرابی
dispiriting,0.0,-0.9,منتشر
malcontented,0.0,-0.9,بدتمیزی
disliking,0.0,-0.9,ناپسند
figurehead,0.0,-0.9,اعداد و شمار
dissing,0.0,-0.9,الگ کرنا
misunderstanding,0.0,-0.9,غلط فہمی
lech,0.0,-0.9,لیچ
nettlesome,0.0,-0.9,نیٹ ٹیلسموم
overstatement,0.0,-0.9,بہت زیادہ
fiction,0.0,-0.9,افسانہ
confuses,0.0,-0.9,الجھنوں
inhibit,0.0,-0.9,روکنا
perverts,0.0,-0.9,خرابی
retreat,0.0,-0.9,پیچھے ہٹنا
miscellaneous,0.0,-0.9,متفرق
sorely,0.0,-0.9,تکلیف دہ
acrid,0.0,-0.9,تیزاب
daze,0.0,-0.9,چکرا
grate,0.0,-0.9,گھسنا
bitterly,0.0,-0.9,تلخی سے
aggravating,0.0,-0.9,بڑھتی ہوئی
dragging,0.0,-0.9,گھسیٹنا
engulf,0.0,-0.9,انجف
musty,0.0,-0.9,مسٹی
deride,0.0,-0.9,چمڑے
perverse,0.0,-0.9,ٹیڑھا ہونا
prison,0.0,-0.9,جیل
torrent,0.0,-0.9,ٹورینٹ
embroiled,0.0,-0.9,گھڑا ہوا
mindlessly,0.0,-0.9,ذہنی طور پر
heckled,0.0,-0.9,ہیکلڈ
brutally,0.0,-0.9,بے دردی سے
fatigue,0.0,-0.9,تھکاوٹ
doubts,0.0,-0.9,شک
incorrectly,0.0,-0.9,غلط طریقے سے
obstruction,0.0,-0.9,رکاوٹ
mishap,0.0,-0.9,حادثہ
object,0.0,-0.9,چیز
agonizingly,0.0,-0.9,اذیت سے
malevolently,0.0,-0.9,بداخلاقی سے
onerous,0.0,-0.9,بہت زیادہ
stun,0.0,-0.9,حیرت زدہ
stunt,0.0,-0.9,اسٹنٹ
asininely,0.0,-0.9,asininely
complicated,0.0,-0.9,پیچیدہ
delinquent,0.0,-0.9,قصور وار
reprehensibly,0.0,-0.9,مذمت سے
squealing,0.0,-0.9,نچوڑنا
overbearingly,0.0,-0.9,زیادہ دبے ہوئے
smouldering,0.0,-0.9,دھواں مارنا
inexcusable,0.0,-0.9,ناقابل معافی
disappointment,0.0,-0.9,مایوسی
loot,0.0,-0.9,لوٹ مار
unclear,0.0,-0.9,غیر واضح
polemize,0.0,-0.9,polemize
cheating,0.0,-0.9,دھوکہ دہی
brutalize,0.0,-0.9,ظلم برپا کرنا
fat-cats,0.0,-0.9,چربی بلیوں
condemns,0.0,-0.9,مذمت کرتے ہیں
fuzzy,0.0,-0.9,فجی
pointlessly,0.0,-0.9,بے معنی
bicker,0.0,-0.9,bicker
sh*t,0.0,-0.9,sh * t
licentiously,0.0,-0.9,قانونی طور پر
skulk,0.0,-0.9,کھوپڑی
anti-social,0.0,-0.9,معاشرتی مخالف
sugar-coat,0.0,-0.9,شوگر کوٹ
unconfirmed,0.0,-0.9,غیر مصدقہ
afflictive,0.0,-0.9,تکلیف دہ
depravedly,0.0,-0.9,افسردگی سے
unproves,0.0,-0.9,unproves
sadness,0.0,-0.9,اداسی
cave,0.0,-0.9,غار
unsavory,0.0,-0.9,بے چین
scaly,0.0,-0.9,کھپریلی
fundamentalism,0.0,-0.9,بنیاد پرستی
diappointed,0.0,-0.9,diapedised
inaudible,0.0,-0.9,ناقابل سماعت
bulky,0.0,-0.9,بھاری
appallingly,0.0,-0.9,خوفناک طور پر
distort,0.0,-0.9,بگاڑنا
failing,0.0,-0.9,ناکام
forswear,0.0,-0.9,forswear
