Term,PosScore,NegScore,Bangla
throb,0.0,-0.9,স্পন্দিত করা
snare,0.0,-0.9,ফাঁদ
anti-semites,0.0,-0.9,বিরোধী Semites
blindingly,0.0,-0.9,blindingly
chagrin,0.0,-0.9,বিষাদ
aggravation,0.0,-0.9,অধোগমন
hindrance,0.0,-0.9,অন্তরায়
dispensable,0.0,-0.9,অদরকারী
inculcate,0.0,-0.9,অভ্যন্তরে স্থাপন করা
hysteric,0.0,-0.9,হিস্টরিয়া-সংক্রান্ত
mock,0.0,-0.9,উপহাস
ineligible,0.0,-0.9,অযোগ্য
prisoner,0.0,-0.9,বন্দী
pander,0.0,-0.9,প্যান
quibble,0.0,-0.9,টাল
un-viewable,0.0,-0.9,আন-দর্শনীয়
menacing,0.0,-0.9,ভয়প্রদর্শনকারী
despoil,0.0,-0.9,বিহীন করা
get-rich,0.0,-0.9,ধনী হও
omit,0.0,-0.9,বর্জন করা
weakness,0.0,-0.9,দুর্বলতা
pique,0.0,-0.9,কোদাল
death,0.0,-0.9,মরণ
intimidating,0.0,-0.9,ভয় দেখিয়ে
dishonorablely,0.0,-0.9,dishonorablely
unknown,0.0,-0.9,অজানা
rejection,0.0,-0.9,প্রত্যাখ্যান
retract,0.0,-0.9,প্রত্যাহার করা
scam,0.0,-0.9,কেলেঙ্কারি
wripping,0.0,-0.9,wripping
backward,0.0,-0.9,অনগ্রসর
escapade,0.0,-0.9,চলে যাও
drag,0.0,-0.9,টানা
butchery,0.0,-0.9,কসাইখানা
misinformed,0.0,-0.9,ত্রুটিপূর্ণ
mist,0.0,-0.9,কুয়াশা
hamper,0.0,-0.9,ঝুড়ি
misfit,0.0,-0.9,বেমানান বস্তু
moronic,0.0,-0.9,ক্যাবলা
excoriate,0.0,-0.9,কঠোর সমালোচনা করা
deceitfully,0.0,-0.9,মিথ্যা
distraughtly,0.0,-0.9,distraughtly
partisans,0.0,-0.9,সমর্থকদের
needlessly,0.0,-0.9,অযথা
bleeding,0.0,-0.9,রক্তপাত
dazed,0.0,-0.9,ঝলসান
delays,0.0,-0.9,বিলম্ব
impugn,0.0,-0.9,সত্যতা অস্বীকার করা
weaken,0.0,-0.9,দুর্বল করা
ramshackle,0.0,-0.9,জীর্ণ
erase,0.0,-0.9,মুছে ফেলুন
treachery,0.0,-0.9,বিশ্বাসঘাতকতা
unachievable,0.0,-0.9,unachievable
belittled,0.0,-0.9,ছোট
scoldingly,0.0,-0.9,scoldingly
troublemaker,0.0,-0.9,যে ব্যক্তি উত্তেজনা সৃষ্টি করে
incoherence,0.0,-0.9,শিথিলতা
vulgar,0.0,-0.9,অভদ্র
conflicts,0.0,-0.9,দ্বন্দ্ব
desolate,0.0,-0.9,জনশূন্য
dismayingly,0.0,-0.9,dismayingly
discouraging,0.0,-0.9,নিরুৎসাহিত
ill-advised,0.0,-0.9,অবিবেকী
lanky,0.0,-0.9,ঢেঙ্গা
pessimistically,0.0,-0.9,pessimistically
unuseably,0.0,-0.9,unuseably
spinster,0.0,-0.9,চিরকুমারী
invader,0.0,-0.9,আক্রমণকারী
disloyal,0.0,-0.9,বিশ্বাসঘাতক
inability,0.0,-0.9,অক্ষমতা
oppose,0.0,-0.9,বিরোধিতা
pillory,0.0,-0.9,কাষ্ঠানির্মিত শাস্তিস্তম্ভবিশেষ
dissonantly,0.0,-0.9,dissonantly
unclean,0.0,-0.9,অপবিত্র
frustrations,0.0,-0.9,বিরক্তির
hoodium,0.0,-0.9,hoodium
anti-occupation,0.0,-0.9,বিরোধী বৃত্তি
difficult,0.0,-0.9,কঠিন
fatuously,0.0,-0.9,fatuously
upsets,0.0,-0.9,বিব্রত করে
tarnishes,0.0,-0.9,tarnishes
damper,0.0,-0.9,দাম্পের
undermines,0.0,-0.9,চলছে
smokescreen,0.0,-0.9,ধুঁয়ার
shameless,0.0,-0.9,লজ্জাহীন
instigate,0.0,-0.9,প্ররোচিত করা
harshly,0.0,-0.9,ধমকে
slime,0.0,-0.9,পাঁক
vainly,0.0,-0.9,ব্যর্থ
timidly,0.0,-0.9,timidly
sarcasm,0.0,-0.9,বিদ্রূপ
arcane,0.0,-0.9,রহস্যময়
disoobedient,0.0,-0.9,disoobedient
demonizing,0.0,-0.9,demonizing
dissonant,0.0,-0.9,বেসুরো
skinny,0.0,-0.9,চর্মসার
stifle,0.0,-0.9,কণ্ঠরোধ করা
flairs,0.0,-0.9,flairs
downer,0.0,-0.9,গরীবের
miserably,0.0,-0.9,শোচনীয়ভাবে
issues,0.0,-0.9,সমস্যা
precariously,0.0,-0.9,precariously
unworthy,0.0,-0.9,অযোগ্য
strike,0.0,-0.9,ধর্মঘট
complain,0.0,-0.9,নালিশ করা
dissolute,0.0,-0.9,চরিত্রহীন
contrive,0.0,-0.9,কার্যসাধন করা
stagnate,0.0,-0.9,স্থির হত্তয়া
mystify,0.0,-0.9,নিগূঢ় করা
belligerently,0.0,-0.9,belligerently
bull****,0.0,-0.9,ষাঁড়****
dupe,0.0,-0.9,প্রতারিত ব্যক্তি
fretful,0.0,-0.9,খিট্খিটে
stinging,0.0,-0.9,যন্ত্রণাদায়ক
impatient,0.0,-0.9,অধীর
disproportionate,0.0,-0.9,অনুপাতহীন
smoke,0.0,-0.9,ধোঁয়া
trapped,0.0,-0.9,আটকা পড়ে
slogging,0.0,-0.9,slogging
fatcats,0.0,-0.9,fatcats
grievance,0.0,-0.9,নালিশের কারণ
deceiver,0.0,-0.9,ঠগ
tanks,0.0,-0.9,ট্যাঙ্ক
superficial,0.0,-0.9,পৃষ্ঠস্থ
urgent,0.0,-0.9,জরুরী
head-aches,0.0,-0.9,মুখামুখি ব্যথা
inexplainable,0.0,-0.9,অবক্তব্য
jabber,0.0,-0.9,বক্বক্
deadlock,0.0,-0.9,অচল অবস্থা
uncertain,0.0,-0.9,অনিশ্চিত
mischievous,0.0,-0.9,ক্ষতিকর
offensive,0.0,-0.9,আক্রমণাত্মক
autocrat,0.0,-0.9,একনায়ক
repugnant,0.0,-0.9,বেমানান
scoundrel,0.0,-0.9,খচ্চর
demoralizingly,0.0,-0.9,demoralizingly
rampant,0.0,-0.9,প্রচণ্ড
egocentric,0.0,-0.9,অস্মিতাপূর্ণ
alarming,0.0,-0.9,ভীতিকর
fears,0.0,-0.9,ভয়
regret,0.0,-0.9,খেদ
wastefulness,0.0,-0.9,wastefulness
angry,0.0,-0.9,ক্রুদ্ধ
enviously,0.0,-0.9,enviously
annoying,0.0,-0.9,বিরক্তিকর
costly,0.0,-0.9,ব্যয়বহুল
wripped,0.0,-0.9,wripped
creep,0.0,-0.9,হামাগুড়ি
pugnacious,0.0,-0.9,দ্বন্দ্বপ্রি়
mordant,0.0,-0.9,কামড়ে
defensive,0.0,-0.9,আত্মরক্ষামূলক
disgustingly,0.0,-0.9,disgustingly
needy,0.0,-0.9,অতি দরিদ্র
inextricably,0.0,-0.9,ওতপ্রোতভাবে
maladjusted,0.0,-0.9,অপবিন্যস্ত
spews,0.0,-0.9,spews
gaudy,0.0,-0.9,জাঁকাল
unsteadily,0.0,-0.9,unsteadily
whiny,0.0,-0.9,ক্রন্দনরত
dents,0.0,-0.9,দাঁত
maladjustment,0.0,-0.9,সামঁজস্যহীনতা
dispiriting,0.0,-0.9,dispiriting
malcontented,0.0,-0.9,malcontented
disliking,0.0,-0.9,অনভিলাষী
figurehead,0.0,-0.9,figurehead
dissing,0.0,-0.9,dissing
misunderstanding,0.0,-0.9,ভুল বুঝা
lech,0.0,-0.9,Lech
nettlesome,0.0,-0.9,nettlesome
overstatement,0.0,-0.9,অতিরঞ্জন
fiction,0.0,-0.9,উপন্যাস
confuses,0.0,-0.9,বিভ্রান্ত
inhibit,0.0,-0.9,দমন করা
perverts,0.0,-0.9,perverts
retreat,0.0,-0.9,পশ্চাদপসরণ
miscellaneous,0.0,-0.9,বিবিধ
sorely,0.0,-0.9,কঠোরভাবে
acrid,0.0,-0.9,টক
daze,0.0,-0.9,ধাঁধা
grate,0.0,-0.9,ঝাঁঝরি
bitterly,0.0,-0.9,ভেঙ্গে
aggravating,0.0,-0.9,বিরক্তিকর
dragging,0.0,-0.9,টেনে
engulf,0.0,-0.9,ঢালা
musty,0.0,-0.9,বাসি
deride,0.0,-0.9,চামড়া
perverse,0.0,-0.9,বিপথগামী
prison,0.0,-0.9,কারাগার
torrent,0.0,-0.9,টরেন্ট
embroiled,0.0,-0.9,জড়িয়ে
mindlessly,0.0,-0.9,mindlessly
heckled,0.0,-0.9,heckled
brutally,0.0,-0.9,নির্মমভাবে
fatigue,0.0,-0.9,অবসাদ
doubts,0.0,-0.9,সন্দেহ
incorrectly,0.0,-0.9,ভুল
obstruction,0.0,-0.9,বিঘ্ন
mishap,0.0,-0.9,দুর্ঘটনা
object,0.0,-0.9,উদ্দেশ্য
agonizingly,0.0,-0.9,মর্মান্তিকভাবে
malevolently,0.0,-0.9,malevolently
onerous,0.0,-0.9,গুরুভার
stun,0.0,-0.9,অচেতন
stunt,0.0,-0.9,বাড়িতে না দেত্তয়া
asininely,0.0,-0.9,asininely
complicated,0.0,-0.9,জটিল
delinquent,0.0,-0.9,অপরাধী
reprehensibly,0.0,-0.9,reprehensibly
squealing,0.0,-0.9,squealing
overbearingly,0.0,-0.9,overbearingly
smouldering,0.0,-0.9,ধিকিধিকি
inexcusable,0.0,-0.9,অমার্জনীয়
disappointment,0.0,-0.9,হতাশা
loot,0.0,-0.9,লুণ্ঠন
unclear,0.0,-0.9,অস্পষ্ট
polemize,0.0,-0.9,polemize
cheating,0.0,-0.9,প্রতারণা
brutalize,0.0,-0.9,বর্বর বা নিষ্ঠুর
fat-cats,0.0,-0.9,চর্বি-বিড়াল
condemns,0.0,-0.9,অব্যবহার্য বলে ঘোষণা
fuzzy,0.0,-0.9,ঝাপসা
pointlessly,0.0,-0.9,pointlessly
bicker,0.0,-0.9,বকাবকি
sh*t,0.0,-0.9,sh * t
licentiously,0.0,-0.9,licentiously
skulk,0.0,-0.9,কাজ এড়ান
anti-social,0.0,-0.9,সমাজবিরোধী
sugar-coat,0.0,-0.9,চিনি-কোট
unconfirmed,0.0,-0.9,অসমর্থিত
afflictive,0.0,-0.9,মর্মন্তুদ
depravedly,0.0,-0.9,depravedly
unproves,0.0,-0.9,unproves
sadness,0.0,-0.9,বিষণ্ণতা
cave,0.0,-0.9,গুহা
unsavory,0.0,-0.9,বিস্বাদ
scaly,0.0,-0.9,আঁশযুক্ত
fundamentalism,0.0,-0.9,অন্ধবিশ্বাস
diappointed,0.0,-0.9,diappointed
inaudible,0.0,-0.9,শ্রবণাতীত
bulky,0.0,-0.9,ভারী
appallingly,0.0,-0.9,appallingly
distort,0.0,-0.9,Distort
failing,0.0,-0.9,ব্যর্থতা
forswear,0.0,-0.9,মিথ্যা শপথ করা
busybody,0.0,-0.9,অনধিকারচর্চাকারী
menacingly,0.0,-0.9,ভয় প্রদর্শন করিয়া
farce,0.0,-0.9,প্রহসন
lividly,0.0,-0.9,lividly
high-priced,0.0,-0.9,উচ্চমূল্য
massacre,0.0,-0.9,হত্যাকাণ্ড
repressive,0.0,-0.9,উত্পীড়নকর
hostilities,0.0,-0.9,যুদ্ধবিগ্রহ
exaggeration,0.0,-0.9,অত্যুক্তি
imposition,0.0,-0.9,আরোপ
cancerous,0.0,-0.9,ক্ষয়জনক
snobish,0.0,-0.9,snobish
illegally,0.0,-0.9,অবৈধভাবে
manipulators,0.0,-0.9,manipulators
obese,0.0,-0.9,স্থূলকায়
stunted,0.0,-0.9,শারিরীক
discoutinous,0.0,-0.9,discoutinous
oversize,0.0,-0.9,আয়তনের
bungling,0.0,-0.9,অনৈপুণ্য
inequitably,0.0,-0.9,inequitably
flaky,0.0,-0.9,স্তরপূর্ণ
ruthlessly,0.0,-0.9,নির্মমভাবে
slowww,0.0,-0.9,slowww
wildly,0.0,-0.9,দুর্দান্তভাবে
harangue,0.0,-0.9,বাগাড়ম্বরপূর্ণ বক্তৃতা
tattered,0.0,-0.9,জীর্ণ
dissent,0.0,-0.9,ভিন্নমত পোষণ করা
madman,0.0,-0.9,পাগল
overstatements,0.0,-0.9,overstatements
disputed,0.0,-0.9,বিতর্কিত
irritations,0.0,-0.9,চুলকানি
gravely,0.0,-0.9,গুরুত্বসহকারে
crash,0.0,-0.9,ক্র্যাশ
limit,0.0,-0.9,সীমা
deluded,0.0,-0.9,ঠগ
misguide,0.0,-0.9,ভুল পথে চালিত করা
struggles,0.0,-0.9,সংগ্রামের
radicals,0.0,-0.9,মৌল
derogatory,0.0,-0.9,হানিকর
suicidal,0.0,-0.9,আত্মঘাতী
lewdness,0.0,-0.9,ব্যভিচার
wobbled,0.0,-0.9,কেঁপেছে
unwelcome,0.0,-0.9,অনভিপ্রেত
discombobulate,0.0,-0.9,discombobulate
fatalistic,0.0,-0.9,অদৃষ্টবাদী
malady,0.0,-0.9,রোগ
wounds,0.0,-0.9,ঘা
misalign,0.0,-0.9,বেঁকিয়ে বসানো
jitter,0.0,-0.9,নার্ভাসভাবে কাজ করা
dizzingly,0.0,-0.9,dizzingly
vilify,0.0,-0.9,নিন্দা করা
indiscretion,0.0,-0.9,হঠকারিতা
bumpping,0.0,-0.9,bumpping
jolt,0.0,-0.9,ঝাঁকুনি
adversity,0.0,-0.9,বিদ্বেষ
wrongful,0.0,-0.9,অন্যায়
confound,0.0,-0.9,হতবুদ্ধি করা
awkwardness,0.0,-0.9,জবুথবুভাব
tempest,0.0,-0.9,প্রচণ্ড ঝড়
overkill,0.0,-0.9,Overkill
despot,0.0,-0.9,শাসক
sarcastic,0.0,-0.9,তীব্র ব্যঙ্গপূর্ণ
maddening,0.0,-0.9,উন্মাদক
ordeal,0.0,-0.9,কঠোর পরীক্ষা
chore,0.0,-0.9,টুকিটাকি কাজ
stressfully,0.0,-0.9,stressfully
foully,0.0,-0.9,ঘৃণিতভাবে
back-wood,0.0,-0.9,ব্যাক কাঠ
crush,0.0,-0.9,পিষা
splatter,0.0,-0.9,তড়বড় করে
undue,0.0,-0.9,অযৌক্তিক
vent,0.0,-0.9,বায়ু
full-blown,0.0,-0.9,পূর্ণবিকশিত
backwardness,0.0,-0.9,পশ্চাত্পদতা
maniac,0.0,-0.9,ক্ষিপ্ত
insincerely,0.0,-0.9,কপটভাবে
miscalculate,0.0,-0.9,ভুল গণনা করা
traumatized,0.0,-0.9,মানসিকভাবে আঘাত
instigators,0.0,-0.9,উস্কানিদাতাদের
lawlessness,0.0,-0.9,অনাচার
corrupts,0.0,-0.9,দূষিত করে
jeopardy,0.0,-0.9,ঝুঁকি
stupid,0.0,-0.9,মূঢ়
spiritless,0.0,-0.9,নির্জীব
alarm,0.0,-0.9,বিপদাশঙ্কা
inhospitality,0.0,-0.9,আতিথেয়তা মধ্যে
harmed,0.0,-0.9,ক্ষতিগ্রস্ত
franticly,0.0,-0.9,franticly
stigma,0.0,-0.9,পাংশু
prosecute,0.0,-0.9,নালিশ করা
hardships,0.0,-0.9,কষ্ট
impulsive,0.0,-0.9,আবেগপ্রবণ
cliched,0.0,-0.9,cliched
scarce,0.0,-0.9,দুর্লভ
unusably,0.0,-0.9,unusably
lure,0.0,-0.9,টোপ
corrupt,0.0,-0.9,দূষিত
dauntingly,0.0,-0.9,dauntingly
crummy,0.0,-0.9,টুকরা টুকরা
wayward,0.0,-0.9,নিরঙ্কুশ
negligence,0.0,-0.9,অবহেলা
vociferously,0.0,-0.9,vociferously
slaughtered,0.0,-0.9,জবাই
complaining,0.0,-0.9,অভিযোগ
indulge,0.0,-0.9,ইচ্ছাপূরণ
spurious,0.0,-0.9,কৃত্রিম
missed,0.0,-0.9,মিস
knave,0.0,-0.9,টেটন
tenderness,0.0,-0.9,আবেগপ্রবণতা
wariness,0.0,-0.9,সচেতনতা
villianous,0.0,-0.9,villianous
odor,0.0,-0.9,গন্ধ
stagnation,0.0,-0.9,স্তম্ভ
asinininity,0.0,-0.9,asinininity
demon,0.0,-0.9,দৈত্য
caustically,0.0,-0.9,caustically
disinclined,0.0,-0.9,বীতস্পৃহ
facetious,0.0,-0.9,রসিক
fiend,0.0,-0.9,পাষণ্ড
galling,0.0,-0.9,পীড়াদায়ক
havoc,0.0,-0.9,ব্যাপক ধ্বংস
nefarious,0.0,-0.9,পৈশাচিক
grumpiest,0.0,-0.9,রাগান্বিত
insubstantially,0.0,-0.9,insubstantially
blurred,0.0,-0.9,ঝাপসা
aching,0.0,-0.9,ধরা
losses,0.0,-0.9,লোকসান
cussed,0.0,-0.9,বেয়াড়া
diss,0.0,-0.9,ফারাক
cloudy,0.0,-0.9,মেঘলা
horrific,0.0,-0.9,ভয়ঙ্কর
raging,0.0,-0.9,raging
bewilder,0.0,-0.9,হতভম্ব করা
hates,0.0,-0.9,"ঘৃণা করেন,"
vexation,0.0,-0.9,বিক্ষোভ
jerky,0.0,-0.9,ঝাঁকুনিপূর্ণ
irascible,0.0,-0.9,একরোখা
deplorably,0.0,-0.9,শোচনীয়ভাবে
evils,0.0,-0.9,খারাপ
setbacks,0.0,-0.9,অবস্থার অবনতি
mischief,0.0,-0.9,দুষ্টুমি
reprehensible,0.0,-0.9,নিন্দনীয়
susceptible,0.0,-0.9,সমর্থ
itchy,0.0,-0.9,ফাটা
fuck,0.0,-0.9,যৌনসঙ্গম
hassled,0.0,-0.9,এই ঝামেলার
lack,0.0,-0.9,অভাব
apathetic,0.0,-0.9,উদাসী
overpower,0.0,-0.9,পরাভূত করা
backache,0.0,-0.9,পিঠব্যথা
disruption,0.0,-0.9,ভাঙ্গন
harpy,0.0,-0.9,ডাইনি
misunderstandings,0.0,-0.9,ভুল বোঝাবুঝি
misbecome,0.0,-0.9,অনুপযুক্ত হত্তয়া
misconception,0.0,-0.9,ভুল ধারণা
overblown,0.0,-0.9,অতিমাত্রায় ফুটিয়া যাত্তয়া
symptom,0.0,-0.9,উপসর্গ
trashy,0.0,-0.9,বাজে
graceless,0.0,-0.9,অসৎ
obstruct,0.0,-0.9,রোধ করা
straggler,0.0,-0.9,straggler
dismally,0.0,-0.9,ফল দিতে পারেনি
bomb,0.0,-0.9,বোমা
cranky,0.0,-0.9,খামখেয়ালী
lambaste,0.0,-0.9,আচ্র্ছারকম মারা
inane,0.0,-0.9,ফাঁকা
suck,0.0,-0.9,স্তন্যপান
absurdness,0.0,-0.9,absurdness
headaches,0.0,-0.9,মাথাব্যাথা
confounding,0.0,-0.9,বিভ্রান্তি
pigs,0.0,-0.9,শূকর
offensiveness,0.0,-0.9,offensiveness
evade,0.0,-0.9,টালা
lesser-known,0.0,-0.9,স্বল্প-পরিচিত
infections,0.0,-0.9,সংক্রমণ
stammer,0.0,-0.9,উৎপত্তি
insulting,0.0,-0.9,অপমান
victimize,0.0,-0.9,বলি দেত্তয়া
incompatible,0.0,-0.9,বেমানান
derisive,0.0,-0.9,উপহাস্য
thoughtlessly,0.0,-0.9,thoughtlessly
curses,0.0,-0.9,ঘোড়দৌড়
deadly,0.0,-0.9,মারাত্মক
drunkard,0.0,-0.9,মাতাল
inadverent,0.0,-0.9,inadverent
paradoxical,0.0,-0.9,আপার্তবৈপরীত
suicide,0.0,-0.9,আত্মহত্যা
downheartedly,0.0,-0.9,downheartedly
discouragingly,0.0,-0.9,discouragingly
testy,0.0,-0.9,পরীক্ষা
sap,0.0,-0.9,প্রাণরস
unreliability,0.0,-0.9,অবিশ্বস্ততা
mislike,0.0,-0.9,অপছন্দ
incapable,0.0,-0.9,অসমর্থ
paranoia,0.0,-0.9,প্যারানয়া
perilous,0.0,-0.9,বিপজ্জনক
guilt,0.0,-0.9,দোষ
subservience,0.0,-0.9,পরাধীনতার
unjustified,0.0,-0.9,অহেতুক
scrambling,0.0,-0.9,হাহাকার
belie,0.0,-0.9,মিথ্যা বর্ণনা প্রদান করা
mar,0.0,-0.9,সমুদ্র
sinking,0.0,-0.9,ডুবন্ত
contagious,0.0,-0.9,সংক্রামক
craps,0.0,-0.9,পাশার জুয়া
overbalance,0.0,-0.9,মূল্য আধিক্য
uncivilized,0.0,-0.9,অসভ্য
wilt,0.0,-0.9,প্রয়োজন
headache,0.0,-0.9,মাথা ব্যাথা
traumatize,0.0,-0.9,আঘাত করা
worse,0.0,-0.9,খারাপ
disturbingly,0.0,-0.9,বিঘ্নকারী
disfavor,0.0,-0.9,অপছন্দ
deteriorating,0.0,-0.9,অধোগামী
regretted,0.0,-0.9,দুঃখ প্রকাশ
disobedient,0.0,-0.9,অবাধ্য
dings,0.0,-0.9,ডিং
inapt,0.0,-0.9,অযোগ্য
snag,0.0,-0.9,অপ্রত্যাশিত বাধা
surrender,0.0,-0.9,আত্মসমর্পণ
illicit,0.0,-0.9,অবৈধ
obtuse,0.0,-0.9,ভোঁতা
defiantly,0.0,-0.9,ক্ষোভের সঙ্গে
flawed,0.0,-0.9,ত্রুটিযুক্ত
falsely,0.0,-0.9,মিথ্যাভাবে
infirm,0.0,-0.9,দুর্বল
persecute,0.0,-0.9,নির্যাতন করা
cataclysmic,0.0,-0.9,ভয়ানক
stubbornness,0.0,-0.9,জেদীতা
castrated,0.0,-0.9,নপুংসক
bleeds,0.0,-0.9,রক্তপাত
stodgy,0.0,-0.9,দুষ্পাচ্য
absentee,0.0,-0.9,অনুপস্থিত ব্যক্তি
slave,0.0,-0.9,ক্রীতদাস
deficient,0.0,-0.9,ন্যূন
meddlesome,0.0,-0.9,দ্বন্দ্বী
inundate,0.0,-0.9,প্লাবিত
cramping,0.0,-0.9,cramping
loathe,0.0,-0.9,অতিশয় অপছন্দ করা
despotic,0.0,-0.9,সার্বভৌম
dick,0.0,-0.9,শিশ্ন
insupportable,0.0,-0.9,অসহ্য
straining,0.0,-0.9,straining
defiance,0.0,-0.9,অবাধ্যতা
bombastic,0.0,-0.9,শব্দাড়ম্বরপূর্ণ
confusion,0.0,-0.9,বিশৃঙ্খলা
disagreement,0.0,-0.9,ভেদ
pretence,0.0,-0.9,ভান করা
criticisms,0.0,-0.9,সমালোচনা
concede,0.0,-0.9,প্রদান
accusations,0.0,-0.9,অভিযোগ
lackey,0.0,-0.9,ভৃত্য
stricken,0.0,-0.9,পীড়িত
unfamiliar,0.0,-0.9,অপরিচিত
sceptical,0.0,-0.9,সন্দেহপ্রবণ
chastisement,0.0,-0.9,শাস্তি
choke,0.0,-0.9,শ্বাসরোধ
cruelties,0.0,-0.9,নিষ্ঠুরতার
renounce,0.0,-0.9,অস্বীকার করা
stolen,0.0,-0.9,হৃত
unipolar,0.0,-0.9,ইউনিপোলার
spitefully,0.0,-0.9,সঙ্গে দুর্ব্যবহার
humiliation,0.0,-0.9,নাকাল
die,0.0,-0.9,দ্য
revenge,0.0,-0.9,প্রতিশোধ
underlings,0.0,-0.9,underlings
reactionary,0.0,-0.9,প্রতিক্রিয়াশীল
hurted,0.0,-0.9,hurted
deprave,0.0,-0.9,দূষিত করা
heartless,0.0,-0.9,হৃদয়হীন
horrify,0.0,-0.9,আতঙ্কিত করা
contempt,0.0,-0.9,অবজ্ঞা
rhetorical,0.0,-0.9,অলঙ্কৃত
crook,0.0,-0.9,বাঁক
less-developed,0.0,-0.9,কম উন্নত
brutish,0.0,-0.9,পাশবিক
reprehensive,0.0,-0.9,অসন্তুষ্টভাবে
inflammation,0.0,-0.9,প্রদাহ
relentless,0.0,-0.9,নিষ্করুণ
corrupted,0.0,-0.9,দূষিত
forlornly,0.0,-0.9,বউমা কই
contortions,0.0,-0.9,প্যাঁচাল
loathsomely,0.0,-0.9,loathsomely
pitiless,0.0,-0.9,নিষ্করুণ
disapprove,0.0,-0.9,অসন্তোষ
bastard,0.0,-0.9,জারজ
ineffectiveness,0.0,-0.9,অক্ষমতা
strife,0.0,-0.9,শত্রুতা
chronic,0.0,-0.9,দীর্ঘকালস্থায়ী
unthinkably,0.0,-0.9,unthinkably
harass,0.0,-0.9,হয়রানি
taint,0.0,-0.9,কলঙ্ক
haggle,0.0,-0.9,তর্কাতর্কি করা
mistaken,0.0,-0.9,ভুল
denigrate,0.0,-0.9,কলঙ্কিত করা
irresolute,0.0,-0.9,অস্থিরসঙ্কল্প
sinister,0.0,-0.9,অশুভ
clamor,0.0,-0.9,গোলমাল
fake,0.0,-0.9,নকল
imaginary,0.0,-0.9,কল্পিত
cliche,0.0,-0.9,পদসমষ্টি
insubordinate,0.0,-0.9,অবাধ্য
despicable,0.0,-0.9,ঘৃণ্য
fainthearted,0.0,-0.9,কাঠির মত
refute,0.0,-0.9,খণ্ডন করা
slower,0.0,-0.9,ধীর
deceivers,0.0,-0.9,প্রতারকদের
nagging,0.0,-0.9,বিরক্তি
solemn,0.0,-0.9,জাঁকজমকপূর্ণ
fiendish,0.0,-0.9,পৈশাচিক
haphazard,0.0,-0.9,এলোমেলো
truant,0.0,-0.9,যে ব্যক্তি কর্মস্থল হইতে পালায়
greed,0.0,-0.9,ক্ষুধা
unfinished,0.0,-0.9,অসমাপ্ত
slow-moving,0.0,-0.9,ধীরে চলাচল
despondency,0.0,-0.9,হতাশা
mischievously,0.0,-0.9,দুষ্টমি
plague,0.0,-0.9,প্লেগ
cackle,0.0,-0.9,প্যাঁক্ প্যাঁক্ শব্দ
inhumane,0.0,-0.9,নিষ্ঠুর
fumble,0.0,-0.9,এলোমেলো কথা বলা
cataclysmically,0.0,-0.9,cataclysmically
disdain,0.0,-0.9,অবজ্ঞা
overstate,0.0,-0.9,অত্যুক্তি করা
odder,0.0,-0.9,ভোঁদড়
inexorably,0.0,-0.9,জীবনে নিম্নমুখী গতি অপ্রতিরোধ্য
rile,0.0,-0.9,দেশ
mirage,0.0,-0.9,মরীচিকা
longingly,0.0,-0.9,longingly
hedge,0.0,-0.9,হেজ
precipitate,0.0,-0.9,থিতান
scarily,0.0,-0.9,scarily
uproariously,0.0,-0.9,uproariously
blurry,0.0,-0.9,ঝাপসা
capriciously,0.0,-0.9,খেয়ালখুশিমত
messy,0.0,-0.9,নোংরা
unilateralism,0.0,-0.9,unilateralism
immovable,0.0,-0.9,স্থাবর
roadblocks,0.0,-0.9,roadblocks
somber,0.0,-0.9,অন্ধকারাচ্ছন্ন
teasingly,0.0,-0.9,teasingly
upsetting,0.0,-0.9,বিপর্যস্ত
irked,0.0,-0.9,এবং irked
restriction,0.0,-0.9,সীমাবদ্ধতা
inexperience,0.0,-0.9,অনভিজ্ঞতা
breaking,0.0,-0.9,ভঙ্গ
illogically,0.0,-0.9,illogically
infraction,0.0,-0.9,অপরাধ
flaws,0.0,-0.9,সংক্রান্ত ত্রুটিগুলি
annihilation,0.0,-0.9,নাশ
emptiness,0.0,-0.9,শূন্যতা
nauseate,0.0,-0.9,বিরক্তি বোধ করা
alarmed,0.0,-0.9,উদ্বিগ্ন
contamination,0.0,-0.9,অপবিত্রতা
disrespect,0.0,-0.9,অসম্মান
problems,0.0,-0.9,সমস্যার
punishable,0.0,-0.9,দণ্ডনীয়
unfaithfully,0.0,-0.9,গোপন
frazzled,0.0,-0.9,frazzled
juddering,0.0,-0.9,juddering
emasculate,0.0,-0.9,পুরুষত্বহীন
fracture,0.0,-0.9,ফাটল
bleed,0.0,-0.9,ব্লিড
horrified,0.0,-0.9,সন্ত্রাসিত
insensitively,0.0,-0.9,insensitively
suspicion,0.0,-0.9,সন্দেহ
contend,0.0,-0.9,তর্কবিতর্ক করা
pain,0.0,-0.9,ব্যথা
rants,0.0,-0.9,একটি rants
dishonestly,0.0,-0.9,অসৎ
ignore,0.0,-0.9,উপেক্ষা করা
tense,0.0,-0.9,ক্রিয়ার কাল
dissatisfying,0.0,-0.9,dissatisfying
uglier,0.0,-0.9,uglier
crumble,0.0,-0.9,টুকরা টুকরা করা
apologist,0.0,-0.9,কৈফিয়তদানকারী
narrower,0.0,-0.9,সংকীর্ণ
flabbergast,0.0,-0.9,হতবুদ্ধি করা
