Term,PosScore,NegScore,Marathi
generosity,0.9,0.0,औदार्य
merry,0.9,0.0,आनंद
groundbreaking,0.9,0.0,ग्राउंडब्रेकिंग
decisive,0.9,0.0,निर्णायक
protection,0.9,0.0,संरक्षण
interesting,0.9,0.0,मनोरंजक
satisfactory,0.9,0.0,समाधानकारक
ecenomical,0.9,0.0,इकोनोमिकल
prowess,0.9,0.0,पराक्रम
adorable,0.9,0.0,मोहक
mesmerizing,0.9,0.0,मंत्रमुग्ध
uncomplicated,0.9,0.0,अव्यवस्थित
entice,0.9,0.0,भुरळ घालणे
fun,0.9,0.0,मजेदार
best,0.9,0.0,सर्वोत्तम
godlike,0.9,0.0,देवासारखा
attune,0.9,0.0,मिळवणे
toll-free,0.9,0.0,कर मुक्त
regard,0.9,0.0,संबंधित
ameliorate,0.9,0.0,आनंद
useable,0.9,0.0,वापरण्यायोग्य
top-notch,0.9,0.0,अव्वल
astoundingly,0.9,0.0,आश्चर्यचकितपणे
celebrate,0.9,0.0,साजरा करणे
affable,0.9,0.0,प्रेमळ
flourishing,0.9,0.0,भरभराट
easiness,0.9,0.0,सहजता
well-behaved,0.9,0.0,चांगले वागले
enjoyment,0.9,0.0,आनंद
exultingly,0.9,0.0,आनंदाने
popular,0.9,0.0,लोकप्रिय
cornerstone,0.9,0.0,कोनशिला
remedy,0.9,0.0,उपाय
greatness,0.9,0.0,महानता
effusiveness,0.9,0.0,लहरीपणा
cool,0.9,0.0,मस्त
raptureously,0.9,0.0,आनंदीपणे
bolster,0.9,0.0,चालक
erudite,0.9,0.0,विचित्र
smoothest,0.9,0.0,हळूवार
examplar,0.9,0.0,नमुना
exciting,0.9,0.0,रोमांचक
apotheosis,0.9,0.0,अपोथोसिस
convenience,0.9,0.0,सुविधा
impeccably,0.9,0.0,निर्दोष
kindliness,0.9,0.0,प्रेमळपणा
recover,0.9,0.0,पुनर्प्राप्त
standout,0.9,0.0,स्टँडआउट
halcyon,0.9,0.0,हॅल्सीओन
satisfactorily,0.9,0.0,समाधानकारकपणे
worth-while,0.9,0.0,किमतीची
well-being,0.9,0.0,कल्याण
thrill,0.9,0.0,रोमांच
rightly,0.9,0.0,बरोबर
entrancing,0.9,0.0,प्रवेशद्वार
victory,0.9,0.0,विजय
survivor,0.9,0.0,वाचलेले
dreamland,0.9,0.0,स्वप्नलँड
renaissance,0.9,0.0,पुनर्जागरण
radiant,0.9,0.0,तेजस्वी
delicacy,0.9,0.0,सफाईदारपणा
innocuous,0.9,0.0,निर्दोष
enthral,0.9,0.0,मंत्रमुग्ध करणे
comfort,0.9,0.0,सोई
sexy,0.9,0.0,मादक
champion,0.9,0.0,विजेता
amazes,0.9,0.0,चकित
enough,0.9,0.0,पुरेसा
effusively,0.9,0.0,प्रभावीपणे
unquestionably,0.9,0.0,निःसंशयपणे
regally,0.9,0.0,नियमितपणे
tough,0.9,0.0,कठीण
terrific,0.9,0.0,भयानक
envious,0.9,0.0,मत्सर
soothe,0.9,0.0,शांत करणे
astound,0.9,0.0,आश्चर्यचकित
pleasingly,0.9,0.0,आनंदाने
agreeableness,0.9,0.0,सहमत
marveled,0.9,0.0,आश्चर्यचकित
assuredly,0.9,0.0,निश्चितपणे
chivalry,0.9,0.0,पराक्रम
pleasurably,0.9,0.0,सुखद
hug,0.9,0.0,मिठी
sincere,0.9,0.0,प्रामाणिक
affectation,0.9,0.0,असाइनमेंट
exquisitely,0.9,0.0,उत्कटतेने
amaze,0.9,0.0,आश्चर्यचकित
fortuitous,0.9,0.0,भाग्यवान
god-given,0.9,0.0,देव-दिले
shiny,0.9,0.0,चमकदार
tolerable,0.9,0.0,सहनशील
stunning,0.9,0.0,जबरदस्त आकर्षक
preeminent,0.9,0.0,मुख्य
protect,0.9,0.0,संरक्षण
masterpieces,0.9,0.0,उत्कृष्ट नमुने
merriness,0.9,0.0,आनंद
sumptuousness,0.9,0.0,शोषण
exellent,0.9,0.0,हद्दपार
defender,0.9,0.0,बचावकर्ता
responsibly,0.9,0.0,जबाबदार
warmer,0.9,0.0,उबदार
self-sufficiency,0.9,0.0,आत्मनिर्भरता
snazzy,0.9,0.0,गोंधळलेला
brighten,0.9,0.0,उजळणे
cleanliness,0.9,0.0,स्वच्छता
saintliness,0.9,0.0,संतत्व
heartwarming,0.9,0.0,हार्दिक
polished,0.9,0.0,निर्दोष
superiority,0.9,0.0,श्रेष्ठत्व
goodly,0.9,0.0,छान
inexpensive,0.9,0.0,स्वस्त
pluses,0.9,0.0,प्लेस
valuable,0.9,0.0,मौल्यवान
straightforward,0.9,0.0,सरळ
rewardingly,0.9,0.0,फायद्याचे
chaste,0.9,0.0,पवित्र
counter-attacks,0.9,0.0,प्रतिउत्तर
posh,0.9,0.0,पॉश
meticulous,0.9,0.0,सावध
empower,0.9,0.0,सक्षम
gained,0.9,0.0,मिळवली
modern,0.9,0.0,आधुनिक
handy,0.9,0.0,सुलभ
heartfelt,0.9,0.0,मनापासून
encouraging,0.9,0.0,उत्साहवर्धक
ecstatic,0.9,0.0,उत्साही
creative,0.9,0.0,सर्जनशील
respectfully,0.9,0.0,आदरपूर्वक
avid,0.9,0.0,उत्सुक
legendary,0.9,0.0,कल्पित
veritable,0.9,0.0,सत्यापित
exceeded,0.9,0.0,ओलांडला
supple,0.9,0.0,कोमल
tremendously,0.9,0.0,प्रचंड
cherub,0.9,0.0,करुब
winners,0.9,0.0,विजेते
rockstars,0.9,0.0,रॉकस्टार्स
serenity,0.9,0.0,निर्मळपणा
profound,0.9,0.0,प्रगल्भ
light-hearted,0.9,0.0,हलक्या मनाचा
enthusiastic,0.9,0.0,उत्साही
joyous,0.9,0.0,आनंदी
recommendations,0.9,0.0,शिफारसी
consistent,0.9,0.0,सुसंगत
exaltation,0.9,0.0,उदात्तीकरण
sweetness,0.9,0.0,गोडपणा
winning,0.9,0.0,जिंकणे
peps,0.9,0.0,peps
razor-sharp,0.9,0.0,वस्तरा धारदार
boom,0.9,0.0,भरभराट
enticed,0.9,0.0,मोहित
revolutionary,0.9,0.0,क्रांतिकारक
wonderful,0.9,0.0,अप्रतिम
cure,0.9,0.0,बरा
devout,0.9,0.0,धर्माभिमानी
diligence,0.9,0.0,व्यासंग
worthiness,0.9,0.0,योग्यता
twinkly,0.9,0.0,ट्विंकली
cheaper,0.9,0.0,स्वस्त
exceled,0.9,0.0,exceled
abound,0.9,0.0,विपुल
opulent,0.9,0.0,समृद्ध
wealthy,0.9,0.0,श्रीमंत
blossom,0.9,0.0,बहर
optimism,0.9,0.0,आशावाद
gladness,0.9,0.0,आनंद
roomier,0.9,0.0,रूमियर
saintly,0.9,0.0,पवित्रपणे
favored,0.9,0.0,इष्ट
lovable,0.9,0.0,प्रेमळ
unforgettable,0.9,0.0,अविस्मरणीय
outshine,0.9,0.0,ओव्हरसाईन
restructuring,0.9,0.0,पुनर्रचना
prominent,0.9,0.0,प्रमुख
altruistically,0.9,0.0,परोपकाराने
simpler,0.9,0.0,सोपे
cute,0.9,0.0,गोंडस
well-run,0.9,0.0,चांगले चालवा
bountiful,0.9,0.0,भरपूर
speedily,0.9,0.0,वेगाने
commendable,0.9,0.0,कौतुकास्पद
restful,0.9,0.0,शांत
captivating,0.9,0.0,मोहक
lovably,0.9,0.0,प्रेमळ
energetic,0.9,0.0,उत्साही
freedoms,0.9,0.0,स्वातंत्र्य
sleek,0.9,0.0,गोंडस
lawful,0.9,0.0,कायदेशीर
crisp,0.9,0.0,खुसखुशीत
foolproof,0.9,0.0,मूर्ख
truthfully,0.9,0.0,सचोटीने
sparkling,0.9,0.0,चमचमीत
beckoned,0.9,0.0,इशारा केला
resilient,0.9,0.0,लवचिक
faithful,0.9,0.0,विश्वासू
rejoicing,0.9,0.0,आनंद होत आहे
helping,0.9,0.0,मदत करत आहे
dazzling,0.9,0.0,लखलखीत
capability,0.9,0.0,क्षमता
affluent,0.9,0.0,संपन्न
exceed,0.9,0.0,जास्त
hero,0.9,0.0,नायक
steadfast,0.9,0.0,स्थिर
a+,0.9,0.0,एक +
irreproachable,0.9,0.0,अपरिवर्तनीय
sociable,0.9,0.0,मिलनसार
plusses,0.9,0.0,प्लस
praiseworthy,0.9,0.0,कौतुकास्पद
self-satisfaction,0.9,0.0,आत्म-समाधान
likable,0.9,0.0,आवडण्यायोग्य
rightfully,0.9,0.0,यथार्थपणे
wins,0.9,0.0,विजय
refined,0.9,0.0,शुद्ध
charitable,0.9,0.0,धर्मादाय
poise,0.9,0.0,शांतता
gooood,0.9,0.0,चांगले
agreeable,0.9,0.0,मान्य
dexterous,0.9,0.0,निपुण
well-established,0.9,0.0,स्थिरस्थावर
amiable,0.9,0.0,प्रेमळ
brisk,0.9,0.0,तेज
sincerity,0.9,0.0,प्रामाणिकपणा
beauty,0.9,0.0,सौंदर्य
advocates,0.9,0.0,वकिलांची
concise,0.9,0.0,संक्षिप्त
prudently,0.9,0.0,विवेकीपणे
revelation,0.9,0.0,प्रकटीकरण
ultra-crisp,0.9,0.0,अति कुरकुरीत
revitalize,0.9,0.0,पुनरुज्जीवन करणे
talent,0.9,0.0,प्रतिभा
wondrous,0.9,0.0,आश्चर्यकारक
helpful,0.9,0.0,उपयुक्त
fervor,0.9,0.0,उत्साही
swankier,0.9,0.0,swankier
graceful,0.9,0.0,सुंदर
trustingly,0.9,0.0,विश्वासाने
extraordinarily,0.9,0.0,विलक्षण
deginified,0.9,0.0,deginified
attractive,0.9,0.0,आकर्षक
powerful,0.9,0.0,शक्तिशाली
stimulating,0.9,0.0,उत्तेजक
empathy,0.9,0.0,सहानुभूती
suitable,0.9,0.0,योग्य
eye-catch,0.9,0.0,लक्षवेधी
tempt,0.9,0.0,परीक्षा
auspicious,0.9,0.0,शुभ
enthralled,0.9,0.0,मंत्रमुग्ध
triumphantly,0.9,0.0,विजयाने
beneficent,0.9,0.0,लाभार्थी
good,0.9,0.0,चांगले
exceptionally,0.9,0.0,अपवादात्मकपणे
dexterously,0.9,0.0,निपुणतेने
survival,0.9,0.0,जगण्याची
maturely,0.9,0.0,परिपक्व
impartiality,0.9,0.0,निष्पक्षता
relief,0.9,0.0,आराम
earnestness,0.9,0.0,प्रामाणिकपणा
trusted,0.9,0.0,विश्वासु
peacekeepers,0.9,0.0,शांतताप्रिय
endorsed,0.9,0.0,मान्यताप्राप्त
diligently,0.9,0.0,परिश्रमपूर्वक
accomplished,0.9,0.0,साध्य
entertain,0.9,0.0,करमणूक
tougher,0.9,0.0,कठीण
reforms,0.9,0.0,सुधारणा
wellbeing,0.9,0.0,कल्याण
guiltless,0.9,0.0,निर्दोष
stimulative,0.9,0.0,उत्तेजक
flawless,0.9,0.0,निर्दोष
spacious,0.9,0.0,प्रशस्त
gracefully,0.9,0.0,कृपेने
surmount,0.9,0.0,surmount
poetic,0.9,0.0,काव्यात्मक
reaffirm,0.9,0.0,पुष्टी करा
productive,0.9,0.0,उत्पादक
advantageously,0.9,0.0,फायदेशीरपणे
better,0.9,0.0,चांगले
temptingly,0.9,0.0,मोहातपणाने
passionately,0.9,0.0,उत्कटतेने
rational,0.9,0.0,तर्कसंगत
breathtakingly,0.9,0.0,चित्तथरारकपणे
unquestionable,0.9,0.0,निर्विवाद
fashionable,0.9,0.0,फॅशनेबल
uplift,0.9,0.0,उत्थान
sharpest,0.9,0.0,सर्वात वेगवान
charming,0.9,0.0,मोहक
agile,0.9,0.0,चपळ
elated,0.9,0.0,आनंदित
enrichment,0.9,0.0,समृद्धी
considerate,0.9,0.0,मानले
cleverly,0.9,0.0,हुशारीने
prefer,0.9,0.0,प्राधान्य
privilege,0.9,0.0,विशेषाधिकार
astounded,0.9,0.0,चकित झाले
trophy,0.9,0.0,करंडक
exceeds,0.9,0.0,ओलांडते
cheery,0.9,0.0,आनंदी
acclaimed,0.9,0.0,प्रशंसित
geekier,0.9,0.0,geekier
charm,0.9,0.0,मोहिनी
smiling,0.9,0.0,हसत
glitter,0.9,0.0,चमक
admiring,0.9,0.0,प्रशंसा
invaluable,0.9,0.0,अमूल्य
magic,0.9,0.0,जादू
fastest-growing,0.9,0.0,वेगाने वाढणारी
easier,0.9,0.0,सोपे
revive,0.9,0.0,पुनरुज्जीवन
commend,0.9,0.0,प्रशंसा करा
prodigy,0.9,0.0,उधळपट्टी
fearless,0.9,0.0,निर्भय
convient,0.9,0.0,योग्य
savings,0.9,0.0,बचत
appreciates,0.9,0.0,कौतुक
hardier,0.9,0.0,कठोर
zippy,0.9,0.0,झिप्पी
ebullient,0.9,0.0,उबदार
examplary,0.9,0.0,नमुना
prolific,0.9,0.0,विपुल
gallantly,0.9,0.0,शौर्याने
manageable,0.9,0.0,व्यवस्थापित करण्यायोग्य
protective,0.9,0.0,संरक्षणात्मक
politeness,0.9,0.0,सभ्यता
optimistic,0.9,0.0,आशावादी
sane,0.9,0.0,विवेकी
fortunate,0.9,0.0,भाग्यवान
doubtless,0.9,0.0,निःसंशय
conscientious,0.9,0.0,प्रामाणिक
invincible,0.9,0.0,अजिंक्य
restructured,0.9,0.0,पुनर्रचना
fiery,0.9,0.0,अग्निमय
irresistibly,0.9,0.0,निर्विकारपणे
welcome,0.9,0.0,स्वागत आहे
smilingly,0.9,0.0,हसत हसत
rapture,0.9,0.0,अत्यानंद (ब्रम्हानंद)
tantalizing,0.9,0.0,टँटलिझिंग
inspiring,0.9,0.0,प्रेरणादायक
luminous,0.9,0.0,चमकदार
luck,0.9,0.0,नशीब
efficiently,0.9,0.0,कार्यक्षमतेने
recomend,0.9,0.0,पुनर्प्राप्त
beneficial,0.9,0.0,फायदेशीर
spontaneous,0.9,0.0,उत्स्फूर्त
feasible,0.9,0.0,व्यवहार्य
cheer,0.9,0.0,आनंदी
strong,0.9,0.0,मजबूत
variety,0.9,0.0,विविधता
prudence,0.9,0.0,सावधगिरी
romantic,0.9,0.0,रोमँटिक
marvel,0.9,0.0,चमत्कार
upgradable,0.9,0.0,सुधारीत
likes,0.9,0.0,आवडी
cooperative,0.9,0.0,सहकारी
idolized,0.9,0.0,मूर्तीकृत
positively,0.9,0.0,सकारात्मकतेने
gain,0.9,0.0,मिळवणे
eyecatch,0.9,0.0,eyecatch
flatteringly,0.9,0.0,चापटपणाने
heroic,0.9,0.0,वीर
zest,0.9,0.0,उत्साह
attentive,0.9,0.0,सावध
glorify,0.9,0.0,गौरव करा
prosperity,0.9,0.0,भरभराट
smoothly,0.9,0.0,सहजतेने
authoritative,0.9,0.0,अधिकृत
meticulously,0.9,0.0,सावधपणे
principled,0.9,0.0,प्रिन्सिपल
dignify,0.9,0.0,सन्मान
eyecatching,0.9,0.0,eyecatching
excelent,0.9,0.0,उत्कृष्ट
vibrantly,0.9,0.0,दोलायमानपणे
advocated,0.9,0.0,वकिली केली
desirous,0.9,0.0,इष्ट
excite,0.9,0.0,खळबळ
proves,0.9,0.0,सिद्ध करते
trouble-free,0.9,0.0,त्रासमुक्त
exuberant,0.9,0.0,विपुल
promised,0.9,0.0,वचन दिले
noteworthy,0.9,0.0,उल्लेखनीय
upliftment,0.9,0.0,उत्थान
wisdom,0.9,0.0,शहाणपणा
judicious,0.9,0.0,न्याय्य
personages,0.9,0.0,वर्ण
blissful,0.9,0.0,आनंदी
rosy,0.9,0.0,गुलाबी
stately,0.9,0.0,सभ्य
fancier,0.9,0.0,फॅन्सीअर
finely,0.9,0.0,बारीक
intelligent,0.9,0.0,हुशार
lush,0.9,0.0,समृद्धीचे
thoughtfulness,0.9,0.0,विवेकीपणा
feature-rich,0.9,0.0,वैशिष्ट्यपूर्ण
rock-stars,0.9,0.0,रॉक-तारे
morality,0.9,0.0,नैतिकता
qualify,0.9,0.0,पात्र
durable,0.9,0.0,टिकाऊ
realizable,0.9,0.0,जाणण्यायोग्य
glistening,0.9,0.0,चकाकी
upscale,0.9,0.0,upscale
well-regarded,0.9,0.0,आदरणीय
fantastically,0.9,0.0,आश्चर्यकारकपणे
thinner,0.9,0.0,पातळ
lead,0.9,0.0,आघाडी
profuse,0.9,0.0,निपुण
jaw-droping,0.9,0.0,जबडा-ड्रॉपिंग
reliably,0.9,0.0,विश्वासाने
clarity,0.9,0.0,स्पष्टता
award,0.9,0.0,पुरस्कार
relish,0.9,0.0,चव
wonderously,0.9,0.0,आश्चर्यकारकपणे
faithfulness,0.9,0.0,विश्वासूपणा
invigorating,0.9,0.0,उत्साहवर्धक
believeable,0.9,0.0,विश्वासार्ह
breakthrough,0.9,0.0,घुसखोरी
master,0.9,0.0,मास्टर
boost,0.9,0.0,चालना
flutter,0.9,0.0,फडफड
illuminati,0.9,0.0,इल्युमिनती
dominated,0.9,0.0,वर्चस्व
inviolable,0.9,0.0,अजिंक्य
delightfully,0.9,0.0,आनंदाने
ethical,0.9,0.0,नैतिक
precious,0.9,0.0,मौल्यवान
dazzled,0.9,0.0,चकचकीत
fast,0.9,0.0,वेगवान
tantalize,0.9,0.0,चिडवणे
respect,0.9,0.0,आदर
reputation,0.9,0.0,प्रतिष्ठा
precise,0.9,0.0,अचूक
credence,0.9,0.0,विश्वासार्हता
divinely,0.9,0.0,ईश्वरीपणे
benefits,0.9,0.0,फायदे
eye-catching,0.9,0.0,लक्षवेधी
adventuresome,0.9,0.0,साहसी
impressive,0.9,0.0,प्रभावी
facilitate,0.9,0.0,सुलभ करा
well,0.9,0.0,चांगले
immense,0.9,0.0,अफाट
inestimably,0.9,0.0,insertmably
well-connected,0.9,0.0,चांगले कनेक्ट केलेले
convenient,0.9,0.0,सोयीस्कर
solidarity,0.9,0.0,एकता
affirmation,0.9,0.0,पुष्टीकरण
hospitable,0.9,0.0,आदरणीय
commendably,0.9,0.0,कौतुकास्पद
exemplary,0.9,0.0,अनुकरणीय
thumb-up,0.9,0.0,अंगठा
thrifty,0.9,0.0,थ्रीटी
patience,0.9,0.0,संयम
pep,0.9,0.0,pep
defeat,0.9,0.0,पराभव
trustworthy,0.9,0.0,विश्वासार्ह
affability,0.9,0.0,प्रेमळपणा
prosper,0.9,0.0,भरभराट
sharp,0.9,0.0,तीक्ष्ण
traction,0.9,0.0,कर्षण
elevate,0.9,0.0,उन्नत करणे
festive,0.9,0.0,उत्सव
superbly,0.9,0.0,फारच
upgraded,0.9,0.0,श्रेणीसुधारित
glamorous,0.9,0.0,मोहक
lively,0.9,0.0,सजीव
peerless,0.9,0.0,निर्विकार
bliss,0.9,0.0,आनंद
revere,0.9,0.0,आदर करणे
affectionate,0.9,0.0,प्रेमळ
brilliant,0.9,0.0,हुशार
shine,0.9,0.0,चमकणे
idolize,0.9,0.0,मूर्ती करणे
self-respect,0.9,0.0,स्वाभिमान
suffice,0.9,0.0,पुरेसे
exhilaration,0.9,0.0,आनंद
fancy,0.9,0.0,फॅन्सी
purposeful,0.9,0.0,हेतूपूर्ण
wow,0.9,0.0,व्वा
diversified,0.9,0.0,वैविध्यपूर्ण
famous,0.9,0.0,प्रसिद्ध
assurances,0.9,0.0,विमा
slammin,0.9,0.0,स्लॅमिन
love,0.9,0.0,प्रेम
unlimited,0.9,0.0,अमर्यादित
benefactor,0.9,0.0,उपकारकर्ता
navigable,0.9,0.0,सुगम
satisfied,0.9,0.0,समाधानी
gush,0.9,0.0,आनंदी
delightfulness,0.9,0.0,आनंद
fascinatingly,0.9,0.0,मोहकपणे
leads,0.9,0.0,ठरतो
expeditiously,0.9,0.0,त्वरेने
humour,0.9,0.0,विनोद
reputable,0.9,0.0,प्रतिष्ठित
shimmeringly,0.9,0.0,लखलखीत
genius,0.9,0.0,अलौकिक बुद्धिमत्ता
streamlined,0.9,0.0,सुव्यवस्थित
unmatched,0.9,0.0,न जुळणारे
boundless,0.9,0.0,अमर्याद
effortlessly,0.9,0.0,सहजतेने
lyrical,0.9,0.0,कल्पित
reconciliation,0.9,0.0,सलोखा
proper,0.9,0.0,योग्य
amuse,0.9,0.0,विस्मित
infallible,0.9,0.0,अचूक
immaculately,0.9,0.0,बेदाग
spellbindingly,0.9,0.0,जादूपूर्वक
cohesive,0.9,0.0,संलग्न
sweet,0.9,0.0,गोड
dominates,0.9,0.0,वर्चस्व
exceptional,0.9,0.0,अपवादात्मक
productively,0.9,0.0,उत्पादक म्हणून
successes,0.9,0.0,यश
pampered,0.9,0.0,लाड केले
beneficiary,0.9,0.0,लाभार्थी
supreme,0.9,0.0,सर्वोच्च
foresight,0.9,0.0,दूरदृष्टी
pleasantly,0.9,0.0,सुखद
conciliatory,0.9,0.0,सुलभ
endorsement,0.9,0.0,समर्थन
outperforming,0.9,0.0,आऊटफॉर्मिंग
assure,0.9,0.0,आश्वासन
mighty,0.9,0.0,पराक्रमी
deserving,0.9,0.0,पात्र
colorful,0.9,0.0,रंगीबेरंगी
enjoys,0.9,0.0,आनंद घेतो
sustainability,0.9,0.0,टिकाव
everlasting,0.9,0.0,चिरंतन
mesmerized,0.9,0.0,मंत्रमुग्ध
praise,0.9,0.0,स्तुती
togetherness,0.9,0.0,एकरूपता
delight,0.9,0.0,आनंद
vigilance,0.9,0.0,दक्षता
adjustable,0.9,0.0,बदलानुकारी
extraordinary,0.9,0.0,विलक्षण
memorable,0.9,0.0,संस्मरणीय
enlightenment,0.9,0.0,आत्मज्ञान
swiftness,0.9,0.0,वेग
enchanted,0.9,0.0,मंत्रमुग्ध
acumen,0.9,0.0,हुशार
unabashedly,0.9,0.0,निर्दयपणे
fresher,0.9,0.0,फ्रेशर
joyously,0.9,0.0,आनंदाने
adroit,0.9,0.0,कुशल
receptive,0.9,0.0,ग्रहणक्षम
calming,0.9,0.0,शांत
gallant,0.9,0.0,धाडसी
renowned,0.9,0.0,प्रसिद्ध
fervent,0.9,0.0,उत्कट
painless,0.9,0.0,वेदनारहित
rapport,0.9,0.0,अहवाल
expansive,0.9,0.0,विस्तृत
raptureous,0.9,0.0,अत्यानंद
optimal,0.9,0.0,इष्टतम
heroize,0.9,0.0,नायिका
thrillingly,0.9,0.0,थरारकपणे
remarkably,0.9,0.0,उल्लेखनीय
eases,0.9,0.0,सुलभ
smart,0.9,0.0,हुशार
amenable,0.9,0.0,सुलभ
dummy-proof,0.9,0.0,बनावट पुरावा
overtook,0.9,0.0,मागे टाकले
astounding,0.9,0.0,आश्चर्यकारक
congratulatory,0.9,0.0,अभिनंदन
glowing,0.9,0.0,चमकणारा
simplified,0.9,0.0,सरलीकृत
honor,0.9,0.0,सन्मान
detachable,0.9,0.0,वियोग करण्यायोग्य
evocative,0.9,0.0,उत्तेजक
secure,0.9,0.0,सुरक्षित
envy,0.9,0.0,मत्सर
darling,0.9,0.0,प्रिय
playful,0.9,0.0,चंचल
wonderous,0.9,0.0,आश्चर्यकारक
paradise,0.9,0.0,नंदनवन
lucid,0.9,0.0,ल्युसिड
reachable,0.9,0.0,पोहोचण्यायोग्य
gratifies,0.9,0.0,खूष आहे
exult,0.9,0.0,आनंद
splendor,0.9,0.0,वैभव
outshone,0.9,0.0,आउशोन
refreshed,0.9,0.0,रीफ्रेश
revel,0.9,0.0,शोभणे
revolutionize,0.9,0.0,क्रांती करा
brighter,0.9,0.0,उजळ
celebratory,0.9,0.0,उत्सव
crisper,0.9,0.0,कुरकुरीत
consistently,0.9,0.0,सातत्याने
encouragement,0.9,0.0,प्रोत्साहन
workable,0.9,0.0,कार्यक्षम
pleasure,0.9,0.0,आनंद
uphold,0.9,0.0,समर्थन
decency,0.9,0.0,सभ्यता
trendy,0.9,0.0,कालानुरुप
exaltingly,0.9,0.0,उदात्तपणे
preferable,0.9,0.0,श्रेयस्कर
problem-free,0.9,0.0,समस्यामुक्त
accurate,0.9,0.0,अचूक
ingenuously,0.9,0.0,चातुर्याने
jovial,0.9,0.0,आनंददायक
enthusiastically,0.9,0.0,उत्साहाने
positive,0.9,0.0,सकारात्मक
dumbfounded,0.9,0.0,गोंधळलेला
immaculate,0.9,0.0,पवित्र
gratefully,0.9,0.0,कृतज्ञतेने
pure,0.9,0.0,शुद्ध
benevolence,0.9,0.0,परोपकार
grateful,0.9,0.0,कृतज्ञ
magnanimous,0.9,0.0,भव्य
audible,0.9,0.0,ऐकण्यायोग्य
fantastic,0.9,0.0,विलक्षण
honoring,0.9,0.0,सन्मान
exhilarate,0.9,0.0,उल्हासित करणे
savvy,0.9,0.0,जाणकार
well-rounded,0.9,0.0,गोलाकार
luxuriate,0.9,0.0,विलासी
long-lasting,0.9,0.0,चिरस्थायी
straighten,0.9,0.0,सरळ करा
friendliness,0.9,0.0,मैत्री
courage,0.9,0.0,धैर्य
ennoble,0.9,0.0,सुलभ
agilely,0.9,0.0,चपळपणे
authentic,0.9,0.0,अस्सल
smoother,0.9,0.0,नितळ
miracles,0.9,0.0,चमत्कार
destiny,0.9,0.0,नशीब
influential,0.9,0.0,प्रभावी
reconcile,0.9,0.0,समेट करणे
fav,0.9,0.0,फॅव
enrapture,0.9,0.0,आवरण
eager,0.9,0.0,उत्सुक
entertains,0.9,0.0,मनोरंजन करते
integral,0.9,0.0,अविभाज्य
majesty,0.9,0.0,भव्यता
comfortably,0.9,0.0,आरामात
vouch,0.9,0.0,गोंधळ
precisely,0.9,0.0,तंतोतंत
excitedness,0.9,0.0,उत्साह
personalized,0.9,0.0,वैयक्तिकृत
faultless,0.9,0.0,निर्दोष
better-than-expected,0.9,0.0,अपेक्षेपेक्षा जास्त चांगले
faster,0.9,0.0,वेगवान
trusting,0.9,0.0,विश्वास ठेवणे
comfortable,0.9,0.0,आरामदायक
respite,0.9,0.0,विश्रांती
elite,0.9,0.0,अभिजन
respectful,0.9,0.0,आदरयुक्त
rock-star,0.9,0.0,रॉक स्टार
stylish,0.9,0.0,तरतरीत
endorses,0.9,0.0,समर्थन
whooa,0.9,0.0,व्होआ
modest,0.9,0.0,विनम्र
gentlest,0.9,0.0,सभ्य
swift,0.9,0.0,चपळ
skillful,0.9,0.0,कुशल
individualized,0.9,0.0,वैयक्तिकृत
remunerate,0.9,0.0,मोबदला
advanced,0.9,0.0,प्रगत
contentment,0.9,0.0,समाधान
feisty,0.9,0.0,नाजूक
clear,0.9,0.0,स्पष्ट
problem-solver,0.9,0.0,प्रश्न सोडवणारा
cleared,0.9,0.0,साफ
solace,0.9,0.0,सांत्वन
abundance,0.9,0.0,विपुलता
bullish,0.9,0.0,तेजी
fascinate,0.9,0.0,मोह
positives,0.9,0.0,सकारात्मक
plentiful,0.9,0.0,भरपूर
effusive,0.9,0.0,उत्तेजक
loved,0.9,0.0,आवडले
entranced,0.9,0.0,आत प्रवेश केला
gentle,0.9,0.0,सभ्य
brilliance,0.9,0.0,तेज
stupendously,0.9,0.0,मूर्खपणाने
intelligence,0.9,0.0,बुद्धिमत्ता
rockstar,0.9,0.0,रॉकस्टार
proficiently,0.9,0.0,कुशलतेने
enthuse,0.9,0.0,मोहणे
luxurious,0.9,0.0,सर्व सुविधांनी युक्त
adaptive,0.9,0.0,अनुकूली
complement,0.9,0.0,पूरक
mercifully,0.9,0.0,दयाळूपणे
lean,0.9,0.0,दुबळा
intimate,0.9,0.0,जिव्हाळ्याचा
beutifully,0.9,0.0,सुंदरपणे
cleaner,0.9,0.0,क्लिनर
freed,0.9,0.0,मुक्त केले
gratified,0.9,0.0,खूष
ideal,0.9,0.0,आदर्श
vouchsafe,0.9,0.0,वॉचसेफ
ebulliently,0.9,0.0,उत्कटतेने
redemption,0.9,0.0,विमोचन
cherish,0.9,0.0,ह्रदयात जतन
whoooa,0.9,0.0,व्होआआ
stunningly,0.9,0.0,आश्चर्यकारकपणे
gladly,0.9,0.0,आनंदाने
triumphant,0.9,0.0,विजयी
dead-cheap,0.9,0.0,मृत-स्वस्त
illuminate,0.9,0.0,भ्रमनिरास
promising,0.9,0.0,आशादायक
abundant,0.9,0.0,मुबलक
rejuvenate,0.9,0.0,कायाकल्प करणे
righten,0.9,0.0,उजळणे
diplomatic,0.9,0.0,मुत्सद्दी
