Term,PosScore,NegScore,Marathi
fiction,0.0,-0.9,कल्पनारम्य
confuses,0.0,-0.9,गोंधळ
inhibit,0.0,-0.9,रोखणे
perverts,0.0,-0.9,विकृत
retreat,0.0,-0.9,माघार
miscellaneous,0.0,-0.9,संकीर्ण
sorely,0.0,-0.9,दु: खी
acrid,0.0,-0.9,ridसिड
daze,0.0,-0.9,चकचकीत
grate,0.0,-0.9,शेगडी
bitterly,0.0,-0.9,कडवटपणे
aggravating,0.0,-0.9,त्रासदायक
dragging,0.0,-0.9,ड्रॅग करत आहे
engulf,0.0,-0.9,वेढणे
musty,0.0,-0.9,मिस्टी
deride,0.0,-0.9,चामडे
perverse,0.0,-0.9,विकृत
prison,0.0,-0.9,तुरुंग
torrent,0.0,-0.9,जोराचा प्रवाह
embroiled,0.0,-0.9,नकळत
mindlessly,0.0,-0.9,मूर्खपणाने
heckled,0.0,-0.9,heckled
brutally,0.0,-0.9,क्रूरपणे
fatigue,0.0,-0.9,थकवा
doubts,0.0,-0.9,शंका
incorrectly,0.0,-0.9,चुकीचे
obstruction,0.0,-0.9,अडथळा
mishap,0.0,-0.9,अपघात
object,0.0,-0.9,ऑब्जेक्ट
agonizingly,0.0,-0.9,कष्टाने
malevolently,0.0,-0.9,अत्यंत वाईट रीतीने
onerous,0.0,-0.9,कठोर
stun,0.0,-0.9,आश्चर्यकारक
stunt,0.0,-0.9,स्टंट
asininely,0.0,-0.9,asininely
complicated,0.0,-0.9,क्लिष्ट
delinquent,0.0,-0.9,अपराधी
reprehensibly,0.0,-0.9,निंदनीय
squealing,0.0,-0.9,चिखल
overbearingly,0.0,-0.9,दडपणाने
smouldering,0.0,-0.9,स्मोल्डरींग
inexcusable,0.0,-0.9,अक्षम्य
disappointment,0.0,-0.9,निराशा
loot,0.0,-0.9,लूट
unclear,0.0,-0.9,अस्पष्ट
polemize,0.0,-0.9,polemize
cheating,0.0,-0.9,फसवणूक
brutalize,0.0,-0.9,क्रूर करणे
fat-cats,0.0,-0.9,चरबी-मांजरी
condemns,0.0,-0.9,निषेध
fuzzy,0.0,-0.9,अस्पष्ट
pointlessly,0.0,-0.9,निरर्थक
bicker,0.0,-0.9,भांडण
sh*t,0.0,-0.9,sh * t
licentiously,0.0,-0.9,परवानाने
skulk,0.0,-0.9,कवटी
anti-social,0.0,-0.9,असामाजिक
sugar-coat,0.0,-0.9,साखर कोट
unconfirmed,0.0,-0.9,अपुष्ट
afflictive,0.0,-0.9,त्रासदायक
depravedly,0.0,-0.9,निराशपणे
unproves,0.0,-0.9,अप्रूप
sadness,0.0,-0.9,दु: ख
cave,0.0,-0.9,गुहा
unsavory,0.0,-0.9,अयोग्य
scaly,0.0,-0.9,खवले
fundamentalism,0.0,-0.9,कट्टरतावाद
diappointed,0.0,-0.9,डायपॉईंट
inaudible,0.0,-0.9,ऐकू न येण्यासारखा
bulky,0.0,-0.9,अवजड
appallingly,0.0,-0.9,भयानक
distort,0.0,-0.9,विकृत
failing,0.0,-0.9,अपयश
forswear,0.0,-0.9,फोर्सवेअर
busybody,0.0,-0.9,व्यस्त
menacingly,0.0,-0.9,menacingly
farce,0.0,-0.9,प्रहसन
lividly,0.0,-0.9,प्रेमाने
high-priced,0.0,-0.9,उच्च किंमत
massacre,0.0,-0.9,हत्याकांड
repressive,0.0,-0.9,दडपशाही
hostilities,0.0,-0.9,शत्रुत्व
exaggeration,0.0,-0.9,अतिशयोक्ती
imposition,0.0,-0.9,लादणे
cancerous,0.0,-0.9,कर्करोगाचा
snobish,0.0,-0.9,नाजूक
illegally,0.0,-0.9,बेकायदेशीरपणे
manipulators,0.0,-0.9,मॅनिपुलेटर
obese,0.0,-0.9,लठ्ठ
stunted,0.0,-0.9,स्तब्ध
discoutinous,0.0,-0.9,विवादास्पद
oversize,0.0,-0.9,ओव्हरसाईज
bungling,0.0,-0.9,गुंग
inequitably,0.0,-0.9,असमानतेने
flaky,0.0,-0.9,उदास
ruthlessly,0.0,-0.9,निर्दयपणे
slowww,0.0,-0.9,हळू
wildly,0.0,-0.9,रानटी
harangue,0.0,-0.9,त्रास देणे
tattered,0.0,-0.9,विखुरलेले
dissent,0.0,-0.9,मतभेद
madman,0.0,-0.9,वेडा
overstatements,0.0,-0.9,अतिरेक
disputed,0.0,-0.9,विवादित
irritations,0.0,-0.9,चिडचिड
gravely,0.0,-0.9,गंभीरपणे
crash,0.0,-0.9,आपटी
limit,0.0,-0.9,मर्यादा
deluded,0.0,-0.9,भ्रमित
misguide,0.0,-0.9,दिशाभूल
struggles,0.0,-0.9,संघर्ष
radicals,0.0,-0.9,पेशी समूह
derogatory,0.0,-0.9,अवमानकारक
suicidal,0.0,-0.9,आत्महत्या
lewdness,0.0,-0.9,व्याभिचार
wobbled,0.0,-0.9,डगमगले
unwelcome,0.0,-0.9,अनिष्ट
discombobulate,0.0,-0.9,विघटन करणे
fatalistic,0.0,-0.9,प्राणघातक
malady,0.0,-0.9,आजार
wounds,0.0,-0.9,जखमा
misalign,0.0,-0.9,चुकीचा अर्थ लावणे
jitter,0.0,-0.9,चिडखोर
dizzingly,0.0,-0.9,चकचकीत
vilify,0.0,-0.9,अपमान करणे
indiscretion,0.0,-0.9,अविवेकी
bumpping,0.0,-0.9,बंपिंग
jolt,0.0,-0.9,धक्का
adversity,0.0,-0.9,प्रतिकूल परिस्थिती
wrongful,0.0,-0.9,चुकीचे
confound,0.0,-0.9,गोंधळ
awkwardness,0.0,-0.9,अस्ताव्यस्तपणा
tempest,0.0,-0.9,वादळ
overkill,0.0,-0.9,ओव्हरकिल
despot,0.0,-0.9,नवशिक्या
sarcastic,0.0,-0.9,उपहासात्मक
maddening,0.0,-0.9,वेडेपणा
ordeal,0.0,-0.9,अग्निपरीक्षा
chore,0.0,-0.9,काम
stressfully,0.0,-0.9,धकाधकीने
foully,0.0,-0.9,पूर्णपणे
back-wood,0.0,-0.9,मागे लाकूड
crush,0.0,-0.9,चिरडणे
splatter,0.0,-0.9,फडफड
undue,0.0,-0.9,अनावश्यक
vent,0.0,-0.9,वारा
full-blown,0.0,-0.9,पूर्ण विकसित
backwardness,0.0,-0.9,मागासलेपणा
maniac,0.0,-0.9,वेडा
insincerely,0.0,-0.9,खोटा
miscalculate,0.0,-0.9,चुकीची गणना
traumatized,0.0,-0.9,आघात
instigators,0.0,-0.9,चिथावणी देणारे
lawlessness,0.0,-0.9,अधर्म
corrupts,0.0,-0.9,भ्रष्ट
jeopardy,0.0,-0.9,धोका
stupid,0.0,-0.9,मूर्ख
spiritless,0.0,-0.9,निर्दय
alarm,0.0,-0.9,गजर
inhospitality,0.0,-0.9,रुग्णालय
harmed,0.0,-0.9,इजा
franticly,0.0,-0.9,उग्रपणे
stigma,0.0,-0.9,कलंक
prosecute,0.0,-0.9,खटला चालवणे
hardships,0.0,-0.9,त्रास
impulsive,0.0,-0.9,आवेगपूर्ण
cliched,0.0,-0.9,क्लिक केले
scarce,0.0,-0.9,दुर्मिळ
unusably,0.0,-0.9,विलक्षण
lure,0.0,-0.9,आमिष
corrupt,0.0,-0.9,भ्रष्ट
dauntingly,0.0,-0.9,धैर्याने
crummy,0.0,-0.9,कुरकुरीत
wayward,0.0,-0.9,लहरी
negligence,0.0,-0.9,निष्काळजीपणा
vociferously,0.0,-0.9,आवाजात
slaughtered,0.0,-0.9,कत्तल
complaining,0.0,-0.9,तक्रार
indulge,0.0,-0.9,लाड करणे
spurious,0.0,-0.9,उत्तेजित
missed,0.0,-0.9,गमावले
knave,0.0,-0.9,चाकू
tenderness,0.0,-0.9,कोमलता
wariness,0.0,-0.9,सावधपणा
villianous,0.0,-0.9,विलियन
odor,0.0,-0.9,गंध
stagnation,0.0,-0.9,ठप्प
asinininity,0.0,-0.9,असिंनिटी
demon,0.0,-0.9,राक्षस
caustically,0.0,-0.9,शांतपणे
disinclined,0.0,-0.9,तिरस्कार
facetious,0.0,-0.9,दर्शनी
fiend,0.0,-0.9,फॅन
galling,0.0,-0.9,पित्त
havoc,0.0,-0.9,कहर
nefarious,0.0,-0.9,वाईट
grumpiest,0.0,-0.9,अत्यंत वाईट
insubstantially,0.0,-0.9,निर्विवादपणे
blurred,0.0,-0.9,अस्पष्ट
aching,0.0,-0.9,दुखणे
losses,0.0,-0.9,तोटा
cussed,0.0,-0.9,गोंधळलेला
diss,0.0,-0.9,diss
cloudy,0.0,-0.9,ढगाळ
horrific,0.0,-0.9,भयानक
raging,0.0,-0.9,रॅगिंग
bewilder,0.0,-0.9,चकित करणारा
hates,0.0,-0.9,द्वेष
vexation,0.0,-0.9,त्रास
jerky,0.0,-0.9,धक्कादायक
irascible,0.0,-0.9,इरासिबल
deplorably,0.0,-0.9,अत्यंत वाईट रीतीने
evils,0.0,-0.9,वाईट गोष्टी
setbacks,0.0,-0.9,धक्के
mischief,0.0,-0.9,शरारती
reprehensible,0.0,-0.9,निंदनीय
susceptible,0.0,-0.9,संवेदनाक्षम
itchy,0.0,-0.9,खाज सुटणे
fuck,0.0,-0.9,संभोग
hassled,0.0,-0.9,भांडण
lack,0.0,-0.9,अभाव
apathetic,0.0,-0.9,उदासीन
overpower,0.0,-0.9,अतिशक्ती
backache,0.0,-0.9,पाठदुखी
disruption,0.0,-0.9,व्यत्यय
harpy,0.0,-0.9,वीणा
misunderstandings,0.0,-0.9,गैरसमज
misbecome,0.0,-0.9,चुकीचे
misconception,0.0,-0.9,गैरसमज
overblown,0.0,-0.9,ओसरलेले
symptom,0.0,-0.9,लक्षणं
trashy,0.0,-0.9,कचरा
graceless,0.0,-0.9,बिनधास्त
obstruct,0.0,-0.9,अडथळा आणणे
straggler,0.0,-0.9,अडथळा आणणारा
dismally,0.0,-0.9,निराशाजनकपणे
bomb,0.0,-0.9,बॉम्ब
cranky,0.0,-0.9,विक्षिप्त
lambaste,0.0,-0.9,लॅम्बस्टे
inane,0.0,-0.9,निर्जीव
suck,0.0,-0.9,शोषून घेणे
absurdness,0.0,-0.9,मूर्खपणा
headaches,0.0,-0.9,डोकेदुखी
confounding,0.0,-0.9,गोंधळात टाकणारे
pigs,0.0,-0.9,डुकरांना
offensiveness,0.0,-0.9,आक्षेपार्हपणा
evade,0.0,-0.9,टाळा
lesser-known,0.0,-0.9,कमी ज्ञात
infections,0.0,-0.9,संक्रमण
stammer,0.0,-0.9,मूळ
insulting,0.0,-0.9,अपमानजनक
victimize,0.0,-0.9,बळी पडणे
incompatible,0.0,-0.9,विसंगत
derisive,0.0,-0.9,उपहासात्मक
thoughtlessly,0.0,-0.9,अविचारीपणे
curses,0.0,-0.9,रेस
deadly,0.0,-0.9,प्राणघातक
drunkard,0.0,-0.9,मद्यपी
inadverent,0.0,-0.9,नकळत
paradoxical,0.0,-0.9,विरोधाभास
suicide,0.0,-0.9,आत्महत्या
downheartedly,0.0,-0.9,मनापासून
discouragingly,0.0,-0.9,निराश
testy,0.0,-0.9,चाचण्या
sap,0.0,-0.9,भावडा
unreliability,0.0,-0.9,अविश्वसनीयता
mislike,0.0,-0.9,नापसंत
incapable,0.0,-0.9,असमर्थ
paranoia,0.0,-0.9,विकृती
perilous,0.0,-0.9,धोकादायक
guilt,0.0,-0.9,अपराधी
subservience,0.0,-0.9,अधीनता
unjustified,0.0,-0.9,अन्यायकारक
scrambling,0.0,-0.9,ओरखडे
belie,0.0,-0.9,विश्वास ठेवा
mar,0.0,-0.9,समुद्र
sinking,0.0,-0.9,बुडणे
contagious,0.0,-0.9,सांसर्गिक
craps,0.0,-0.9,क्रेप्स
overbalance,0.0,-0.9,ओव्हरबैलेन्स
uncivilized,0.0,-0.9,असभ्य
wilt,0.0,-0.9,पाहिजे
headache,0.0,-0.9,डोकेदुखी
traumatize,0.0,-0.9,आघात
worse,0.0,-0.9,वाईट
disturbingly,0.0,-0.9,त्रासदायकपणे
disfavor,0.0,-0.9,आवड नाही
deteriorating,0.0,-0.9,बिघडत आहे
regretted,0.0,-0.9,दु: ख
disobedient,0.0,-0.9,आज्ञाभंग करणारा
dings,0.0,-0.9,डिंग्ज
inapt,0.0,-0.9,inapt
snag,0.0,-0.9,स्नॅग
surrender,0.0,-0.9,शरण जाणे
illicit,0.0,-0.9,बेकायदेशीर
obtuse,0.0,-0.9,व्याकुळ
defiantly,0.0,-0.9,अपमानाने
flawed,0.0,-0.9,सदोष
falsely,0.0,-0.9,खोटेपणाने
infirm,0.0,-0.9,अशक्त
persecute,0.0,-0.9,छळ
cataclysmic,0.0,-0.9,प्राणघातक
stubbornness,0.0,-0.9,हट्टीपणा
castrated,0.0,-0.9,टाकलेले
bleeds,0.0,-0.9,रक्तस्त्राव
stodgy,0.0,-0.9,stodgy
absentee,0.0,-0.9,अनुपस्थित
slave,0.0,-0.9,गुलाम
deficient,0.0,-0.9,कमतरता
meddlesome,0.0,-0.9,meddlesome
inundate,0.0,-0.9,पूर आला
cramping,0.0,-0.9,पेटके
loathe,0.0,-0.9,तिरस्कार
despotic,0.0,-0.9,अत्याचारी
dick,0.0,-0.9,डिक
insupportable,0.0,-0.9,अनिश्चित
straining,0.0,-0.9,ताणणे
defiance,0.0,-0.9,अवज्ञा
bombastic,0.0,-0.9,बॉम्बस्टिक
confusion,0.0,-0.9,गोंधळ
disagreement,0.0,-0.9,मतभेद
pretence,0.0,-0.9,ढोंग
criticisms,0.0,-0.9,टीका
concede,0.0,-0.9,अनुदान
accusations,0.0,-0.9,आरोप
lackey,0.0,-0.9,लॅकी
stricken,0.0,-0.9,त्रस्त
unfamiliar,0.0,-0.9,अपरिचित
sceptical,0.0,-0.9,संशयी
chastisement,0.0,-0.9,शिक्षा
choke,0.0,-0.9,गुदमरणे
cruelties,0.0,-0.9,क्रूरता
renounce,0.0,-0.9,त्याग
stolen,0.0,-0.9,चोरी
unipolar,0.0,-0.9,एकपक्षीय
spitefully,0.0,-0.9,असे असले तरी
humiliation,0.0,-0.9,अपमान
die,0.0,-0.9,अगोदर निर्देश केलेल्या बाबीसंबंधी बोलताना
revenge,0.0,-0.9,बदला
underlings,0.0,-0.9,अंडरलिंग्ज
reactionary,0.0,-0.9,प्रतिक्रियात्मक
hurted,0.0,-0.9,दुखावले
deprave,0.0,-0.9,भ्रष्ट करणे
heartless,0.0,-0.9,निर्दय
horrify,0.0,-0.9,भयानक
contempt,0.0,-0.9,अपमान
rhetorical,0.0,-0.9,वक्तृत्वकथा
crook,0.0,-0.9,कुटिल
less-developed,0.0,-0.9,कमी विकसित
brutish,0.0,-0.9,क्रूर
reprehensive,0.0,-0.9,निंदनीयपणे
inflammation,0.0,-0.9,जळजळ
relentless,0.0,-0.9,कठोर
corrupted,0.0,-0.9,भ्रष्ट
forlornly,0.0,-0.9,अनैतिकपणे
contortions,0.0,-0.9,आकुंचन
loathsomely,0.0,-0.9,घृणास्पद
pitiless,0.0,-0.9,निर्विकार
disapprove,0.0,-0.9,नाकारणे
bastard,0.0,-0.9,हरामी
ineffectiveness,0.0,-0.9,अकार्यक्षमता
strife,0.0,-0.9,कलह
chronic,0.0,-0.9,जुनाट
unthinkably,0.0,-0.9,अकल्पनीयपणे
harass,0.0,-0.9,त्रास देणे
taint,0.0,-0.9,डाग
haggle,0.0,-0.9,हॅगल
mistaken,0.0,-0.9,चुकले
denigrate,0.0,-0.9,अपमान करणे
irresolute,0.0,-0.9,अप्रासंगिक
sinister,0.0,-0.9,भयावह
clamor,0.0,-0.9,गोंधळ
fake,0.0,-0.9,बनावट
imaginary,0.0,-0.9,काल्पनिक
cliche,0.0,-0.9,क्लिच
insubordinate,0.0,-0.9,अनिश्चित
despicable,0.0,-0.9,तिरस्कारणीय
fainthearted,0.0,-0.9,कमजोर काळजाचा
refute,0.0,-0.9,खंडन
slower,0.0,-0.9,हळू
deceivers,0.0,-0.9,फसवे
nagging,0.0,-0.9,नॅगिंग
solemn,0.0,-0.9,गंभीर
fiendish,0.0,-0.9,विलक्षण
haphazard,0.0,-0.9,पूर्वनियोजनाचा अभाव असलेला
truant,0.0,-0.9,खोडकर
greed,0.0,-0.9,लोभ
unfinished,0.0,-0.9,अपूर्ण
slow-moving,0.0,-0.9,हळू चालत
despondency,0.0,-0.9,निराशा
mischievously,0.0,-0.9,शरारतीने
plague,0.0,-0.9,प्लेग
cackle,0.0,-0.9,कॉकल
inhumane,0.0,-0.9,अमानुष
fumble,0.0,-0.9,fumble
cataclysmically,0.0,-0.9,प्राणघातकपणे
disdain,0.0,-0.9,तिरस्कार करणे
overstate,0.0,-0.9,ओव्हरस्टेट
odder,0.0,-0.9,ऑटर
inexorably,0.0,-0.9,inexorably
rile,0.0,-0.9,देश
mirage,0.0,-0.9,मृगजळ
longingly,0.0,-0.9,उत्कटतेने
hedge,0.0,-0.9,हेज
precipitate,0.0,-0.9,वर्षाव
scarily,0.0,-0.9,चुकून
uproariously,0.0,-0.9,गोंधळ
blurry,0.0,-0.9,अस्पष्ट
capriciously,0.0,-0.9,लहरी
messy,0.0,-0.9,गोंधळलेला
unilateralism,0.0,-0.9,एकतर्फी
immovable,0.0,-0.9,अचल
roadblocks,0.0,-0.9,रोडब्लॉक
somber,0.0,-0.9,गंभीर
teasingly,0.0,-0.9,चिडवून
upsetting,0.0,-0.9,त्रासदायक
irked,0.0,-0.9,तिरकस
restriction,0.0,-0.9,निर्बंध
inexperience,0.0,-0.9,अननुभवी
breaking,0.0,-0.9,ब्रेकिंग
illogically,0.0,-0.9,अयोग्यरित्या
infraction,0.0,-0.9,गुन्हा
flaws,0.0,-0.9,त्रुटी
annihilation,0.0,-0.9,विनाश
emptiness,0.0,-0.9,रिक्तपणा
nauseate,0.0,-0.9,मळमळ
alarmed,0.0,-0.9,भयभीत
contamination,0.0,-0.9,घाण
disrespect,0.0,-0.9,अनादर
problems,0.0,-0.9,समस्या
punishable,0.0,-0.9,दंडनीय
unfaithfully,0.0,-0.9,बेवफाईने
frazzled,0.0,-0.9,फ्रेझल
juddering,0.0,-0.9,निर्णायक
emasculate,0.0,-0.9,emasculate
fracture,0.0,-0.9,फ्रॅक्चर
bleed,0.0,-0.9,रक्तस्त्राव
horrified,0.0,-0.9,भयभीत
insensitively,0.0,-0.9,असंवेदनशीलतेने
suspicion,0.0,-0.9,शंका
contend,0.0,-0.9,भांडणे
pain,0.0,-0.9,वेदना
rants,0.0,-0.9,rans
dishonestly,0.0,-0.9,अप्रामाणिकपणे
ignore,0.0,-0.9,दुर्लक्ष करा
tense,0.0,-0.9,ताण
dissatisfying,0.0,-0.9,असमाधानकारक
uglier,0.0,-0.9,कुरुप
crumble,0.0,-0.9,चुरा
apologist,0.0,-0.9,क्षमाज्ञ
narrower,0.0,-0.9,संकुचित
flabbergast,0.0,-0.9,फ्लेबबर्गस्ट
slothful,0.0,-0.9,आळशी
woe,0.0,-0.9,धिक्कार
inconsistencies,0.0,-0.9,विसंगती
errant,0.0,-0.9,चूक
rusts,0.0,-0.9,rusts
demonize,0.0,-0.9,भूत लावणे
wheedle,0.0,-0.9,व्हेडल
distressing,0.0,-0.9,त्रासदायक
argumentative,0.0,-0.9,वादावादी
blockage,0.0,-0.9,अडथळा
complaints,0.0,-0.9,तक्रारी
fatigued,0.0,-0.9,थकवा
irking,0.0,-0.9,इर्किंग
kills,0.0,-0.9,ठार
lambast,0.0,-0.9,लँबॅस्ट
ineloquent,0.0,-0.9,अनैतिक
scary,0.0,-0.9,भितीदायक
groundless,0.0,-0.9,निराधार
ignoble,0.0,-0.9,तिरस्कारणीय
sticky,0.0,-0.9,चिकट
aggression,0.0,-0.9,आगळीक
deception,0.0,-0.9,फसवणूक
malaise,0.0,-0.9,अस्वस्थता
aimless,0.0,-0.9,निराधार
misapprehend,0.0,-0.9,चुकीचा संदेश देणे
nervous,0.0,-0.9,चिंताग्रस्त
commonplace,0.0,-0.9,सामान्य
awfully,0.0,-0.9,भयानक
bitchy,0.0,-0.9,बिचकी
tingling,0.0,-0.9,मुंग्या येणे
stubborn,0.0,-0.9,हट्टी
gawky,0.0,-0.9,चिडखोर
dastardly,0.0,-0.9,भयानक
propagandize,0.0,-0.9,प्रसार करणे
contaminated,0.0,-0.9,दूषित
shamelessly,0.0,-0.9,निर्लज्जपणे
scathingly,0.0,-0.9,भयानक
detracts,0.0,-0.9,अलग करते
discontented,0.0,-0.9,असंतुष्ट
vile,0.0,-0.9,व्हिला
bloated,0.0,-0.9,फुललेला
worrying,0.0,-0.9,चिंताजनक
devilment,0.0,-0.9,भूत
sickening,0.0,-0.9,आजारपण
smudge,0.0,-0.9,ढकलणे
repression,0.0,-0.9,दडपशाही
joke,0.0,-0.9,विनोद
snagged,0.0,-0.9,snagged
sully,0.0,-0.9,गोंधळ
dearth,0.0,-0.9,दुष्काळ
hardhearted,0.0,-0.9,कठोर मनाने
rebuff,0.0,-0.9,धिक्कार
exhausted,0.0,-0.9,थकलेले
screwed,0.0,-0.9,पेच
scum,0.0,-0.9,घोटाळा
silly,0.0,-0.9,मूर्ख
decrepitude,0.0,-0.9,अपव्यय
steals,0.0,-0.9,चोरी
lurking,0.0,-0.9,गुप्त
collude,0.0,-0.9,एकत्र करणे
botch,0.0,-0.9,बॉटच
sunken,0.0,-0.9,बुडलेले
dispiritedly,0.0,-0.9,निराशपणे
gimmick,0.0,-0.9,चाल
helplessness,0.0,-0.9,असहाय्यता
tedious,0.0,-0.9,कंटाळवाणे
shambles,0.0,-0.9,थरथरणे
deprecate,0.0,-0.9,नापसंत
smelly,0.0,-0.9,गंधरस
illogical,0.0,-0.9,अतार्किक
stereotype,0.0,-0.9,स्टिरिओटाइप
wane,0.0,-0.9,नष्ट
jeering,0.0,-0.9,जिअरिंग
dizzy,0.0,-0.9,चक्कर येणे
battering,0.0,-0.9,पिळवणारा
fails,0.0,-0.9,अपयशी
bugs,0.0,-0.9,बग्स
cry,0.0,-0.9,रडणे
unwarranted,0.0,-0.9,अवांछित
overbearing,0.0,-0.9,दबदबा निर्माण करणारा
riled,0.0,-0.9,riled
disagree,0.0,-0.9,असहमत
remorseful,0.0,-0.9,पश्चाताप
idiots,0.0,-0.9,मूर्ख
scarier,0.0,-0.9,भितीदायक
unsuccessful,0.0,-0.9,अयशस्वी
frenetic,0.0,-0.9,उन्माद
anti-proliferation,0.0,-0.9,विरोधी प्रसार
disasterous,0.0,-0.9,आपत्तीजनक
adversarial,0.0,-0.9,प्रतिस्पर्धी
expropriate,0.0,-0.9,वाजवी
fright,0.0,-0.9,भीती
glum,0.0,-0.9,उबळ
mangling,0.0,-0.9,मॅंगलिंग
outraged,0.0,-0.9,संतापलेला
threesome,0.0,-0.9,त्रिकुट
besmirch,0.0,-0.9,बेस्मिर्च
unsuccessfully,0.0,-0.9,अयशस्वी
clique,0.0,-0.9,क्लिक करा
snagging,0.0,-0.9,स्नॅगिंग
smugly,0.0,-0.9,smugly
unsettle,0.0,-0.9,अस्वस्थ
resurgent,0.0,-0.9,पुनरुत्थान
discriminate,0.0,-0.9,भेदभाव
disregard,0.0,-0.9,दुर्लक्ष
biases,0.0,-0.9,पक्षपाती
scandalously,0.0,-0.9,निंदनीय
unusually,0.0,-0.9,विलक्षण
slanderous,0.0,-0.9,निंदनीय
taboo,0.0,-0.9,निषिद्ध
hypocrite,0.0,-0.9,ढोंगी
unnerved,0.0,-0.9,अस्वाभाविक
addict,0.0,-0.9,व्यसन
crueler,0.0,-0.9,क्रूलर
fib,0.0,-0.9,तंतु
disaffect,0.0,-0.9,अस्वस्थता
weed,0.0,-0.9,तण
condescension,0.0,-0.9,संक्षेपण
hopelessness,0.0,-0.9,नैराश्य
misguidance,0.0,-0.9,दिशाभूल
regressive,0.0,-0.9,प्रतिगामी
unlamentably,0.0,-0.9,निःसंकोचपणे
useless,0.0,-0.9,निरुपयोगी
emaciated,0.0,-0.9,emaciated
blandish,0.0,-0.9,निंद्य
afraid,0.0,-0.9,भीती
calumniate,0.0,-0.9,कॅलमीनेट
venomously,0.0,-0.9,विषारी
disown,0.0,-0.9,नाकारणे
womanizer,0.0,-0.9,महिला
rifts,0.0,-0.9,फासा
ax,0.0,-0.9,कुर्हाड
mangled,0.0,-0.9,मॅंगल्ड
sobering,0.0,-0.9,शांत
fraudulent,0.0,-0.9,फसव्या
inundated,0.0,-0.9,जलमय
jeers,0.0,-0.9,जीर्स
seethe,0.0,-0.9,सीथ
feckless,0.0,-0.9,निर्लज्ज
bleakness,0.0,-0.9,उदासपणा
imprison,0.0,-0.9,तुरुंग
detest,0.0,-0.9,तिरस्कार
dishearten,0.0,-0.9,निराश
short-lived,0.0,-0.9,अल्पकाळ
disbeliever,0.0,-0.9,अविश्वासू
poisonously,0.0,-0.9,विषारी
disapprobation,0.0,-0.9,नामुष्की
negate,0.0,-0.9,नाकारणे
pestilent,0.0,-0.9,भयानक
recoil,0.0,-0.9,अंगलट येणे
laughingstock,0.0,-0.9,हसणे
retaliate,0.0,-0.9,सूड उगवणे
spite,0.0,-0.9,असूनही
dissident,0.0,-0.9,असंतुष्ट
spook,0.0,-0.9,spook
languid,0.0,-0.9,सुस्त
extortion,0.0,-0.9,खंडणी
corrode,0.0,-0.9,कोरोड
dismissively,0.0,-0.9,डिसमिसिवली
misleading,0.0,-0.9,दिशाभूल
insurrection,0.0,-0.9,बंडखोरी
defiler,0.0,-0.9,डिफिलर
lackluster,0.0,-0.9,अनावश्यक
shroud,0.0,-0.9,आच्छादन
distress,0.0,-0.9,त्रास
shrill,0.0,-0.9,श्रील
oddities,0.0,-0.9,विषमता
calumny,0.0,-0.9,शांत
overloaded,0.0,-0.9,ओव्हरलोड
detracting,0.0,-0.9,विचलित करणारे
flagrantly,0.0,-0.9,स्पष्टपणे
friggin,0.0,-0.9,फ्रिगजिन
curt,0.0,-0.9,कर्ट
huckster,0.0,-0.9,हक्सस्टर
cynicism,0.0,-0.9,धिक्कार
detract,0.0,-0.9,विचलित करणे
anxieties,0.0,-0.9,चिंता
outrageously,0.0,-0.9,अपमानास्पद
restrict,0.0,-0.9,मर्यादित करा
sorry,0.0,-0.9,क्षमस्व
bribery,0.0,-0.9,लाच
regress,0.0,-0.9,दु: ख देणे
washed-out,0.0,-0.9,धुतलेले
meddle,0.0,-0.9,हस्तक्षेप
apprehensively,0.0,-0.9,भीतीने
hiss,0.0,-0.9,वाटत
rankle,0.0,-0.9,रँक
cripple,0.0,-0.9,लंगडी
self-destructive,0.0,-0.9,स्वत: ची विध्वंसक
mishandle,0.0,-0.9,गैरवर्तन
disconsolate,0.0,-0.9,निराकरण
petrified,0.0,-0.9,पेट्रीफाइड
occluded,0.0,-0.9,ओक
debaser,0.0,-0.9,डिबॅसर
rattles,0.0,-0.9,रॅटल
evildoer,0.0,-0.9,अपराधी
shortchange,0.0,-0.9,शॉर्ट चेंज
boredom,0.0,-0.9,कंटाळवाणेपणा
touchy,0.0,-0.9,हळूवार
warning,0.0,-0.9,चेतावणी
languorously,0.0,-0.9,सुस्तपणाने
flirty,0.0,-0.9,फ्लर्टिंग
unjustly,0.0,-0.9,अन्यायपूर्वक
braggart,0.0,-0.9,बढाईखोर
harmful,0.0,-0.9,हानिकारक
overawe,0.0,-0.9,ओव्हरवे
mediocrity,0.0,-0.9,मध्यमपणा
overthrows,0.0,-0.9,overthrows
timidity,0.0,-0.9,भितीदायकपणा
blunders,0.0,-0.9,चूक
conscons,0.0,-0.9,conscons
skeletons,0.0,-0.9,सांगाडा
sensationalize,0.0,-0.9,खळबळजनक
balk,0.0,-0.9,तुळई
discompose,0.0,-0.9,विघटन करणे
second-class,0.0,-0.9,दुसरा वर्ग
discriminatory,0.0,-0.9,भेदभाव करणारा
degrade,0.0,-0.9,मानहानी
disconcertingly,0.0,-0.9,मनापासून
fudge,0.0,-0.9,लबाडी
envious,0.0,-0.9,मत्सर
fragmented,0.0,-0.9,खंडित
annoyances,0.0,-0.9,त्रास देणे
