word,score
idealize,1.0
regard,1.0
uncomplicated,0.85
excitement,1.0
glowing,1.0
fine look,0.98
enviably,1.0
comforting,0.98
joy,1.0
compatible,0.98
distinguished,0.99
resplendent,1.0
salute,0.99
loyal,1.0
inviolable,1.0
convience,0.89
endearing,1.0
prominent,0.99
astounding,1.0
convincingly,1.0
faithfulness,1.0
outwit,0.53
consummate,1.0
regally,1.0
astonished,0.97
affinity,1.0
fortune,0.97
expeditiously,0.99
unaffected,1.0
peerless,0.99
outstandingly,0.99
steady,1.0
streamline,0.51
achievible,1.0
courteous,0.99
wieldy,0.96
generous,0.99
high quality,1.0
glamorous,1.0
inestimable,0.98
stupendous,1.0
famed,1.0
dreamland,1.0
veritable,0.95
unmatched,1.0
vigilant,0.99
triumph,1.0
ftw,0.88
dexterous,1.0
entertain,1.0
concise,0.99
hardy,1.0
safe,0.97
easygoing,1.0
earnestness,1.0
eloquently,1.0
accomplishment,1.0
upbeat,1.0
dextrous,1.0
deginified,1.0
swiftness,1.0
charismatic,1.0
golden,1.0
secure,0.99
warmhearte,1.0
engage,1.0
self determination,1.0
romantically,1.0
poignant,1.0
preferably,0.99
well position,0.98
smart,0.99
shimmer,1.0
modesty,0.99
dummy proof,0.96
danke,0.97
effusive,0.86
flashy,1.0
exceptional,1.0
comfortable,0.98
brainy,0.98
popular,0.99
fancinating,0.99
skillful,1.0
time honor,1.0
heroic,0.99
infallible,0.75
fluent,1.0
harmoniously,1.0
triumphal,1.0
guidance,0.99
assuredly,1.0
favor,0.98
bonny,0.77
humility,1.0
impressed,1.0
substantive,1.0
notably,0.95
rejuvenate,1.0
gentle,1.0
convincing,1.0
useable,0.97
